idx	label	predict	radius	correct	time
0	3	3	0.873	1	0:00:08.059470
100	4	4	0.0221	1	0:00:08.056466
200	5	5	0.865	1	0:00:08.059405
300	6	6	0.953	1	0:00:08.057652
400	9	9	0.953	1	0:00:08.062396
500	4	6	0.486	0	0:00:08.058712
600	8	8	0.652	1	0:00:08.059731
700	7	7	0.953	1	0:00:08.059824
800	7	7	0.953	1	0:00:08.059601
900	2	6	0.437	0	0:00:08.055635
1000	5	5	0.953	1	0:00:08.058198
1100	7	8	0.223	0	0:00:08.059494
1200	8	8	0.154	1	0:00:08.060496
1300	4	3	0.768	0	0:00:08.053054
1400	5	3	0.201	0	0:00:08.056801
1500	1	1	0.935	1	0:00:08.062828
1600	8	9	0.46	0	0:00:08.061218
1700	5	3	0.09	0	0:00:08.061181
1800	4	4	0.157	1	0:00:08.061029
1900	8	8	0.953	1	0:00:08.060980
2000	1	1	0.741	1	0:00:08.060946
2100	2	2	0.704	1	0:00:08.058971
2200	0	0	0.194	1	0:00:08.060687
2300	3	4	0.0087	0	0:00:08.060238
2400	0	0	0.953	1	0:00:08.064823
2500	4	4	0.247	1	0:00:08.061128
2600	8	8	0.953	1	0:00:08.061282
2700	9	9	0.494	1	0:00:08.064430
2800	4	4	0.4	1	0:00:08.059919
2900	3	5	0.171	0	0:00:08.064293
3000	5	5	0.953	1	0:00:08.062193
3100	0	0	0.953	1	0:00:08.056741
3200	5	5	0.905	1	0:00:08.061450
3300	4	4	0.423	1	0:00:08.060513
3400	6	4	0.658	0	0:00:08.059300
3500	1	1	0.518	1	0:00:08.062781
3600	4	2	0.561	0	0:00:08.062601
3700	3	3	0.898	1	0:00:08.062396
3800	9	9	0.898	1	0:00:08.062810
3900	3	3	0.318	1	0:00:08.061806
4000	8	0	0.0372	0	0:00:08.060748
4100	7	7	0.953	1	0:00:08.063096
4200	4	4	0.68	1	0:00:08.057889
4300	8	8	0.953	1	0:00:08.059968
4400	3	-1	0.0	0	0:00:08.061906
4500	3	3	0.034	1	0:00:08.062875
4600	4	7	0.405	0	0:00:08.064876
4700	6	6	0.0507	1	0:00:08.065003
4800	9	9	0.953	1	0:00:08.065615
4900	3	3	0.357	1	0:00:08.065259
5000	7	7	0.953	1	0:00:08.066850
5100	3	3	0.953	1	0:00:08.063121
5200	3	3	0.953	1	0:00:08.064743
5300	9	9	0.935	1	0:00:08.066018
5400	9	9	0.478	1	0:00:08.064439
5500	8	8	0.892	1	0:00:08.062555
5600	6	-1	0.0	0	0:00:08.062542
5700	3	5	0.303	0	0:00:08.066025
5800	2	2	0.683	1	0:00:08.066409
5900	4	3	0.222	0	0:00:08.061609
6000	8	8	0.683	1	0:00:08.063651
6100	1	1	0.953	1	0:00:08.063628
6200	3	3	0.615	1	0:00:08.066826
6300	1	1	0.953	1	0:00:08.067349
6400	0	0	0.257	1	0:00:08.064176
6500	7	6	0.192	0	0:00:08.062751
6600	7	7	0.953	1	0:00:08.068658
6700	6	6	0.913	1	0:00:08.062114
6800	6	6	0.435	1	0:00:08.061131
6900	3	3	0.953	1	0:00:08.067400
7000	2	8	0.131	0	0:00:08.060194
7100	9	-1	0.0	0	0:00:08.064358
7200	4	4	0.16	1	0:00:08.059817
7300	3	5	0.23	0	0:00:08.063165
7400	3	5	0.031	0	0:00:08.062556
7500	6	6	0.953	1	0:00:08.066146
7600	8	9	0.492	0	0:00:08.058696
7700	6	6	0.953	1	0:00:08.056966
7800	0	0	0.935	1	0:00:08.058272
7900	0	8	0.491	0	0:00:08.059821
8000	9	9	0.953	1	0:00:08.061541
8100	6	2	0.496	0	0:00:08.061179
8200	3	-1	0.0	0	0:00:08.062847
8300	5	2	0.0848	0	0:00:08.062311
8400	0	0	0.53	1	0:00:08.059538
8500	4	4	0.953	1	0:00:08.059830
8600	3	3	0.504	1	0:00:08.062286
8700	3	3	0.242	1	0:00:08.060351
8800	0	0	0.953	1	0:00:08.060817
8900	2	2	0.0446	1	0:00:08.059606
9000	8	8	0.953	1	0:00:08.061525
9100	9	1	0.668	0	0:00:08.060620
9200	8	8	0.881	1	0:00:08.057450
9300	5	3	0.0321	0	0:00:08.061409
9400	6	6	0.953	1	0:00:08.061257
9500	9	9	0.953	1	0:00:08.062828
9600	8	8	0.493	1	0:00:08.059493
9700	0	0	0.935	1	0:00:08.062096
9800	1	1	0.953	1	0:00:08.066367
9900	8	8	0.953	1	0:00:08.060284
