idx	label	predict	radius	correct	time
0	3	3	0.481	1	0:00:08.448687
100	4	4	0.202	1	0:00:07.942037
200	5	5	0.716	1	0:00:07.924027
300	6	6	0.953	1	0:00:07.950037
400	9	9	0.953	1	0:00:07.981263
500	4	6	0.00836	0	0:00:07.988843
600	8	8	0.296	1	0:00:08.000043
700	7	7	0.953	1	0:00:08.002524
800	7	7	0.953	1	0:00:08.009768
900	2	6	0.438	0	0:00:08.010727
1000	5	5	0.953	1	0:00:08.019086
1100	7	8	0.424	0	0:00:08.024961
1200	8	8	0.418	1	0:00:08.035408
1300	4	3	0.601	0	0:00:08.028942
1400	5	3	0.0935	0	0:00:08.030220
1500	1	1	0.953	1	0:00:08.040116
1600	8	-1	0.0	0	0:00:08.041294
1700	5	5	0.36	1	0:00:08.041060
1800	4	4	0.311	1	0:00:08.055351
1900	8	8	0.953	1	0:00:08.057549
2000	1	1	0.548	1	0:00:08.054744
2100	2	2	0.531	1	0:00:08.058385
2200	0	0	0.0505	1	0:00:08.057722
2300	3	-1	0.0	0	0:00:08.057731
2400	0	0	0.953	1	0:00:08.057632
2500	4	4	0.0397	1	0:00:08.056834
2600	8	8	0.913	1	0:00:08.060186
2700	9	1	0.0365	0	0:00:08.066984
2800	4	4	0.47	1	0:00:08.060050
2900	3	5	0.3	0	0:00:08.062783
3000	5	5	0.935	1	0:00:08.063700
3100	0	0	0.8	1	0:00:08.060558
3200	5	5	0.935	1	0:00:08.067408
3300	4	4	0.0842	1	0:00:08.065669
3400	6	6	0.112	1	0:00:08.068310
3500	1	1	0.311	1	0:00:08.070539
3600	4	2	0.0674	0	0:00:08.072941
3700	3	3	0.953	1	0:00:08.070572
3800	9	9	0.794	1	0:00:08.073441
3900	3	6	0.114	0	0:00:08.070328
4000	8	7	0.0142	0	0:00:08.070071
4100	7	7	0.953	1	0:00:08.073997
4200	4	4	0.557	1	0:00:08.070658
4300	8	8	0.778	1	0:00:08.069654
4400	3	-1	0.0	0	0:00:08.071351
4500	3	3	0.205	1	0:00:08.074146
4600	4	4	0.953	1	0:00:08.078016
4700	6	5	0.179	0	0:00:08.079105
4800	9	9	0.953	1	0:00:08.077652
4900	3	3	0.647	1	0:00:08.077936
5000	7	7	0.953	1	0:00:08.080964
5100	3	3	0.953	1	0:00:08.079488
5200	3	3	0.704	1	0:00:08.073187
5300	9	9	0.935	1	0:00:08.081729
5400	9	9	0.935	1	0:00:08.072955
5500	8	8	0.568	1	0:00:08.071383
5600	6	-1	0.0	0	0:00:08.070822
5700	3	5	0.0908	0	0:00:08.073432
5800	2	2	0.814	1	0:00:08.072057
5900	4	0	0.0115	0	0:00:08.069332
6000	8	8	0.396	1	0:00:08.072962
6100	1	1	0.953	1	0:00:08.073920
6200	3	3	0.49	1	0:00:08.071661
6300	1	1	0.922	1	0:00:08.073814
6400	0	0	0.306	1	0:00:08.074835
6500	7	-1	0.0	0	0:00:08.077631
6600	7	7	0.953	1	0:00:08.072725
6700	6	6	0.953	1	0:00:08.068853
6800	6	6	0.118	1	0:00:08.068086
6900	3	3	0.772	1	0:00:08.071167
7000	2	8	0.0331	0	0:00:08.066735
7100	9	-1	0.0	0	0:00:08.067367
7200	4	4	0.395	1	0:00:08.063539
7300	3	5	0.37	0	0:00:08.065293
7400	3	-1	0.0	0	0:00:08.064951
7500	6	6	0.953	1	0:00:08.065865
7600	8	9	0.319	0	0:00:08.061613
7700	6	6	0.953	1	0:00:08.060936
7800	0	0	0.892	1	0:00:08.057603
7900	0	4	0.0469	0	0:00:08.070399
8000	9	9	0.953	1	0:00:08.063887
8100	6	6	0.139	1	0:00:08.060765
8200	3	4	0.0332	0	0:00:08.060724
8300	5	-1	0.0	0	0:00:08.059733
8400	0	0	0.111	1	0:00:08.063531
8500	4	4	0.953	1	0:00:08.056372
8600	3	3	0.304	1	0:00:08.060565
8700	3	3	0.135	1	0:00:08.059025
8800	0	0	0.721	1	0:00:08.059181
8900	2	2	0.269	1	0:00:08.060096
9000	8	8	0.953	1	0:00:08.064501
9100	9	1	0.216	0	0:00:08.064283
9200	8	8	0.425	1	0:00:08.061960
9300	5	-1	0.0	0	0:00:08.064162
9400	6	6	0.935	1	0:00:08.063036
9500	9	9	0.935	1	0:00:08.068638
9600	8	8	0.331	1	0:00:08.062480
9700	0	0	0.935	1	0:00:08.067403
9800	1	1	0.953	1	0:00:08.071454
9900	8	8	0.953	1	0:00:08.067199
