idx	label	predict	radius	correct	time
0	3	3	0.543	1	0:00:08.053270
100	4	4	0.0398	1	0:00:08.050627
200	5	5	0.609	1	0:00:08.055792
300	6	6	0.913	1	0:00:08.056147
400	9	9	0.953	1	0:00:08.059447
500	4	4	0.207	1	0:00:08.059767
600	8	8	0.215	1	0:00:08.062144
700	7	7	0.922	1	0:00:08.061007
800	7	7	0.953	1	0:00:08.062908
900	2	6	0.441	0	0:00:08.058887
1000	5	5	0.935	1	0:00:08.064770
1100	7	8	0.329	0	0:00:08.066071
1200	8	8	0.249	1	0:00:08.061790
1300	4	3	0.609	0	0:00:08.056827
1400	5	3	0.0465	0	0:00:08.058420
1500	1	1	0.865	1	0:00:08.066491
1600	8	-1	0.0	0	0:00:08.064506
1700	5	5	0.272	1	0:00:08.064918
1800	4	4	0.343	1	0:00:08.066777
1900	8	8	0.953	1	0:00:08.066153
2000	1	1	0.34	1	0:00:08.067301
2100	2	2	0.49	1	0:00:08.065461
2200	0	2	0.212	0	0:00:08.061650
2300	3	2	0.00139	0	0:00:08.061627
2400	0	0	0.953	1	0:00:08.064445
2500	4	4	0.162	1	0:00:08.065296
2600	8	8	0.728	1	0:00:08.064940
2700	9	9	0.249	1	0:00:08.069133
2800	4	4	0.46	1	0:00:08.063075
2900	3	5	0.175	0	0:00:08.065095
3000	5	5	0.922	1	0:00:08.064286
3100	0	0	0.869	1	0:00:08.058920
3200	5	5	0.869	1	0:00:08.065562
3300	4	2	0.0565	0	0:00:08.064602
3400	6	6	0.292	1	0:00:08.066294
3500	1	1	0.194	1	0:00:08.068659
3600	4	2	0.242	0	0:00:08.064210
3700	3	3	0.953	1	0:00:08.066761
3800	9	9	0.746	1	0:00:08.065621
3900	3	6	0.221	0	0:00:08.064420
4000	8	0	0.0341	0	0:00:08.063344
4100	7	7	0.953	1	0:00:08.067035
4200	4	4	0.53	1	0:00:08.057621
4300	8	8	0.712	1	0:00:08.059014
4400	3	-1	0.0	0	0:00:08.059165
4500	3	3	0.346	1	0:00:08.061123
4600	4	4	0.922	1	0:00:08.062568
4700	6	5	0.0184	0	0:00:08.061164
4800	9	9	0.953	1	0:00:08.065313
4900	3	3	0.378	1	0:00:08.063873
5000	7	7	0.953	1	0:00:08.065070
5100	3	3	0.953	1	0:00:08.062655
5200	3	3	0.736	1	0:00:08.058763
5300	9	9	0.408	1	0:00:08.062528
5400	9	9	0.751	1	0:00:08.057363
5500	8	8	0.547	1	0:00:08.060697
5600	6	-1	0.0	0	0:00:08.056321
5700	3	3	0.112	1	0:00:08.058399
5800	2	2	0.831	1	0:00:08.054184
5900	4	-1	0.0	0	0:00:08.053566
6000	8	8	0.431	1	0:00:08.056667
6100	1	1	0.78	1	0:00:08.057537
6200	3	3	0.539	1	0:00:08.056942
6300	1	1	0.526	1	0:00:08.060465
6400	0	0	0.262	1	0:00:08.057285
6500	7	-1	0.0	0	0:00:08.055159
6600	7	7	0.953	1	0:00:08.060181
6700	6	6	0.823	1	0:00:08.055779
6800	6	2	0.0496	0	0:00:08.053964
6900	3	3	0.805	1	0:00:08.057827
7000	2	-1	0.0	0	0:00:08.055093
7100	9	9	0.155	1	0:00:08.058800
7200	4	4	0.278	1	0:00:08.053033
7300	3	5	0.353	0	0:00:08.053828
7400	3	-1	0.0	0	0:00:08.052565
7500	6	6	0.953	1	0:00:08.057293
7600	8	9	0.265	0	0:00:08.053849
7700	6	6	0.935	1	0:00:08.054338
7800	0	0	0.814	1	0:00:08.051576
7900	0	4	0.172	0	0:00:08.057431
8000	9	9	0.935	1	0:00:08.055977
8100	6	-1	0.0	0	0:00:08.056159
8200	3	-1	0.0	0	0:00:08.057254
8300	5	-1	0.0	0	0:00:08.054744
8400	0	0	0.318	1	0:00:08.055096
8500	4	4	0.935	1	0:00:08.052463
8600	3	3	0.106	1	0:00:08.057292
8700	3	3	0.242	1	0:00:08.060086
8800	0	0	0.953	1	0:00:08.058234
8900	2	2	0.203	1	0:00:08.059070
9000	8	8	0.953	1	0:00:08.062443
9100	9	1	0.371	0	0:00:08.064419
9200	8	8	0.434	1	0:00:08.057395
9300	5	-1	0.0	0	0:00:08.065931
9400	6	6	0.935	1	0:00:08.065100
9500	9	9	0.714	1	0:00:08.068656
9600	8	8	0.132	1	0:00:08.067091
9700	0	0	0.905	1	0:00:08.065132
9800	1	1	0.953	1	0:00:08.073722
9900	8	8	0.798	1	0:00:08.066787
