idx	label	predict	radius	correct	time
0	3	3	0.816	1	0:00:08.052914
100	4	5	0.236	0	0:00:08.051796
200	5	5	0.953	1	0:00:08.056690
300	6	6	0.953	1	0:00:08.054277
400	9	9	0.953	1	0:00:08.059235
500	4	6	0.336	0	0:00:08.055338
600	8	8	0.512	1	0:00:08.055808
700	7	7	0.953	1	0:00:08.055250
800	7	7	0.953	1	0:00:08.053198
900	2	6	0.715	0	0:00:08.050751
1000	5	5	0.953	1	0:00:08.054203
1100	7	7	0.0354	1	0:00:08.053432
1200	8	8	0.505	1	0:00:08.054312
1300	4	3	0.644	0	0:00:08.045532
1400	5	5	0.471	1	0:00:08.047607
1500	1	1	0.953	1	0:00:08.054177
1600	8	9	0.0809	0	0:00:08.050857
1700	5	5	0.625	1	0:00:08.050508
1800	4	4	0.439	1	0:00:08.049460
1900	8	8	0.953	1	0:00:08.048784
2000	1	1	0.452	1	0:00:08.048934
2100	2	2	0.294	1	0:00:08.047148
2200	0	0	0.953	1	0:00:08.045427
2300	3	-1	0.0	0	0:00:08.044827
2400	0	0	0.953	1	0:00:08.047118
2500	4	6	0.163	0	0:00:08.045005
2600	8	8	0.953	1	0:00:08.045871
2700	9	9	0.0676	1	0:00:08.048886
2800	4	4	0.229	1	0:00:08.043004
2900	3	5	0.326	0	0:00:08.046494
3000	5	5	0.953	1	0:00:08.043865
3100	0	0	0.953	1	0:00:08.038869
3200	5	5	0.913	1	0:00:08.043967
3300	4	4	0.203	1	0:00:08.042868
3400	6	-1	0.0	0	0:00:08.041503
3500	1	1	0.528	1	0:00:08.043715
3600	4	2	0.428	0	0:00:08.041481
3700	3	3	0.0895	1	0:00:08.040649
3800	9	9	0.881	1	0:00:08.040232
3900	3	6	0.404	0	0:00:08.039405
4000	8	9	0.0176	0	0:00:08.038315
4100	7	7	0.953	1	0:00:08.043424
4200	4	4	0.389	1	0:00:08.037196
4300	8	8	0.953	1	0:00:08.038665
4400	3	6	0.393	0	0:00:08.037242
4500	3	5	0.416	0	0:00:08.040302
4600	4	4	0.451	1	0:00:08.042568
4700	6	6	0.0409	1	0:00:08.041870
4800	9	9	0.953	1	0:00:08.043887
4900	3	-1	0.0	0	0:00:08.041533
5000	7	7	0.953	1	0:00:08.043448
5100	3	3	0.953	1	0:00:08.041737
5200	3	3	0.953	1	0:00:08.044666
5300	9	9	0.953	1	0:00:08.044382
5400	9	9	0.935	1	0:00:08.044016
5500	8	8	0.524	1	0:00:08.043520
5600	6	-1	0.0	0	0:00:08.046073
5700	3	5	0.51	0	0:00:08.046989
5800	2	2	0.778	1	0:00:08.045777
5900	4	-1	0.0	0	0:00:08.044909
6000	8	8	0.59	1	0:00:08.047235
6100	1	1	0.674	1	0:00:08.048416
6200	3	3	0.839	1	0:00:08.050605
6300	1	1	0.953	1	0:00:08.051692
6400	0	0	0.558	1	0:00:08.058127
6500	7	6	0.443	0	0:00:08.051421
6600	7	7	0.953	1	0:00:08.055013
6700	6	6	0.913	1	0:00:08.053254
6800	6	6	0.416	1	0:00:08.050829
6900	3	3	0.935	1	0:00:08.056876
7000	2	0	0.000206	0	0:00:08.053813
7100	9	2	0.294	0	0:00:08.056825
7200	4	6	0.475	0	0:00:08.051587
7300	3	4	0.205	0	0:00:08.056364
7400	3	3	0.175	1	0:00:08.056491
7500	6	6	0.953	1	0:00:08.058004
7600	8	9	0.596	0	0:00:08.054405
7700	6	6	0.953	1	0:00:08.053659
7800	0	0	0.953	1	0:00:08.057936
7900	0	2	0.191	0	0:00:08.058561
8000	9	9	0.953	1	0:00:08.056969
8100	6	2	0.852	0	0:00:08.058087
8200	3	6	0.0699	0	0:00:08.057108
8300	5	-1	0.0	0	0:00:08.055274
8400	0	0	0.498	1	0:00:08.053578
8500	4	4	0.953	1	0:00:08.050344
8600	3	5	0.572	0	0:00:08.055451
8700	3	3	0.829	1	0:00:08.052710
8800	0	0	0.953	1	0:00:08.051075
8900	2	4	0.26	0	0:00:08.052584
9000	8	8	0.953	1	0:00:08.053197
9100	9	1	0.163	0	0:00:08.060922
9200	8	8	0.742	1	0:00:08.048486
9300	5	5	0.18	1	0:00:08.051339
9400	6	6	0.953	1	0:00:08.051670
9500	9	9	0.953	1	0:00:08.050537
9600	8	8	0.681	1	0:00:08.049878
9700	0	0	0.858	1	0:00:08.047118
9800	1	1	0.953	1	0:00:08.052365
9900	8	8	0.953	1	0:00:08.047325
