idx	label	predict	radius	correct	time
0	3	3	0.646	1	0:00:08.155302
100	4	4	0.33	1	0:00:08.153242
200	5	5	0.935	1	0:00:08.159827
300	6	6	0.61	1	0:00:08.157888
400	9	9	0.953	1	0:00:08.162826
500	4	4	0.144	1	0:00:08.160475
600	8	8	0.724	1	0:00:08.160218
700	7	7	0.953	1	0:00:08.159599
800	7	7	0.953	1	0:00:08.162034
900	2	6	0.112	0	0:00:08.159989
1000	5	5	0.953	1	0:00:08.159745
1100	7	8	0.0338	0	0:00:08.158908
1200	8	8	0.556	1	0:00:08.158996
1300	4	3	0.922	0	0:00:08.152083
1400	5	3	0.0596	0	0:00:08.154901
1500	1	1	0.953	1	0:00:08.162496
1600	8	-1	0.0	0	0:00:08.159666
1700	5	5	0.186	1	0:00:08.162028
1800	4	4	0.0211	1	0:00:08.158895
1900	8	8	0.953	1	0:00:08.157313
2000	1	1	0.432	1	0:00:08.157679
2100	2	2	0.695	1	0:00:08.156297
2200	0	0	0.188	1	0:00:08.154582
2300	3	-1	0.0	0	0:00:08.156014
2400	0	0	0.953	1	0:00:08.164674
2500	4	4	0.059	1	0:00:08.155230
2600	8	8	0.953	1	0:00:08.154460
2700	9	1	0.215	0	0:00:08.160393
2800	4	4	0.405	1	0:00:08.153212
2900	3	5	0.0374	0	0:00:08.160115
3000	5	5	0.953	1	0:00:08.157111
3100	0	0	0.476	1	0:00:08.148492
3200	5	5	0.475	1	0:00:08.159169
3300	4	4	0.12	1	0:00:08.156795
3400	6	4	0.47	0	0:00:08.157051
3500	1	1	0.205	1	0:00:08.160434
3600	4	2	0.401	0	0:00:08.159493
3700	3	3	0.953	1	0:00:08.156256
3800	9	9	0.174	1	0:00:08.158958
3900	3	3	0.143	1	0:00:08.159616
4000	8	4	0.211	0	0:00:08.155381
4100	7	7	0.953	1	0:00:08.161283
4200	4	4	0.0922	1	0:00:08.154256
4300	8	8	0.913	1	0:00:08.157247
4400	3	-1	0.0	0	0:00:08.165845
4500	3	5	0.0165	0	0:00:08.159339
4600	4	4	0.29	1	0:00:08.159414
4700	6	6	0.32	1	0:00:08.161780
4800	9	9	0.953	1	0:00:08.162539
4900	3	5	0.0695	0	0:00:08.163341
5000	7	7	0.953	1	0:00:08.169155
5100	3	3	0.72	1	0:00:08.161238
5200	3	3	0.125	1	0:00:08.158633
5300	9	9	0.953	1	0:00:08.162585
5400	9	9	0.862	1	0:00:08.163713
5500	8	8	0.492	1	0:00:08.160976
5600	6	6	0.0304	1	0:00:08.160977
5700	3	3	0.272	1	0:00:08.160279
5800	2	2	0.842	1	0:00:08.157979
5900	4	2	0.067	0	0:00:08.155204
6000	8	8	0.58	1	0:00:08.158831
6100	1	1	0.905	1	0:00:08.158489
6200	3	3	0.498	1	0:00:08.163704
6300	1	1	0.654	1	0:00:08.160362
6400	0	0	0.182	1	0:00:08.159546
6500	7	6	0.00499	0	0:00:08.158155
6600	7	7	0.953	1	0:00:08.162728
6700	6	6	0.892	1	0:00:08.159220
6800	6	6	0.0849	1	0:00:08.159580
6900	3	3	0.347	1	0:00:08.166060
7000	2	2	0.0256	1	0:00:08.156435
7100	9	5	0.0342	0	0:00:08.163055
7200	4	-1	0.0	0	0:00:08.154922
7300	3	5	0.143	0	0:00:08.157381
7400	3	3	0.892	1	0:00:08.157772
7500	6	6	0.953	1	0:00:08.162127
7600	8	0	0.117	0	0:00:08.157162
7700	6	6	0.953	1	0:00:08.156795
7800	0	0	0.68	1	0:00:08.153327
7900	0	0	0.00703	1	0:00:08.158784
8000	9	9	0.789	1	0:00:08.159744
8100	6	2	0.634	0	0:00:08.160222
8200	3	4	0.0677	0	0:00:08.159138
8300	5	2	0.475	0	0:00:08.155170
8400	0	0	0.0565	1	0:00:08.155354
8500	4	4	0.881	1	0:00:08.154365
8600	3	6	0.00507	0	0:00:08.157002
8700	3	3	0.745	1	0:00:08.156773
8800	0	0	0.953	1	0:00:08.155869
8900	2	2	0.823	1	0:00:08.154965
9000	8	8	0.953	1	0:00:08.158582
9100	9	1	0.023	0	0:00:08.158074
9200	8	8	0.953	1	0:00:08.153522
9300	5	-1	0.0	0	0:00:08.159062
9400	6	6	0.784	1	0:00:08.158046
9500	9	9	0.66	1	0:00:08.159460
9600	8	8	0.953	1	0:00:08.155563
9700	0	0	0.596	1	0:00:08.155628
9800	1	1	0.953	1	0:00:08.163152
9900	8	8	0.784	1	0:00:08.156934
