idx	label	predict	radius	correct	time
0	3	3	0.45	1	0:00:08.432942
100	4	4	0.347	1	0:00:07.940289
200	5	3	0.00253	0	0:00:07.972510
300	6	6	0.953	1	0:00:07.969475
400	9	9	0.953	1	0:00:07.972828
500	4	4	0.0708	1	0:00:07.991328
600	8	8	0.515	1	0:00:08.014337
700	7	7	0.953	1	0:00:08.021687
800	7	7	0.953	1	0:00:08.031159
900	2	6	0.219	0	0:00:08.034254
1000	5	5	0.669	1	0:00:08.035280
1100	7	-1	0.0	0	0:00:08.039220
1200	8	8	0.654	1	0:00:08.043630
1300	4	6	0.0287	0	0:00:08.037190
1400	5	6	0.176	0	0:00:08.044984
1500	1	1	0.622	1	0:00:08.053372
1600	8	-1	0.0	0	0:00:08.052278
1700	5	3	0.104	0	0:00:08.055798
1800	4	4	0.297	1	0:00:08.059211
1900	8	8	0.953	1	0:00:08.055839
2000	1	1	0.372	1	0:00:08.056820
2100	2	2	0.0877	1	0:00:08.058237
2200	0	0	0.202	1	0:00:08.060162
2300	3	-1	0.0	0	0:00:08.059081
2400	0	0	0.953	1	0:00:08.061185
2500	4	6	0.437	0	0:00:08.060768
2600	8	8	0.67	1	0:00:08.068865
2700	9	9	0.307	1	0:00:08.070162
2800	4	4	0.363	1	0:00:08.063767
2900	3	-1	0.0	0	0:00:08.066443
3000	5	5	0.427	1	0:00:08.066373
3100	0	0	0.135	1	0:00:08.061836
3200	5	5	0.597	1	0:00:08.064929
3300	4	4	0.414	1	0:00:08.061711
3400	6	4	0.274	0	0:00:08.062418
3500	1	1	0.12	1	0:00:08.070943
3600	4	2	0.281	0	0:00:08.062683
3700	3	3	0.259	1	0:00:08.064239
3800	9	9	0.807	1	0:00:08.066349
3900	3	3	0.048	1	0:00:08.062952
4000	8	4	0.114	0	0:00:08.066826
4100	7	7	0.953	1	0:00:08.064235
4200	4	4	0.155	1	0:00:08.057216
4300	8	8	0.139	1	0:00:08.064010
4400	3	6	0.0116	0	0:00:08.060309
4500	3	3	0.11	1	0:00:08.068074
4600	4	4	0.778	1	0:00:08.066165
4700	6	-1	0.0	0	0:00:08.063447
4800	9	9	0.953	1	0:00:08.067995
4900	3	3	0.11	1	0:00:08.063392
5000	7	7	0.953	1	0:00:08.065553
5100	3	3	0.409	1	0:00:08.065951
5200	3	6	0.073	0	0:00:08.066712
5300	9	9	0.813	1	0:00:08.064373
5400	9	9	0.509	1	0:00:08.067231
5500	8	-1	0.0	0	0:00:08.063174
5600	6	6	0.626	1	0:00:08.062654
5700	3	3	0.0371	1	0:00:08.063394
5800	2	2	0.483	1	0:00:08.065851
5900	4	6	0.144	0	0:00:08.063025
6000	8	8	0.147	1	0:00:08.070113
6100	1	1	0.787	1	0:00:08.065474
6200	3	3	0.202	1	0:00:08.066044
6300	1	1	0.362	1	0:00:08.063758
6400	0	-1	0.0	0	0:00:08.061719
6500	7	-1	0.0	0	0:00:08.064810
6600	7	7	0.953	1	0:00:08.069269
6700	6	6	0.739	1	0:00:08.064968
6800	6	6	0.51	1	0:00:08.065531
6900	3	3	0.922	1	0:00:08.069813
7000	2	0	0.131	0	0:00:08.065308
7100	9	5	0.0753	0	0:00:08.065972
7200	4	-1	0.0	0	0:00:08.063387
7300	3	5	0.297	0	0:00:08.067840
7400	3	3	0.0372	1	0:00:08.063182
7500	6	6	0.953	1	0:00:08.068170
7600	8	9	0.0542	0	0:00:08.063409
7700	6	6	0.953	1	0:00:08.063452
7800	0	0	0.842	1	0:00:08.063286
7900	0	0	0.214	1	0:00:08.067047
8000	9	9	0.935	1	0:00:08.065316
8100	6	2	0.129	0	0:00:08.065161
8200	3	6	0.26	0	0:00:08.064006
8300	5	6	0.153	0	0:00:08.066726
8400	0	0	0.555	1	0:00:08.063609
8500	4	4	0.664	1	0:00:08.062549
8600	3	3	0.131	1	0:00:08.068690
8700	3	3	0.392	1	0:00:08.065026
8800	0	0	0.39	1	0:00:08.065391
8900	2	4	0.00974	0	0:00:08.066837
9000	8	8	0.953	1	0:00:08.071221
9100	9	9	0.15	1	0:00:08.065065
9200	8	8	0.19	1	0:00:08.064846
9300	5	3	0.102	0	0:00:08.074232
9400	6	6	0.935	1	0:00:08.067466
9500	9	9	0.913	1	0:00:08.070034
9600	8	8	0.176	1	0:00:08.063592
9700	0	0	0.453	1	0:00:08.066046
9800	1	1	0.953	1	0:00:08.074604
9900	8	8	0.935	1	0:00:08.063440
