idx	label	predict	radius	correct	time
0	3	3	0.343	1	0:00:08.064651
100	4	4	0.224	1	0:00:08.064058
200	5	3	0.0823	0	0:00:08.059964
300	6	6	0.953	1	0:00:08.055400
400	9	9	0.953	1	0:00:08.060662
500	4	6	0.0713	0	0:00:08.056105
600	8	8	0.487	1	0:00:08.058670
700	7	7	0.922	1	0:00:08.060634
800	7	7	0.953	1	0:00:08.059796
900	2	6	0.31	0	0:00:08.056930
1000	5	5	0.609	1	0:00:08.060882
1100	7	8	0.0206	0	0:00:08.061331
1200	8	8	0.619	1	0:00:08.061566
1300	4	3	0.546	0	0:00:08.052154
1400	5	6	0.27	0	0:00:08.053566
1500	1	1	0.731	1	0:00:08.061498
1600	8	-1	0.0	0	0:00:08.057848
1700	5	3	0.0236	0	0:00:08.058060
1800	4	4	0.348	1	0:00:08.058091
1900	8	8	0.953	1	0:00:08.056739
2000	1	1	0.392	1	0:00:08.057280
2100	2	7	0.142	0	0:00:08.056681
2200	0	0	0.016	1	0:00:08.056906
2300	3	3	0.0141	1	0:00:08.056197
2400	0	0	0.953	1	0:00:08.057389
2500	4	6	0.513	0	0:00:08.056720
2600	8	8	0.744	1	0:00:08.056099
2700	9	9	0.243	1	0:00:08.059973
2800	4	4	0.228	1	0:00:08.054679
2900	3	-1	0.0	0	0:00:08.057030
3000	5	5	0.338	1	0:00:08.055911
3100	0	0	0.0799	1	0:00:08.056964
3200	5	5	0.482	1	0:00:08.055815
3300	4	4	0.4	1	0:00:08.056308
3400	6	4	0.297	0	0:00:08.058615
3500	1	1	0.0617	1	0:00:08.057931
3600	4	2	0.218	0	0:00:08.056609
3700	3	3	0.236	1	0:00:08.053655
3800	9	9	0.68	1	0:00:08.053939
3900	3	3	0.125	1	0:00:08.057485
4000	8	4	0.212	0	0:00:08.059211
4100	7	7	0.935	1	0:00:08.058847
4200	4	4	0.0397	1	0:00:08.052341
4300	8	8	0.288	1	0:00:08.056548
4400	3	6	0.157	0	0:00:08.053929
4500	3	3	0.0467	1	0:00:08.055097
4600	4	4	0.681	1	0:00:08.058571
4700	6	-1	0.0	0	0:00:08.057059
4800	9	9	0.953	1	0:00:08.060243
4900	3	3	0.0601	1	0:00:08.058861
5000	7	7	0.953	1	0:00:08.061114
5100	3	3	0.456	1	0:00:08.059427
5200	3	3	0.0655	1	0:00:08.057577
5300	9	9	0.788	1	0:00:08.058914
5400	9	9	0.57	1	0:00:08.060689
5500	8	1	0.00082	0	0:00:08.057112
5600	6	6	0.711	1	0:00:08.056387
5700	3	3	0.0496	1	0:00:08.056536
5800	2	2	0.499	1	0:00:08.057014
5900	4	6	0.199	0	0:00:08.054098
6000	8	8	0.144	1	0:00:08.056106
6100	1	1	0.803	1	0:00:08.058571
6200	3	3	0.193	1	0:00:08.059436
6300	1	1	0.428	1	0:00:08.057896
6400	0	-1	0.0	0	0:00:08.057094
6500	7	-1	0.0	0	0:00:08.054126
6600	7	7	0.953	1	0:00:08.058591
6700	6	6	0.752	1	0:00:08.057186
6800	6	6	0.431	1	0:00:08.056119
6900	3	3	0.922	1	0:00:08.060509
7000	2	0	0.0702	0	0:00:08.056317
7100	9	5	0.0868	0	0:00:08.058156
7200	4	6	0.011	0	0:00:08.054717
7300	3	5	0.208	0	0:00:08.059250
7400	3	-1	0.0	0	0:00:08.057564
7500	6	6	0.953	1	0:00:08.060122
7600	8	9	0.0465	0	0:00:08.058995
7700	6	6	0.953	1	0:00:08.056777
7800	0	0	0.743	1	0:00:08.056514
7900	0	0	0.033	1	0:00:08.058583
8000	9	9	0.922	1	0:00:08.057866
8100	6	-1	0.0	0	0:00:08.058928
8200	3	6	0.214	0	0:00:08.057282
8300	5	6	0.308	0	0:00:08.054064
8400	0	0	0.505	1	0:00:08.054792
8500	4	4	0.746	1	0:00:08.054666
8600	3	3	0.123	1	0:00:08.058064
8700	3	3	0.349	1	0:00:08.056194
8800	0	0	0.364	1	0:00:08.057629
8900	2	4	0.0444	0	0:00:08.056098
9000	8	8	0.953	1	0:00:08.059499
9100	9	9	0.251	1	0:00:08.057211
9200	8	8	0.251	1	0:00:08.055920
9300	5	3	0.0913	0	0:00:08.059205
9400	6	6	0.953	1	0:00:08.060272
9500	9	9	0.913	1	0:00:08.060885
9600	8	8	0.0854	1	0:00:08.058378
9700	0	0	0.277	1	0:00:08.061118
9800	1	1	0.953	1	0:00:08.064334
9900	8	8	0.922	1	0:00:08.060380
