idx	label	predict	radius	correct	time
0	3	3	0.416	1	0:00:08.050210
100	4	4	0.283	1	0:00:08.050295
200	5	3	0.115	0	0:00:08.051460
300	6	6	0.953	1	0:00:08.052149
400	9	9	0.953	1	0:00:08.057139
500	4	4	0.000438	1	0:00:08.053317
600	8	8	0.458	1	0:00:08.057336
700	7	7	0.935	1	0:00:08.054645
800	7	7	0.953	1	0:00:08.053669
900	2	6	0.3	0	0:00:08.048816
1000	5	5	0.585	1	0:00:08.053509
1100	7	-1	0.0	0	0:00:08.060687
1200	8	8	0.602	1	0:00:08.057067
1300	4	3	0.539	0	0:00:08.043300
1400	5	6	0.266	0	0:00:08.049191
1500	1	1	0.73	1	0:00:08.055624
1600	8	-1	0.0	0	0:00:08.050658
1700	5	3	0.0669	0	0:00:08.052132
1800	4	4	0.306	1	0:00:08.052319
1900	8	8	0.953	1	0:00:08.051126
2000	1	1	0.312	1	0:00:08.050773
2100	2	7	0.126	0	0:00:08.050281
2200	0	0	0.151	1	0:00:08.053085
2300	3	-1	0.0	0	0:00:08.052135
2400	0	0	0.953	1	0:00:08.051813
2500	4	6	0.487	0	0:00:08.050234
2600	8	8	0.75	1	0:00:08.053340
2700	9	9	0.23	1	0:00:08.055012
2800	4	4	0.292	1	0:00:08.047092
2900	3	-1	0.0	0	0:00:08.050795
3000	5	5	0.288	1	0:00:08.052026
3100	0	0	0.105	1	0:00:08.049078
3200	5	5	0.455	1	0:00:08.049699
3300	4	4	0.364	1	0:00:08.045664
3400	6	4	0.257	0	0:00:08.046283
3500	1	1	0.0893	1	0:00:08.050633
3600	4	2	0.219	0	0:00:08.048115
3700	3	3	0.375	1	0:00:08.046801
3800	9	9	0.688	1	0:00:08.050517
3900	3	3	0.106	1	0:00:08.047878
4000	8	4	0.212	0	0:00:08.052194
4100	7	7	0.922	1	0:00:08.052306
4200	4	4	0.0864	1	0:00:08.045035
4300	8	8	0.283	1	0:00:08.048290
4400	3	6	0.107	0	0:00:08.047085
4500	3	3	0.0675	1	0:00:08.050513
4600	4	4	0.667	1	0:00:08.050608
4700	6	-1	0.0	0	0:00:08.049203
4800	9	9	0.953	1	0:00:08.051715
4900	3	-1	0.0	0	0:00:08.050669
5000	7	7	0.953	1	0:00:08.054093
5100	3	3	0.485	1	0:00:08.051028
5200	3	3	0.0174	1	0:00:08.049217
5300	9	9	0.724	1	0:00:08.051357
5400	9	9	0.445	1	0:00:08.051327
5500	8	1	0.025	0	0:00:08.048209
5600	6	6	0.676	1	0:00:08.047461
5700	3	3	0.0911	1	0:00:08.050903
5800	2	2	0.469	1	0:00:08.049374
5900	4	6	0.184	0	0:00:08.048869
6000	8	8	0.164	1	0:00:08.050978
6100	1	1	0.682	1	0:00:08.050023
6200	3	3	0.23	1	0:00:08.050102
6300	1	1	0.42	1	0:00:08.050187
6400	0	0	0.0977	1	0:00:08.050975
6500	7	-1	0.0	0	0:00:08.049788
6600	7	7	0.953	1	0:00:08.054340
6700	6	6	0.711	1	0:00:08.050096
6800	6	6	0.46	1	0:00:08.046788
6900	3	3	0.818	1	0:00:08.053435
7000	2	0	0.0849	0	0:00:08.049640
7100	9	5	0.107	0	0:00:08.050198
7200	4	-1	0.0	0	0:00:08.045836
7300	3	5	0.192	0	0:00:08.051835
7400	3	9	0.0396	0	0:00:08.051463
7500	6	6	0.953	1	0:00:08.053188
7600	8	9	0.0439	0	0:00:08.051695
7700	6	6	0.953	1	0:00:08.046971
7800	0	0	0.746	1	0:00:08.049613
7900	0	0	0.0755	1	0:00:08.052671
8000	9	9	0.913	1	0:00:08.051243
8100	6	2	0.0382	0	0:00:08.051518
8200	3	6	0.277	0	0:00:08.051630
8300	5	6	0.28	0	0:00:08.051592
8400	0	0	0.585	1	0:00:08.049597
8500	4	4	0.726	1	0:00:08.049695
8600	3	3	0.078	1	0:00:08.054010
8700	3	3	0.407	1	0:00:08.052312
8800	0	0	0.426	1	0:00:08.056405
8900	2	4	0.0541	0	0:00:08.052646
9000	8	8	0.953	1	0:00:08.056471
9100	9	9	0.156	1	0:00:08.053855
9200	8	8	0.232	1	0:00:08.051227
9300	5	3	0.182	0	0:00:08.052586
9400	6	6	0.953	1	0:00:08.051488
9500	9	9	0.913	1	0:00:08.053422
9600	8	8	0.16	1	0:00:08.049421
9700	0	0	0.303	1	0:00:08.049564
9800	1	1	0.935	1	0:00:08.053277
9900	8	8	0.922	1	0:00:08.055163
