idx	label	predict	radius	correct	time
0	3	3	0.357	1	0:00:07.973469
100	4	4	0.228	1	0:00:07.970004
200	5	3	0.0807	0	0:00:07.972814
300	6	6	0.953	1	0:00:07.974494
400	9	9	0.953	1	0:00:07.975083
500	4	6	0.0149	0	0:00:07.973879
600	8	8	0.154	1	0:00:07.974884
700	7	7	0.751	1	0:00:07.974558
800	7	7	0.953	1	0:00:07.974882
900	2	6	0.332	0	0:00:07.972558
1000	5	5	0.535	1	0:00:07.975204
1100	7	-1	0.0	0	0:00:07.976445
1200	8	8	0.295	1	0:00:07.976673
1300	4	3	0.618	0	0:00:07.969658
1400	5	6	0.296	0	0:00:07.972083
1500	1	1	0.52	1	0:00:07.976086
1600	8	-1	0.0	0	0:00:07.972646
1700	5	3	0.066	0	0:00:07.974771
1800	4	4	0.344	1	0:00:07.975640
1900	8	8	0.953	1	0:00:07.974579
2000	1	1	0.294	1	0:00:07.975232
2100	2	7	0.119	0	0:00:07.974283
2200	0	-1	0.0	0	0:00:07.976186
2300	3	3	0.0499	1	0:00:07.973398
2400	0	0	0.881	1	0:00:07.975585
2500	4	6	0.357	0	0:00:07.971527
2600	8	8	0.716	1	0:00:07.974536
2700	9	9	0.219	1	0:00:07.982702
2800	4	4	0.257	1	0:00:07.971540
2900	3	3	0.0985	1	0:00:07.974399
3000	5	5	0.361	1	0:00:07.974004
3100	0	0	0.0936	1	0:00:07.973289
3200	5	5	0.428	1	0:00:07.975747
3300	4	4	0.344	1	0:00:07.972174
3400	6	4	0.223	0	0:00:07.972736
3500	1	9	0.0208	0	0:00:07.974572
3600	4	2	0.233	0	0:00:07.975586
3700	3	3	0.317	1	0:00:07.976279
3800	9	9	0.537	1	0:00:07.974746
3900	3	3	0.031	1	0:00:07.973706
4000	8	4	0.157	0	0:00:07.975512
4100	7	7	0.842	1	0:00:07.977223
4200	4	4	0.104	1	0:00:07.971603
4300	8	8	0.278	1	0:00:07.973414
4400	3	6	0.0455	0	0:00:07.974410
4500	3	3	0.00706	1	0:00:07.974811
4600	4	4	0.599	1	0:00:07.975637
4700	6	-1	0.0	0	0:00:07.975666
4800	9	9	0.953	1	0:00:07.976175
4900	3	-1	0.0	0	0:00:07.974100
5000	7	7	0.953	1	0:00:07.975517
5100	3	3	0.486	1	0:00:07.974861
5200	3	3	0.0609	1	0:00:07.973713
5300	9	9	0.648	1	0:00:07.974622
5400	9	9	0.444	1	0:00:07.974864
5500	8	1	0.00669	0	0:00:07.975357
5600	6	6	0.546	1	0:00:07.973163
5700	3	3	0.278	1	0:00:07.975238
5800	2	2	0.29	1	0:00:07.973299
5900	4	6	0.182	0	0:00:07.972614
6000	8	8	0.156	1	0:00:07.973279
6100	1	1	0.495	1	0:00:07.974895
6200	3	3	0.289	1	0:00:07.973553
6300	1	1	0.217	1	0:00:07.972543
6400	0	4	0.0471	0	0:00:07.972394
6500	7	-1	0.0	0	0:00:07.970657
6600	7	7	0.953	1	0:00:07.974737
6700	6	6	0.5	1	0:00:07.976311
6800	6	6	0.369	1	0:00:07.971584
6900	3	3	0.811	1	0:00:07.979329
7000	2	0	0.0662	0	0:00:07.971639
7100	9	5	0.0728	0	0:00:07.972936
7200	4	6	0.0708	0	0:00:07.969717
7300	3	5	0.284	0	0:00:07.972967
7400	3	-1	0.0	0	0:00:07.972322
7500	6	6	0.953	1	0:00:07.974881
7600	8	9	0.106	0	0:00:07.970837
7700	6	6	0.953	1	0:00:07.969096
7800	0	0	0.728	1	0:00:07.972343
7900	0	-1	0.0	0	0:00:07.973293
8000	9	9	0.892	1	0:00:07.973202
8100	6	6	0.0195	1	0:00:07.972827
8200	3	6	0.231	0	0:00:07.974186
8300	5	6	0.241	0	0:00:07.973012
8400	0	0	0.511	1	0:00:07.972532
8500	4	4	0.652	1	0:00:07.971621
8600	3	3	0.0754	1	0:00:07.973834
8700	3	3	0.525	1	0:00:07.972975
8800	0	0	0.624	1	0:00:07.978593
8900	2	4	0.105	0	0:00:07.973448
9000	8	8	0.953	1	0:00:07.977515
9100	9	9	0.137	1	0:00:07.974574
9200	8	8	0.209	1	0:00:07.974689
9300	5	3	0.0242	0	0:00:07.975140
9400	6	6	0.79	1	0:00:07.973891
9500	9	9	0.881	1	0:00:07.976257
9600	8	8	0.16	1	0:00:07.975163
9700	0	0	0.317	1	0:00:07.982724
9800	1	1	0.953	1	0:00:07.979971
9900	8	8	0.653	1	0:00:07.977720
