idx	label	predict	radius	correct	time
10000	3	3	0.753	1	0:00:08.108215
10100	4	4	0.0351	1	0:00:08.105228
10200	5	5	0.707	1	0:00:08.108124
10300	6	6	0.953	1	0:00:08.108087
10400	9	9	0.953	1	0:00:08.110042
10500	4	-1	0.0	0	0:00:08.110808
10600	8	8	0.953	1	0:00:08.116418
10700	7	7	0.953	1	0:00:08.110536
10800	7	7	0.953	1	0:00:08.109511
10900	2	5	0.0185	0	0:00:08.103844
11000	5	5	0.953	1	0:00:08.111694
11100	7	-1	0.0	0	0:00:08.108959
11200	8	8	0.829	1	0:00:08.112325
11300	4	4	0.347	1	0:00:08.099244
11400	5	5	0.554	1	0:00:08.103977
11500	1	1	0.953	1	0:00:08.108654
11600	8	9	0.597	0	0:00:08.105572
11700	5	5	0.825	1	0:00:08.110468
11800	4	4	0.419	1	0:00:08.110209
11900	8	8	0.953	1	0:00:08.108446
12000	1	1	0.651	1	0:00:08.113862
12100	2	2	0.849	1	0:00:08.109653
12200	0	0	0.349	1	0:00:08.112861
12300	3	3	0.196	1	0:00:08.114303
12400	0	0	0.953	1	0:00:08.115582
12500	4	4	0.202	1	0:00:08.112806
12600	8	8	0.953	1	0:00:08.113343
12700	9	9	0.173	1	0:00:08.120261
12800	4	4	0.515	1	0:00:08.115046
12900	3	5	0.953	0	0:00:08.116905
13000	5	5	0.953	1	0:00:08.122173
13100	0	0	0.953	1	0:00:08.113150
13200	5	5	0.623	1	0:00:08.118743
13300	4	4	0.349	1	0:00:08.117042
13400	6	4	0.509	0	0:00:08.123890
13500	1	1	0.825	1	0:00:08.127398
13600	4	2	0.502	0	0:00:08.120410
13700	3	3	0.892	1	0:00:08.119614
13800	9	9	0.877	1	0:00:08.124783
13900	3	6	0.877	0	0:00:08.123889
14000	8	0	0.112	0	0:00:08.122107
14100	7	7	0.953	1	0:00:08.133322
14200	4	4	0.644	1	0:00:08.121031
14300	8	8	0.953	1	0:00:08.124089
14400	3	3	0.0458	1	0:00:08.123376
14500	3	3	0.543	1	0:00:08.127842
14600	4	4	0.481	1	0:00:08.131421
14700	6	-1	0.0	0	0:00:08.128705
14800	9	9	0.953	1	0:00:08.132935
14900	3	1	0.0144	0	0:00:08.129546
15000	7	7	0.953	1	0:00:08.134807
15100	3	3	0.953	1	0:00:08.131117
15200	3	3	0.953	1	0:00:08.134005
15300	9	9	0.953	1	0:00:08.133967
15400	9	9	0.787	1	0:00:08.132240
15500	8	8	0.647	1	0:00:08.129153
15600	6	-1	0.0	0	0:00:08.132570
15700	3	3	0.134	1	0:00:08.136379
15800	2	2	0.953	1	0:00:08.128796
15900	4	5	0.033	0	0:00:08.123450
16000	8	8	0.543	1	0:00:08.127434
16100	1	1	0.953	1	0:00:08.128817
16200	3	3	0.652	1	0:00:08.130018
16300	1	1	0.913	1	0:00:08.129438
16400	0	0	0.45	1	0:00:08.127727
16500	7	0	0.102	0	0:00:08.129633
16600	7	7	0.953	1	0:00:08.133031
16700	6	6	0.798	1	0:00:08.129126
16800	6	6	0.101	1	0:00:08.122963
16900	3	3	0.953	1	0:00:08.129776
17000	2	8	0.24	0	0:00:08.119081
17100	9	9	0.255	1	0:00:08.127712
17200	4	4	0.107	1	0:00:08.118814
17300	3	5	0.768	0	0:00:08.126481
17400	3	3	0.143	1	0:00:08.125228
17500	6	6	0.953	1	0:00:08.123515
17600	8	9	0.461	0	0:00:08.118579
17700	6	6	0.953	1	0:00:08.117630
17800	0	0	0.953	1	0:00:08.116792
17900	0	-1	0.0	0	0:00:08.123931
18000	9	9	0.953	1	0:00:08.123469
18100	6	6	0.0223	1	0:00:08.120936
18200	3	-1	0.0	0	0:00:08.117942
18300	5	5	0.158	1	0:00:08.115421
18400	0	0	0.731	1	0:00:08.115307
18500	4	4	0.953	1	0:00:08.112175
18600	3	-1	0.0	0	0:00:08.115104
18700	3	3	0.774	1	0:00:08.115201
18800	0	0	0.953	1	0:00:08.117622
18900	2	2	0.589	1	0:00:08.114763
19000	8	8	0.953	1	0:00:08.114588
19100	9	1	0.294	0	0:00:08.114242
19200	8	8	0.953	1	0:00:08.112818
19300	5	5	0.334	1	0:00:08.113934
19400	6	6	0.753	1	0:00:08.119277
19500	9	9	0.953	1	0:00:08.116151
19600	8	8	0.73	1	0:00:08.109518
19700	0	0	0.953	1	0:00:08.110827
19800	1	1	0.953	1	0:00:08.117754
19900	8	8	0.813	1	0:00:08.114537
