idx	label	predict	radius	correct	time
10000	3	3	0.518	1	0:00:08.126369
10100	4	4	0.147	1	0:00:08.120611
10200	5	5	0.852	1	0:00:08.129459
10300	6	6	0.953	1	0:00:08.127788
10400	9	9	0.953	1	0:00:08.131217
10500	4	6	0.232	0	0:00:08.124538
10600	8	8	0.935	1	0:00:08.127536
10700	7	7	0.953	1	0:00:08.124691
10800	7	7	0.953	1	0:00:08.122380
10900	2	6	0.324	0	0:00:08.118880
11000	5	5	0.953	1	0:00:08.120102
11100	7	7	0.222	1	0:00:08.119972
11200	8	8	0.886	1	0:00:08.121115
11300	4	3	0.088	0	0:00:08.122220
11400	5	-1	0.0	0	0:00:08.113026
11500	1	1	0.953	1	0:00:08.120761
11600	8	9	0.368	0	0:00:08.115560
11700	5	5	0.547	1	0:00:08.114441
11800	4	4	0.328	1	0:00:08.108855
11900	8	8	0.953	1	0:00:08.117019
12000	1	1	0.629	1	0:00:08.113299
12100	2	2	0.66	1	0:00:08.111192
12200	0	0	0.618	1	0:00:08.103242
12300	3	3	0.164	1	0:00:08.105266
12400	0	0	0.953	1	0:00:08.110061
12500	4	4	0.0205	1	0:00:08.109038
12600	8	8	0.953	1	0:00:08.106174
12700	9	9	0.181	1	0:00:08.117883
12800	4	4	0.293	1	0:00:08.103915
12900	3	5	0.953	0	0:00:08.113499
13000	5	5	0.953	1	0:00:08.103698
13100	0	0	0.953	1	0:00:08.100379
13200	5	5	0.476	1	0:00:08.105152
13300	4	4	0.41	1	0:00:08.113753
13400	6	4	0.504	0	0:00:08.109511
13500	1	1	0.676	1	0:00:08.117407
13600	4	2	0.493	0	0:00:08.110580
13700	3	3	0.953	1	0:00:08.110861
13800	9	9	0.953	1	0:00:08.116769
13900	3	6	0.764	0	0:00:08.118154
14000	8	0	0.153	0	0:00:08.115417
14100	7	7	0.953	1	0:00:08.121415
14200	4	4	0.734	1	0:00:08.114933
14300	8	8	0.953	1	0:00:08.117671
14400	3	4	0.242	0	0:00:08.116406
14500	3	3	0.0172	1	0:00:08.120219
14600	4	4	0.753	1	0:00:08.120275
14700	6	6	0.17	1	0:00:08.119374
14800	9	9	0.953	1	0:00:08.124103
14900	3	3	0.23	1	0:00:08.124126
15000	7	7	0.953	1	0:00:08.126797
15100	3	3	0.953	1	0:00:08.127604
15200	3	3	0.905	1	0:00:08.123463
15300	9	9	0.808	1	0:00:08.127133
15400	9	9	0.953	1	0:00:08.125183
15500	8	8	0.514	1	0:00:08.124462
15600	6	-1	0.0	0	0:00:08.125873
15700	3	5	0.0578	0	0:00:08.125356
15800	2	2	0.873	1	0:00:08.126865
15900	4	-1	0.0	0	0:00:08.120668
16000	8	8	0.562	1	0:00:08.126442
16100	1	1	0.953	1	0:00:08.130937
16200	3	3	0.776	1	0:00:08.130689
16300	1	1	0.953	1	0:00:08.130925
16400	0	0	0.622	1	0:00:08.125358
16500	7	6	0.375	0	0:00:08.126725
16600	7	7	0.953	1	0:00:08.139004
16700	6	6	0.913	1	0:00:08.128971
16800	6	6	0.157	1	0:00:08.129962
16900	3	3	0.953	1	0:00:08.136760
17000	2	0	0.0283	0	0:00:08.129998
17100	9	3	0.675	0	0:00:08.132569
17200	4	-1	0.0	0	0:00:08.127691
17300	3	5	0.446	0	0:00:08.132713
17400	3	3	0.32	1	0:00:08.138811
17500	6	6	0.953	1	0:00:08.138846
17600	8	9	0.465	0	0:00:08.126500
17700	6	6	0.953	1	0:00:08.125692
17800	0	0	0.953	1	0:00:08.124263
17900	0	2	0.357	0	0:00:08.130148
18000	9	9	0.953	1	0:00:08.129016
18100	6	6	0.0942	1	0:00:08.133126
18200	3	-1	0.0	0	0:00:08.129851
18300	5	-1	0.0	0	0:00:08.126884
18400	0	0	0.689	1	0:00:08.125395
18500	4	4	0.953	1	0:00:08.124661
18600	3	-1	0.0	0	0:00:08.129689
18700	3	3	0.686	1	0:00:08.129329
18800	0	0	0.953	1	0:00:08.129362
18900	2	2	0.298	1	0:00:08.129104
19000	8	8	0.953	1	0:00:08.126745
19100	9	1	0.516	0	0:00:08.126523
19200	8	8	0.953	1	0:00:08.124117
19300	5	5	0.138	1	0:00:08.130417
19400	6	6	0.953	1	0:00:08.124102
19500	9	9	0.953	1	0:00:08.124893
19600	8	8	0.664	1	0:00:08.123103
19700	0	0	0.953	1	0:00:08.120174
19800	1	1	0.953	1	0:00:08.127754
19900	8	8	0.771	1	0:00:08.119525
