idx	label	predict	radius	correct	time
10000	3	3	0.547	1	0:00:08.118842
10100	4	4	0.223	1	0:00:08.114548
10200	5	5	0.804	1	0:00:08.123989
10300	6	6	0.953	1	0:00:08.119580
10400	9	9	0.953	1	0:00:08.127909
10500	4	6	0.133	0	0:00:08.122221
10600	8	8	0.922	1	0:00:08.124548
10700	7	7	0.953	1	0:00:08.123515
10800	7	7	0.953	1	0:00:08.125185
10900	2	6	0.299	0	0:00:08.120852
11000	5	5	0.953	1	0:00:08.122440
11100	7	7	0.181	1	0:00:08.124291
11200	8	8	0.729	1	0:00:08.124166
11300	4	3	0.0975	0	0:00:08.116132
11400	5	5	0.0359	1	0:00:08.120948
11500	1	1	0.953	1	0:00:08.131474
11600	8	9	0.243	0	0:00:08.128389
11700	5	5	0.458	1	0:00:08.127012
11800	4	4	0.454	1	0:00:08.127832
11900	8	8	0.953	1	0:00:08.125129
12000	1	1	0.572	1	0:00:08.126649
12100	2	2	0.646	1	0:00:08.126821
12200	0	0	0.595	1	0:00:08.126493
12300	3	3	0.208	1	0:00:08.125987
12400	0	0	0.935	1	0:00:08.132327
12500	4	4	0.339	1	0:00:08.121685
12600	8	8	0.953	1	0:00:08.131350
12700	9	9	0.403	1	0:00:08.143070
12800	4	4	0.356	1	0:00:08.126318
12900	3	5	0.953	0	0:00:08.130172
13000	5	5	0.953	1	0:00:08.130840
13100	0	0	0.953	1	0:00:08.118110
13200	5	5	0.491	1	0:00:08.133797
13300	4	4	0.336	1	0:00:08.119214
13400	6	4	0.612	0	0:00:08.126148
13500	1	1	0.582	1	0:00:08.123656
13600	4	2	0.56	0	0:00:08.123307
13700	3	3	0.953	1	0:00:08.118648
13800	9	9	0.953	1	0:00:08.124995
13900	3	6	0.913	0	0:00:08.119331
14000	8	0	0.16	0	0:00:08.119213
14100	7	7	0.953	1	0:00:08.120499
14200	4	4	0.769	1	0:00:08.114269
14300	8	8	0.953	1	0:00:08.114929
14400	3	4	0.204	0	0:00:08.113637
14500	3	3	0.0182	1	0:00:08.118879
14600	4	4	0.803	1	0:00:08.118344
14700	6	6	0.0801	1	0:00:08.119328
14800	9	9	0.953	1	0:00:08.116908
14900	3	3	0.32	1	0:00:08.114520
15000	7	7	0.953	1	0:00:08.120895
15100	3	3	0.953	1	0:00:08.117807
15200	3	3	0.913	1	0:00:08.113353
15300	9	9	0.833	1	0:00:08.115754
15400	9	9	0.935	1	0:00:08.112344
15500	8	8	0.59	1	0:00:08.112478
15600	6	-1	0.0	0	0:00:08.111603
15700	3	3	0.00636	1	0:00:08.111729
15800	2	2	0.898	1	0:00:08.113572
15900	4	-1	0.0	0	0:00:08.105432
16000	8	8	0.589	1	0:00:08.115321
16100	1	1	0.953	1	0:00:08.110760
16200	3	3	0.819	1	0:00:08.117005
16300	1	1	0.935	1	0:00:08.111615
16400	0	0	0.437	1	0:00:08.107791
16500	7	6	0.339	0	0:00:08.104982
16600	7	7	0.953	1	0:00:08.111193
16700	6	6	0.898	1	0:00:08.110872
16800	6	6	0.24	1	0:00:08.110788
16900	3	3	0.953	1	0:00:08.113076
17000	2	-1	0.0	0	0:00:08.108283
17100	9	3	0.591	0	0:00:08.116047
17200	4	4	0.0386	1	0:00:08.107235
17300	3	5	0.522	0	0:00:08.115316
17400	3	3	0.327	1	0:00:08.113880
17500	6	6	0.953	1	0:00:08.118174
17600	8	9	0.461	0	0:00:08.118045
17700	6	6	0.953	1	0:00:08.112664
17800	0	0	0.953	1	0:00:08.113772
17900	0	2	0.319	0	0:00:08.119986
18000	9	9	0.953	1	0:00:08.121415
18100	6	6	0.128	1	0:00:08.122308
18200	3	6	0.03	0	0:00:08.118991
18300	5	-1	0.0	0	0:00:08.119879
18400	0	0	0.658	1	0:00:08.117050
18500	4	4	0.935	1	0:00:08.115155
18600	3	4	0.081	0	0:00:08.121866
18700	3	3	0.739	1	0:00:08.124907
18800	0	0	0.953	1	0:00:08.123916
18900	2	2	0.246	1	0:00:08.120970
19000	8	8	0.953	1	0:00:08.127766
19100	9	1	0.476	0	0:00:08.125954
19200	8	8	0.953	1	0:00:08.121273
19300	5	5	0.315	1	0:00:08.127236
19400	6	6	0.935	1	0:00:08.128303
19500	9	9	0.953	1	0:00:08.128542
19600	8	8	0.736	1	0:00:08.124548
19700	0	0	0.953	1	0:00:08.127982
19800	1	1	0.953	1	0:00:08.137978
19900	8	8	0.835	1	0:00:08.129084
