idx	label	predict	radius	correct	time
10000	3	3	0.252	1	0:00:08.143808
10100	4	4	0.279	1	0:00:08.142006
10200	5	5	0.00853	1	0:00:08.145826
10300	6	6	0.288	1	0:00:08.146091
10400	9	9	0.25	1	0:00:08.148886
10500	4	6	0.12	0	0:00:08.148790
10600	8	8	0.255	1	0:00:08.150309
10700	7	7	0.341	1	0:00:08.148362
10800	7	7	0.459	1	0:00:08.150171
10900	2	4	0.168	0	0:00:08.149632
11000	5	5	0.401	1	0:00:08.154338
11100	7	8	0.0831	0	0:00:08.153367
11200	8	8	0.381	1	0:00:08.155919
11300	4	3	0.738	0	0:00:08.151162
11400	5	3	0.241	0	0:00:08.153324
11500	1	1	0.415	1	0:00:08.158627
11600	8	-1	0.0	0	0:00:08.154816
11700	5	5	0.0908	1	0:00:08.156751
11800	4	4	0.112	1	0:00:08.157199
11900	8	8	0.775	1	0:00:08.156820
12000	1	6	0.0205	0	0:00:08.160629
12100	2	2	0.413	1	0:00:08.159012
12200	0	0	0.205	1	0:00:08.159864
12300	3	4	0.07	0	0:00:08.161047
12400	0	0	0.913	1	0:00:08.151484
12500	4	4	0.131	1	0:00:08.150327
12600	8	8	0.678	1	0:00:08.149639
12700	9	9	0.0629	1	0:00:08.153133
12800	4	4	0.323	1	0:00:08.149462
12900	3	2	0.155	0	0:00:08.153962
13000	5	5	0.353	1	0:00:08.149773
13100	0	0	0.386	1	0:00:08.145600
13200	5	5	0.343	1	0:00:08.158334
13300	4	2	0.049	0	0:00:08.157793
13400	6	4	0.256	0	0:00:08.158762
13500	1	9	0.00954	0	0:00:08.160285
13600	4	2	0.4	0	0:00:08.158205
13700	3	3	0.474	1	0:00:08.155253
13800	9	9	0.0985	1	0:00:08.157142
13900	3	6	0.281	0	0:00:08.155268
14000	8	4	0.173	0	0:00:08.153767
14100	7	7	0.659	1	0:00:08.156565
14200	4	4	0.433	1	0:00:08.151593
14300	8	8	0.652	1	0:00:08.150326
14400	3	4	0.104	0	0:00:08.148082
14500	3	-1	0.0	0	0:00:08.151161
14600	4	4	0.379	1	0:00:08.153319
14700	6	4	0.0402	0	0:00:08.150751
14800	9	9	0.877	1	0:00:08.150718
14900	3	3	0.362	1	0:00:08.148710
15000	7	7	0.953	1	0:00:08.150999
15100	3	3	0.243	1	0:00:08.150061
15200	3	-1	0.0	0	0:00:08.145902
15300	9	9	0.343	1	0:00:08.147335
15400	9	9	0.338	1	0:00:08.143757
15500	8	8	0.467	1	0:00:08.144837
15600	6	-1	0.0	0	0:00:08.145441
15700	3	3	0.43	1	0:00:08.145325
15800	2	2	0.443	1	0:00:08.142910
15900	4	4	0.369	1	0:00:08.142146
16000	8	8	0.0098	1	0:00:08.142555
16100	1	1	0.165	1	0:00:08.143174
16200	3	3	0.171	1	0:00:08.144653
16300	1	1	0.0996	1	0:00:08.143850
16400	0	0	0.237	1	0:00:08.145314
16500	7	6	0.0693	0	0:00:08.141902
16600	7	7	0.869	1	0:00:08.144359
16700	6	6	0.306	1	0:00:08.142474
16800	6	4	0.297	0	0:00:08.139352
16900	3	3	0.203	1	0:00:08.141812
17000	2	2	0.0985	1	0:00:08.136357
17100	9	-1	0.0	0	0:00:08.138525
17200	4	3	0.0467	0	0:00:08.138369
17300	3	4	0.122	0	0:00:08.143299
17400	3	-1	0.0	0	0:00:08.142035
17500	6	6	0.953	1	0:00:08.141411
17600	8	0	0.0348	0	0:00:08.139260
17700	6	6	0.14	1	0:00:08.136202
17800	0	0	0.157	1	0:00:08.134582
17900	0	2	0.0788	0	0:00:08.141907
18000	9	9	0.0571	1	0:00:08.139712
18100	6	2	0.0128	0	0:00:08.143397
18200	3	-1	0.0	0	0:00:08.140927
18300	5	-1	0.0	0	0:00:08.139679
18400	0	0	0.056	1	0:00:08.143666
18500	4	4	0.602	1	0:00:08.141470
18600	3	2	0.0531	0	0:00:08.143449
18700	3	3	0.575	1	0:00:08.144117
18800	0	0	0.799	1	0:00:08.142356
18900	2	4	0.149	0	0:00:08.143917
19000	8	8	0.707	1	0:00:08.144311
19100	9	1	0.0835	0	0:00:08.146228
19200	8	8	0.707	1	0:00:08.135208
19300	5	-1	0.0	0	0:00:08.139049
19400	6	6	0.317	1	0:00:08.139400
19500	9	9	0.262	1	0:00:08.141967
19600	8	8	0.449	1	0:00:08.137504
19700	0	0	0.243	1	0:00:08.140979
19800	1	1	0.858	1	0:00:08.143416
19900	8	8	0.448	1	0:00:08.144063
