idx	label	predict	radius	correct	time
10000	3	3	0.338	1	0:00:08.161974
10100	4	4	0.0611	1	0:00:08.162240
10200	5	5	0.354	1	0:00:08.161574
10300	6	6	0.953	1	0:00:08.160728
10400	9	9	0.721	1	0:00:08.162886
10500	4	-1	0.0	0	0:00:08.160990
10600	8	8	0.543	1	0:00:08.158978
10700	7	7	0.953	1	0:00:08.158568
10800	7	7	0.953	1	0:00:08.159583
10900	2	-1	0.0	0	0:00:08.154999
11000	5	5	0.953	1	0:00:08.162173
11100	7	0	0.115	0	0:00:08.157039
11200	8	8	0.459	1	0:00:08.154398
11300	4	3	0.45	0	0:00:08.149803
11400	5	3	0.0556	0	0:00:08.149001
11500	1	1	0.656	1	0:00:08.157853
11600	8	-1	0.0	0	0:00:08.152577
11700	5	5	0.0539	1	0:00:08.151429
11800	4	4	0.449	1	0:00:08.150511
11900	8	8	0.953	1	0:00:08.147413
12000	1	1	0.555	1	0:00:08.148935
12100	2	2	0.433	1	0:00:08.148293
12200	0	0	0.261	1	0:00:08.146664
12300	3	-1	0.0	0	0:00:08.148894
12400	0	0	0.953	1	0:00:08.150994
12500	4	4	0.0459	1	0:00:08.146430
12600	8	8	0.808	1	0:00:08.146715
12700	9	9	0.0867	1	0:00:08.149649
12800	4	4	0.276	1	0:00:08.147465
12900	3	7	0.089	0	0:00:08.149305
13000	5	5	0.801	1	0:00:08.147826
13100	0	0	0.481	1	0:00:08.142548
13200	5	5	0.564	1	0:00:08.150028
13300	4	4	0.29	1	0:00:08.148094
13400	6	4	0.442	0	0:00:08.151330
13500	1	1	0.112	1	0:00:08.151994
13600	4	2	0.267	0	0:00:08.151308
13700	3	3	0.719	1	0:00:08.151541
13800	9	9	0.726	1	0:00:08.154897
13900	3	-1	0.0	0	0:00:08.151715
14000	8	-1	0.0	0	0:00:08.153720
14100	7	7	0.935	1	0:00:08.157968
14200	4	4	0.177	1	0:00:08.152424
14300	8	8	0.506	1	0:00:08.156078
14400	3	-1	0.0	0	0:00:08.154914
14500	3	5	0.0381	0	0:00:08.157991
14600	4	4	0.51	1	0:00:08.160253
14700	6	5	0.144	0	0:00:08.158908
14800	9	9	0.953	1	0:00:08.160920
14900	3	3	0.578	1	0:00:08.161043
15000	7	7	0.953	1	0:00:08.161990
15100	3	3	0.689	1	0:00:08.161917
15200	3	3	0.593	1	0:00:08.161290
15300	9	9	0.781	1	0:00:08.163094
15400	9	9	0.716	1	0:00:08.161420
15500	8	8	0.247	1	0:00:08.160676
15600	6	6	0.241	1	0:00:08.161294
15700	3	3	0.615	1	0:00:08.165104
15800	2	2	0.533	1	0:00:08.165712
15900	4	3	0.00932	0	0:00:08.163052
16000	8	8	0.322	1	0:00:08.174275
16100	1	1	0.953	1	0:00:08.166572
16200	3	3	0.0733	1	0:00:08.164191
16300	1	1	0.676	1	0:00:08.166745
16400	0	0	0.492	1	0:00:08.165223
16500	7	-1	0.0	0	0:00:08.170717
16600	7	7	0.935	1	0:00:08.167664
16700	6	6	0.892	1	0:00:08.166960
16800	6	-1	0.0	0	0:00:08.169398
16900	3	3	0.556	1	0:00:08.169579
17000	2	0	0.136	0	0:00:08.164999
17100	9	3	0.0432	0	0:00:08.167989
17200	4	4	0.0965	1	0:00:08.162927
17300	3	-1	0.0	0	0:00:08.163648
17400	3	5	0.346	0	0:00:08.163556
17500	6	6	0.953	1	0:00:08.167500
17600	8	-1	0.0	0	0:00:08.162426
17700	6	6	0.953	1	0:00:08.162460
17800	0	0	0.577	1	0:00:08.159511
17900	0	-1	0.0	0	0:00:08.161312
18000	9	9	0.671	1	0:00:08.158495
18100	6	6	0.0966	1	0:00:08.160397
18200	3	6	0.0554	0	0:00:08.160406
18300	5	-1	0.0	0	0:00:08.156680
18400	0	0	0.266	1	0:00:08.160131
18500	4	4	0.556	1	0:00:08.154853
18600	3	-1	0.0	0	0:00:08.157553
18700	3	3	0.587	1	0:00:08.157066
18800	0	0	0.953	1	0:00:08.153565
18900	2	4	0.21	0	0:00:08.155750
19000	8	8	0.953	1	0:00:08.156204
19100	9	1	0.187	0	0:00:08.159338
19200	8	8	0.742	1	0:00:08.152621
19300	5	-1	0.0	0	0:00:08.156755
19400	6	6	0.913	1	0:00:08.155376
19500	9	9	0.573	1	0:00:08.154606
19600	8	8	0.132	1	0:00:08.147631
19700	0	0	0.749	1	0:00:08.150800
19800	1	1	0.953	1	0:00:08.155482
19900	8	8	0.905	1	0:00:08.153382
