idx	label	predict	radius	correct	time
10000	3	3	0.552	1	0:00:08.143821
10100	4	-1	0.0	0	0:00:08.142571
10200	5	5	0.269	1	0:00:08.146943
10300	6	6	0.569	1	0:00:08.143824
10400	9	9	0.499	1	0:00:08.142744
10500	4	3	0.0245	0	0:00:08.140520
10600	8	8	0.498	1	0:00:08.143789
10700	7	7	0.637	1	0:00:08.142517
10800	7	7	0.935	1	0:00:08.145512
10900	2	6	0.0934	0	0:00:08.143852
11000	5	5	0.807	1	0:00:08.146223
11100	7	0	0.219	0	0:00:08.148163
11200	8	8	0.412	1	0:00:08.145028
11300	4	3	0.365	0	0:00:08.142217
11400	5	3	0.0271	0	0:00:08.145003
11500	1	1	0.842	1	0:00:08.155859
11600	8	-1	0.0	0	0:00:08.151335
11700	5	5	0.0466	1	0:00:08.151030
11800	4	4	0.436	1	0:00:08.148621
11900	8	8	0.922	1	0:00:08.148309
12000	1	1	0.52	1	0:00:08.159582
12100	2	2	0.374	1	0:00:08.161227
12200	0	0	0.164	1	0:00:08.160065
12300	3	3	0.0496	1	0:00:08.162835
12400	0	0	0.953	1	0:00:08.168746
12500	4	4	0.227	1	0:00:08.163787
12600	8	8	0.821	1	0:00:08.154959
12700	9	1	0.351	0	0:00:08.158291
12800	4	4	0.253	1	0:00:08.155427
12900	3	2	0.235	0	0:00:08.161621
13000	5	5	0.696	1	0:00:08.161134
13100	0	0	0.674	1	0:00:08.155185
13200	5	5	0.249	1	0:00:08.160918
13300	4	4	0.122	1	0:00:08.158131
13400	6	4	0.675	0	0:00:08.159742
13500	1	-1	0.0	0	0:00:08.159991
13600	4	2	0.593	0	0:00:08.162459
13700	3	3	0.709	1	0:00:08.158852
13800	9	9	0.273	1	0:00:08.169167
13900	3	6	0.282	0	0:00:08.158395
14000	8	-1	0.0	0	0:00:08.156091
14100	7	7	0.839	1	0:00:08.157640
14200	4	4	0.0556	1	0:00:08.151693
14300	8	8	0.69	1	0:00:08.152983
14400	3	3	0.0365	1	0:00:08.153478
14500	3	5	0.0777	0	0:00:08.156103
14600	4	4	0.532	1	0:00:08.156876
14700	6	5	0.149	0	0:00:08.159116
14800	9	9	0.953	1	0:00:08.157570
14900	3	3	0.545	1	0:00:08.150944
15000	7	7	0.953	1	0:00:08.152883
15100	3	3	0.747	1	0:00:08.151568
15200	3	3	0.726	1	0:00:08.149305
15300	9	9	0.584	1	0:00:08.149536
15400	9	9	0.648	1	0:00:08.147250
15500	8	8	0.523	1	0:00:08.146666
15600	6	6	0.0365	1	0:00:08.148927
15700	3	3	0.734	1	0:00:08.146462
15800	2	2	0.731	1	0:00:08.143458
15900	4	3	0.00244	0	0:00:08.140498
16000	8	8	0.47	1	0:00:08.142149
16100	1	1	0.768	1	0:00:08.144523
16200	3	3	0.127	1	0:00:08.141226
16300	1	1	0.39	1	0:00:08.142135
16400	0	0	0.376	1	0:00:08.141653
16500	7	-1	0.0	0	0:00:08.139708
16600	7	7	0.886	1	0:00:08.143106
16700	6	6	0.641	1	0:00:08.141178
16800	6	-1	0.0	0	0:00:08.140386
16900	3	3	0.532	1	0:00:08.141527
17000	2	-1	0.0	0	0:00:08.136899
17100	9	3	0.354	0	0:00:08.139470
17200	4	-1	0.0	0	0:00:08.135891
17300	3	4	0.0206	0	0:00:08.135458
17400	3	3	0.039	1	0:00:08.140128
17500	6	6	0.953	1	0:00:08.142751
17600	8	2	0.14	0	0:00:08.135144
17700	6	6	0.629	1	0:00:08.135982
17800	0	0	0.651	1	0:00:08.130075
17900	0	8	0.049	0	0:00:08.139529
18000	9	9	0.544	1	0:00:08.139632
18100	6	2	0.0178	0	0:00:08.142269
18200	3	6	0.0548	0	0:00:08.142291
18300	5	-1	0.0	0	0:00:08.140794
18400	0	0	0.284	1	0:00:08.139654
18500	4	4	0.573	1	0:00:08.142290
18600	3	-1	0.0	0	0:00:08.143332
18700	3	3	0.637	1	0:00:08.140923
18800	0	0	0.935	1	0:00:08.143286
18900	2	2	0.0325	1	0:00:08.141525
19000	8	8	0.898	1	0:00:08.143541
19100	9	1	0.415	0	0:00:08.146418
19200	8	8	0.862	1	0:00:08.142443
19300	5	2	0.117	0	0:00:08.147471
19400	6	6	0.653	1	0:00:08.149259
19500	9	9	0.227	1	0:00:08.149785
19600	8	8	0.319	1	0:00:08.145065
19700	0	0	0.404	1	0:00:08.149733
19800	1	1	0.953	1	0:00:08.152619
19900	8	8	0.555	1	0:00:08.146963
