idx	label	predict	radius	correct	time
10000	3	3	0.935	1	0:00:08.062488
10100	4	4	0.0457	1	0:00:08.059641
10200	5	5	0.849	1	0:00:08.062382
10300	6	6	0.953	1	0:00:08.059736
10400	9	9	0.953	1	0:00:08.064476
10500	4	6	0.375	0	0:00:08.060147
10600	8	8	0.532	1	0:00:08.060344
10700	7	7	0.953	1	0:00:08.061623
10800	7	7	0.953	1	0:00:08.063092
10900	2	6	0.387	0	0:00:08.056321
11000	5	5	0.953	1	0:00:08.060060
11100	7	8	0.0183	0	0:00:08.060770
11200	8	8	0.15	1	0:00:08.061052
11300	4	3	0.706	0	0:00:08.052845
11400	5	3	0.255	0	0:00:08.056788
11500	1	1	0.953	1	0:00:08.062737
11600	8	9	0.353	0	0:00:08.060138
11700	5	3	0.0903	0	0:00:08.060256
11800	4	4	0.0953	1	0:00:08.059715
11900	8	8	0.953	1	0:00:08.060156
12000	1	1	0.564	1	0:00:08.059190
12100	2	2	0.746	1	0:00:08.057748
12200	0	0	0.157	1	0:00:08.059114
12300	3	4	0.0818	0	0:00:08.057826
12400	0	0	0.953	1	0:00:08.062270
12500	4	4	0.49	1	0:00:08.059433
12600	8	8	0.953	1	0:00:08.059892
12700	9	9	0.512	1	0:00:08.064295
12800	4	4	0.47	1	0:00:08.059019
12900	3	5	0.0991	0	0:00:08.061594
13000	5	5	0.953	1	0:00:08.062032
13100	0	0	0.953	1	0:00:08.058629
13200	5	5	0.784	1	0:00:08.062921
13300	4	4	0.348	1	0:00:08.060274
13400	6	4	0.621	0	0:00:08.062000
13500	1	1	0.539	1	0:00:08.063156
13600	4	2	0.577	0	0:00:08.062737
13700	3	3	0.922	1	0:00:08.061417
13800	9	9	0.562	1	0:00:08.066739
13900	3	3	0.218	1	0:00:08.064764
14000	8	0	0.0605	0	0:00:08.064132
14100	7	7	0.953	1	0:00:08.066757
14200	4	4	0.55	1	0:00:08.061421
14300	8	8	0.953	1	0:00:08.063150
14400	3	-1	0.0	0	0:00:08.062416
14500	3	5	0.0794	0	0:00:08.064210
14600	4	7	0.466	0	0:00:08.066775
14700	6	-1	0.0	0	0:00:08.068061
14800	9	9	0.953	1	0:00:08.069238
14900	3	3	0.417	1	0:00:08.067409
15000	7	7	0.953	1	0:00:08.068166
15100	3	3	0.953	1	0:00:08.064799
15200	3	3	0.953	1	0:00:08.063374
15300	9	9	0.829	1	0:00:08.064942
15400	9	9	0.336	1	0:00:08.063405
15500	8	8	0.877	1	0:00:08.063678
15600	6	5	0.199	0	0:00:08.060727
15700	3	5	0.196	0	0:00:08.063102
15800	2	2	0.73	1	0:00:08.062345
15900	4	3	0.202	0	0:00:08.059458
16000	8	8	0.691	1	0:00:08.061297
16100	1	1	0.935	1	0:00:08.061925
16200	3	3	0.696	1	0:00:08.066159
16300	1	1	0.898	1	0:00:08.062775
16400	0	0	0.301	1	0:00:08.060776
16500	7	6	0.355	0	0:00:08.059135
16600	7	7	0.953	1	0:00:08.064424
16700	6	6	0.905	1	0:00:08.060466
16800	6	6	0.355	1	0:00:08.059068
16900	3	3	0.953	1	0:00:08.064327
17000	2	8	0.197	0	0:00:08.058368
17100	9	3	0.0837	0	0:00:08.060312
17200	4	4	0.0945	1	0:00:08.057529
17300	3	5	0.257	0	0:00:08.059690
17400	3	5	0.0961	0	0:00:08.060756
17500	6	6	0.953	1	0:00:08.061929
17600	8	9	0.339	0	0:00:08.056766
17700	6	6	0.953	1	0:00:08.058495
17800	0	0	0.953	1	0:00:08.057080
17900	0	8	0.556	0	0:00:08.060483
18000	9	9	0.953	1	0:00:08.062396
18100	6	2	0.473	0	0:00:08.061042
18200	3	-1	0.0	0	0:00:08.061126
18300	5	2	0.113	0	0:00:08.058084
18400	0	0	0.366	1	0:00:08.058549
18500	4	4	0.953	1	0:00:08.059314
18600	3	3	0.373	1	0:00:08.062774
18700	3	3	0.35	1	0:00:08.062335
18800	0	0	0.953	1	0:00:08.060204
18900	2	2	0.0225	1	0:00:08.058465
19000	8	8	0.953	1	0:00:08.060588
19100	9	1	0.631	0	0:00:08.060485
19200	8	8	0.953	1	0:00:08.059171
19300	5	3	0.141	0	0:00:08.060869
19400	6	6	0.905	1	0:00:08.059979
19500	9	9	0.953	1	0:00:08.061324
19600	8	8	0.608	1	0:00:08.058023
19700	0	0	0.922	1	0:00:08.060195
19800	1	1	0.953	1	0:00:08.064273
19900	8	8	0.953	1	0:00:08.058857
