idx	label	predict	radius	correct	time
10000	3	3	0.877	1	0:00:08.062909
10100	4	4	0.014	1	0:00:08.061965
10200	5	5	0.847	1	0:00:08.065951
10300	6	6	0.953	1	0:00:08.064047
10400	9	9	0.953	1	0:00:08.067114
10500	4	6	0.509	0	0:00:08.065459
10600	8	8	0.56	1	0:00:08.065873
10700	7	7	0.953	1	0:00:08.067914
10800	7	7	0.953	1	0:00:08.066625
10900	2	6	0.45	0	0:00:08.062246
11000	5	5	0.953	1	0:00:08.065438
11100	7	8	0.133	0	0:00:08.068118
11200	8	8	0.26	1	0:00:08.067512
11300	4	3	0.771	0	0:00:08.058155
11400	5	3	0.244	0	0:00:08.065049
11500	1	1	0.852	1	0:00:08.068617
11600	8	9	0.451	0	0:00:08.064916
11700	5	3	0.0814	0	0:00:08.065590
11800	4	0	0.0095	0	0:00:08.064798
11900	8	8	0.953	1	0:00:08.063918
12000	1	1	0.768	1	0:00:08.062780
12100	2	2	0.773	1	0:00:08.061077
12200	0	0	0.287	1	0:00:08.063444
12300	3	-1	0.0	0	0:00:08.060707
12400	0	0	0.953	1	0:00:08.065932
12500	4	4	0.214	1	0:00:08.062005
12600	8	8	0.953	1	0:00:08.067686
12700	9	9	0.49	1	0:00:08.069707
12800	4	4	0.457	1	0:00:08.061030
12900	3	5	0.0764	0	0:00:08.065145
13000	5	5	0.953	1	0:00:08.065221
13100	0	0	0.953	1	0:00:08.058488
13200	5	5	0.757	1	0:00:08.063781
13300	4	4	0.488	1	0:00:08.063208
13400	6	4	0.678	0	0:00:08.063853
13500	1	1	0.583	1	0:00:08.066388
13600	4	2	0.53	0	0:00:08.064149
13700	3	3	0.913	1	0:00:08.064709
13800	9	9	0.886	1	0:00:08.065249
13900	3	3	0.44	1	0:00:08.063824
14000	8	-1	0.0	0	0:00:08.064553
14100	7	7	0.953	1	0:00:08.066020
14200	4	4	0.719	1	0:00:08.060442
14300	8	8	0.953	1	0:00:08.063646
14400	3	-1	0.0	0	0:00:08.064458
14500	3	3	0.0379	1	0:00:08.065906
14600	4	7	0.422	0	0:00:08.064595
14700	6	-1	0.0	0	0:00:08.064719
14800	9	9	0.953	1	0:00:08.066956
14900	3	3	0.386	1	0:00:08.065303
15000	7	7	0.953	1	0:00:08.067862
15100	3	3	0.953	1	0:00:08.064193
15200	3	3	0.953	1	0:00:08.064289
15300	9	9	0.905	1	0:00:08.065151
15400	9	9	0.497	1	0:00:08.065268
15500	8	8	0.881	1	0:00:08.063539
15600	6	-1	0.0	0	0:00:08.063437
15700	3	5	0.323	0	0:00:08.067265
15800	2	2	0.709	1	0:00:08.064374
15900	4	3	0.174	0	0:00:08.061591
16000	8	8	0.657	1	0:00:08.066608
16100	1	1	0.953	1	0:00:08.066497
16200	3	3	0.58	1	0:00:08.067224
16300	1	1	0.953	1	0:00:08.067586
16400	0	0	0.286	1	0:00:08.064023
16500	7	6	0.15	0	0:00:08.065377
16600	7	7	0.953	1	0:00:08.067184
16700	6	6	0.935	1	0:00:08.067189
16800	6	6	0.404	1	0:00:08.063421
16900	3	3	0.953	1	0:00:08.068870
17000	2	8	0.147	0	0:00:08.063822
17100	9	3	0.03	0	0:00:08.066127
17200	4	4	0.0301	1	0:00:08.062971
17300	3	5	0.313	0	0:00:08.066300
17400	3	5	0.109	0	0:00:08.065164
17500	6	6	0.953	1	0:00:08.070884
17600	8	9	0.495	0	0:00:08.063057
17700	6	6	0.953	1	0:00:08.061533
17800	0	0	0.953	1	0:00:08.062496
17900	0	8	0.525	0	0:00:08.065136
18000	9	9	0.953	1	0:00:08.071793
18100	6	2	0.464	0	0:00:08.065870
18200	3	-1	0.0	0	0:00:08.066092
18300	5	-1	0.0	0	0:00:08.064379
18400	0	0	0.505	1	0:00:08.063517
18500	4	4	0.953	1	0:00:08.062423
18600	3	3	0.485	1	0:00:08.066718
18700	3	3	0.222	1	0:00:08.064949
18800	0	0	0.922	1	0:00:08.067003
18900	2	4	0.0365	0	0:00:08.068416
19000	8	8	0.953	1	0:00:08.067361
19100	9	1	0.573	0	0:00:08.069418
19200	8	8	0.922	1	0:00:08.065082
19300	5	3	0.167	0	0:00:08.068163
19400	6	6	0.953	1	0:00:08.067339
19500	9	9	0.953	1	0:00:08.067610
19600	8	8	0.542	1	0:00:08.065200
19700	0	0	0.935	1	0:00:08.065940
19800	1	1	0.953	1	0:00:08.073656
19900	8	8	0.953	1	0:00:08.065222
