idx	label	predict	radius	correct	time
10000	3	3	0.823	1	0:00:08.042594
10100	4	4	0.0824	1	0:00:08.040173
10200	5	5	0.813	1	0:00:08.050776
10300	6	6	0.953	1	0:00:08.045097
10400	9	9	0.953	1	0:00:08.047296
10500	4	6	0.475	0	0:00:08.043988
10600	8	8	0.606	1	0:00:08.048020
10700	7	7	0.953	1	0:00:08.052065
10800	7	7	0.953	1	0:00:08.045124
10900	2	6	0.477	0	0:00:08.040018
11000	5	5	0.953	1	0:00:08.052606
11100	7	8	0.114	0	0:00:08.047112
11200	8	8	0.231	1	0:00:08.046309
11300	4	3	0.686	0	0:00:08.035789
11400	5	3	0.242	0	0:00:08.040576
11500	1	1	0.913	1	0:00:08.050764
11600	8	9	0.464	0	0:00:08.046268
11700	5	3	0.0426	0	0:00:08.047724
11800	4	4	0.0826	1	0:00:08.044347
11900	8	8	0.953	1	0:00:08.045444
12000	1	1	0.792	1	0:00:08.046098
12100	2	2	0.773	1	0:00:08.049063
12200	0	0	0.205	1	0:00:08.052248
12300	3	-1	0.0	0	0:00:08.061006
12400	0	0	0.953	1	0:00:08.066185
12500	4	4	0.262	1	0:00:08.067326
12600	8	8	0.953	1	0:00:08.067462
12700	9	9	0.458	1	0:00:08.069333
12800	4	4	0.43	1	0:00:08.065203
12900	3	5	0.114	0	0:00:08.067848
13000	5	5	0.953	1	0:00:08.068550
13100	0	0	0.953	1	0:00:08.066145
13200	5	5	0.823	1	0:00:08.069560
13300	4	4	0.488	1	0:00:08.071312
13400	6	4	0.635	0	0:00:08.069048
13500	1	1	0.58	1	0:00:08.073270
13600	4	2	0.605	0	0:00:08.074653
13700	3	3	0.905	1	0:00:08.072349
13800	9	9	0.842	1	0:00:08.074393
13900	3	3	0.4	1	0:00:08.075894
14000	8	-1	0.0	0	0:00:08.075122
14100	7	7	0.953	1	0:00:08.083570
14200	4	4	0.679	1	0:00:08.074329
14300	8	8	0.953	1	0:00:08.073473
14400	3	-1	0.0	0	0:00:08.073265
14500	3	3	0.0535	1	0:00:08.075164
14600	4	7	0.491	0	0:00:08.075106
14700	6	5	0.0178	0	0:00:08.076206
14800	9	9	0.953	1	0:00:08.076180
14900	3	3	0.415	1	0:00:08.074787
15000	7	7	0.953	1	0:00:08.076231
15100	3	3	0.953	1	0:00:08.073270
15200	3	3	0.953	1	0:00:08.069831
15300	9	9	0.935	1	0:00:08.072634
15400	9	9	0.525	1	0:00:08.072074
15500	8	8	0.839	1	0:00:08.072378
15600	6	5	0.0763	0	0:00:08.076565
15700	3	5	0.327	0	0:00:08.073134
15800	2	2	0.743	1	0:00:08.073141
15900	4	3	0.203	0	0:00:08.070964
16000	8	8	0.682	1	0:00:08.073003
16100	1	1	0.953	1	0:00:08.080396
16200	3	3	0.607	1	0:00:08.075372
16300	1	1	0.935	1	0:00:08.074498
16400	0	0	0.246	1	0:00:08.076392
16500	7	6	0.211	0	0:00:08.073348
16600	7	7	0.953	1	0:00:08.078334
16700	6	6	0.913	1	0:00:08.074203
16800	6	6	0.348	1	0:00:08.072647
16900	3	3	0.953	1	0:00:08.074415
17000	2	8	0.0739	0	0:00:08.073618
17100	9	-1	0.0	0	0:00:08.079669
17200	4	4	0.105	1	0:00:08.073007
17300	3	5	0.244	0	0:00:08.073455
17400	3	5	0.178	0	0:00:08.074184
17500	6	6	0.953	1	0:00:08.076460
17600	8	9	0.498	0	0:00:08.071867
17700	6	6	0.953	1	0:00:08.070979
17800	0	0	0.953	1	0:00:08.069233
17900	0	8	0.488	0	0:00:08.075733
18000	9	9	0.953	1	0:00:08.072549
18100	6	2	0.369	0	0:00:08.073051
18200	3	-1	0.0	0	0:00:08.073330
18300	5	2	0.00283	0	0:00:08.072422
18400	0	0	0.46	1	0:00:08.074009
18500	4	4	0.953	1	0:00:08.073327
18600	3	3	0.505	1	0:00:08.074601
18700	3	3	0.265	1	0:00:08.072513
18800	0	0	0.953	1	0:00:08.073394
18900	2	-1	0.0	0	0:00:08.074494
19000	8	8	0.953	1	0:00:08.075351
19100	9	1	0.584	0	0:00:08.074447
19200	8	8	0.847	1	0:00:08.070187
19300	5	3	0.0917	0	0:00:08.073556
19400	6	6	0.953	1	0:00:08.073988
19500	9	9	0.953	1	0:00:08.073019
19600	8	8	0.521	1	0:00:08.071251
19700	0	0	0.935	1	0:00:08.073243
19800	1	1	0.953	1	0:00:08.076743
19900	8	8	0.953	1	0:00:08.075043
