idx	label	predict	radius	correct	time
10000	3	3	0.534	1	0:00:08.019584
10100	4	4	0.0546	1	0:00:08.010511
10200	5	5	0.732	1	0:00:08.016330
10300	6	6	0.922	1	0:00:08.015964
10400	9	9	0.953	1	0:00:08.017953
10500	4	6	0.0234	0	0:00:08.018812
10600	8	8	0.242	1	0:00:08.017537
10700	7	7	0.953	1	0:00:08.015807
10800	7	7	0.953	1	0:00:08.018288
10900	2	6	0.468	0	0:00:08.012164
11000	5	5	0.953	1	0:00:08.016469
11100	7	8	0.418	0	0:00:08.018456
11200	8	8	0.469	1	0:00:08.019423
11300	4	3	0.597	0	0:00:08.008895
11400	5	3	0.0761	0	0:00:08.010999
11500	1	1	0.953	1	0:00:08.022579
11600	8	9	0.000952	0	0:00:08.015910
11700	5	5	0.267	1	0:00:08.013665
11800	4	4	0.248	1	0:00:08.016973
11900	8	8	0.953	1	0:00:08.013944
12000	1	1	0.46	1	0:00:08.016203
12100	2	2	0.495	1	0:00:08.015433
12200	0	0	0.0858	1	0:00:08.011068
12300	3	-1	0.0	0	0:00:08.013668
12400	0	0	0.953	1	0:00:08.013544
12500	4	6	0.0357	0	0:00:08.009623
12600	8	8	0.953	1	0:00:08.018814
12700	9	1	0.101	0	0:00:08.016673
12800	4	4	0.327	1	0:00:08.010070
12900	3	5	0.292	0	0:00:08.009870
13000	5	5	0.922	1	0:00:08.009438
13100	0	0	0.818	1	0:00:08.004349
13200	5	5	0.913	1	0:00:08.008312
13300	4	4	0.118	1	0:00:08.006682
13400	6	6	0.0433	1	0:00:08.006389
13500	1	1	0.249	1	0:00:08.007112
13600	4	-1	0.0	0	0:00:08.006597
13700	3	3	0.953	1	0:00:08.003937
13800	9	9	0.749	1	0:00:08.009295
13900	3	6	0.149	0	0:00:08.005608
14000	8	-1	0.0	0	0:00:08.005557
14100	7	7	0.953	1	0:00:08.007535
14200	4	4	0.535	1	0:00:08.002596
14300	8	8	0.712	1	0:00:08.004244
14400	3	-1	0.0	0	0:00:08.000146
14500	3	3	0.213	1	0:00:08.008508
14600	4	4	0.953	1	0:00:08.007670
14700	6	5	0.163	0	0:00:08.004948
14800	9	9	0.953	1	0:00:08.009818
14900	3	3	0.594	1	0:00:08.008422
15000	7	7	0.953	1	0:00:08.010789
15100	3	3	0.953	1	0:00:08.006270
15200	3	3	0.63	1	0:00:08.002800
15300	9	9	0.892	1	0:00:08.004917
15400	9	9	0.953	1	0:00:08.003876
15500	8	8	0.598	1	0:00:08.004771
15600	6	-1	0.0	0	0:00:08.005621
15700	3	5	0.0583	0	0:00:08.011599
15800	2	2	0.756	1	0:00:08.006369
15900	4	-1	0.0	0	0:00:08.005340
16000	8	8	0.369	1	0:00:08.008626
16100	1	1	0.953	1	0:00:08.010406
16200	3	3	0.611	1	0:00:08.006598
16300	1	1	0.913	1	0:00:08.008572
16400	0	0	0.316	1	0:00:08.008209
16500	7	-1	0.0	0	0:00:08.005605
16600	7	7	0.953	1	0:00:08.013196
16700	6	6	0.953	1	0:00:08.007990
16800	6	6	0.126	1	0:00:08.012891
16900	3	3	0.813	1	0:00:08.015477
17000	2	8	0.0472	0	0:00:08.006662
17100	9	-1	0.0	0	0:00:08.014230
17200	4	4	0.407	1	0:00:08.009766
17300	3	5	0.404	0	0:00:08.011086
17400	3	-1	0.0	0	0:00:08.013616
17500	6	6	0.953	1	0:00:08.015494
17600	8	9	0.308	0	0:00:08.012011
17700	6	6	0.953	1	0:00:08.012830
17800	0	0	0.913	1	0:00:08.009738
17900	0	4	0.0362	0	0:00:08.016548
18000	9	9	0.892	1	0:00:08.016003
18100	6	6	0.176	1	0:00:08.021359
18200	3	4	0.0313	0	0:00:08.017581
18300	5	-1	0.0	0	0:00:08.016736
18400	0	0	0.148	1	0:00:08.016940
18500	4	4	0.935	1	0:00:08.010524
18600	3	3	0.292	1	0:00:08.019932
18700	3	3	0.164	1	0:00:08.016437
18800	0	0	0.76	1	0:00:08.015818
18900	2	2	0.194	1	0:00:08.014102
19000	8	8	0.953	1	0:00:08.018734
19100	9	1	0.262	0	0:00:08.020679
19200	8	8	0.491	1	0:00:08.017968
19300	5	3	0.0816	0	0:00:08.021848
19400	6	6	0.953	1	0:00:08.019896
19500	9	9	0.953	1	0:00:08.021295
19600	8	8	0.315	1	0:00:08.016316
19700	0	0	0.935	1	0:00:08.019667
19800	1	1	0.953	1	0:00:08.024243
19900	8	8	0.953	1	0:00:08.021992
