idx	label	predict	radius	correct	time
10000	3	3	0.608	1	0:00:08.064582
10100	4	4	0.0199	1	0:00:08.060867
10200	5	5	0.704	1	0:00:08.060974
10300	6	6	0.892	1	0:00:08.060774
10400	9	9	0.953	1	0:00:08.066871
10500	4	4	0.369	1	0:00:08.061618
10600	8	-1	0.0	0	0:00:08.063270
10700	7	7	0.862	1	0:00:08.063536
10800	7	7	0.953	1	0:00:08.064497
10900	2	6	0.47	0	0:00:08.063730
11000	5	5	0.855	1	0:00:08.065745
11100	7	8	0.208	0	0:00:08.066857
11200	8	8	0.0707	1	0:00:08.070884
11300	4	3	0.549	0	0:00:08.060875
11400	5	5	0.0211	1	0:00:08.062802
11500	1	1	0.922	1	0:00:08.070372
11600	8	-1	0.0	0	0:00:08.066886
11700	5	5	0.303	1	0:00:08.067774
11800	4	4	0.375	1	0:00:08.067482
11900	8	8	0.953	1	0:00:08.068594
12000	1	1	0.388	1	0:00:08.082216
12100	2	2	0.39	1	0:00:08.068659
12200	0	2	0.107	0	0:00:08.067849
12300	3	-1	0.0	0	0:00:08.065743
12400	0	0	0.953	1	0:00:08.067707
12500	4	4	0.176	1	0:00:08.073394
12600	8	8	0.67	1	0:00:08.068907
12700	9	9	0.0702	1	0:00:08.068931
12800	4	4	0.385	1	0:00:08.065527
12900	3	5	0.14	0	0:00:08.069109
13000	5	5	0.881	1	0:00:08.068333
13100	0	0	0.877	1	0:00:08.061332
13200	5	5	0.922	1	0:00:08.066091
13300	4	4	0.0467	1	0:00:08.063820
13400	6	6	0.262	1	0:00:08.063300
13500	1	9	0.00224	0	0:00:08.073297
13600	4	2	0.0558	0	0:00:08.064516
13700	3	3	0.953	1	0:00:08.064129
13800	9	9	0.413	1	0:00:08.065600
13900	3	6	0.396	0	0:00:08.062357
14000	8	7	0.0209	0	0:00:08.063797
14100	7	7	0.953	1	0:00:08.064863
14200	4	4	0.442	1	0:00:08.062041
14300	8	8	0.734	1	0:00:08.065717
14400	3	-1	0.0	0	0:00:08.064370
14500	3	5	0.00547	0	0:00:08.070796
14600	4	4	0.922	1	0:00:08.065754
14700	6	5	0.181	0	0:00:08.065733
14800	9	9	0.953	1	0:00:08.065345
14900	3	3	0.317	1	0:00:08.063320
15000	7	7	0.953	1	0:00:08.067029
15100	3	3	0.953	1	0:00:08.061573
15200	3	3	0.804	1	0:00:08.061284
15300	9	9	0.549	1	0:00:08.061936
15400	9	9	0.818	1	0:00:08.058130
15500	8	8	0.503	1	0:00:08.061774
15600	6	-1	0.0	0	0:00:08.065545
15700	3	3	0.0388	1	0:00:08.061696
15800	2	2	0.657	1	0:00:08.060004
15900	4	-1	0.0	0	0:00:08.057822
16000	8	8	0.467	1	0:00:08.060351
16100	1	1	0.801	1	0:00:08.058681
16200	3	3	0.496	1	0:00:08.058406
16300	1	1	0.739	1	0:00:08.059229
16400	0	0	0.19	1	0:00:08.058651
16500	7	-1	0.0	0	0:00:08.057860
16600	7	7	0.953	1	0:00:08.062056
16700	6	6	0.561	1	0:00:08.056818
16800	6	6	0.0196	1	0:00:08.055626
16900	3	3	0.869	1	0:00:08.057408
17000	2	8	0.0862	0	0:00:08.055040
17100	9	-1	0.0	0	0:00:08.055993
17200	4	4	0.405	1	0:00:08.053387
17300	3	5	0.638	0	0:00:08.056142
17400	3	3	0.0565	1	0:00:08.054649
17500	6	6	0.953	1	0:00:08.057519
17600	8	9	0.32	0	0:00:08.053051
17700	6	6	0.898	1	0:00:08.060349
17800	0	0	0.839	1	0:00:08.049608
17900	0	-1	0.0	0	0:00:08.054217
18000	9	9	0.913	1	0:00:08.052678
18100	6	2	0.234	0	0:00:08.053712
18200	3	4	0.185	0	0:00:08.061830
18300	5	-1	0.0	0	0:00:08.049563
18400	0	0	0.12	1	0:00:08.050442
18500	4	4	0.869	1	0:00:08.048731
18600	3	3	0.101	1	0:00:08.055279
18700	3	3	0.242	1	0:00:08.051812
18800	0	0	0.862	1	0:00:08.053862
18900	2	2	0.277	1	0:00:08.049778
19000	8	8	0.953	1	0:00:08.055862
19100	9	1	0.368	0	0:00:08.052017
19200	8	8	0.366	1	0:00:08.048841
19300	5	3	0.0964	0	0:00:08.051853
19400	6	6	0.709	1	0:00:08.050195
19500	9	9	0.837	1	0:00:08.052309
19600	8	8	0.525	1	0:00:08.047647
19700	0	0	0.877	1	0:00:08.048845
19800	1	1	0.953	1	0:00:08.057155
19900	8	8	0.858	1	0:00:08.055110
