idx	label	predict	radius	correct	time
10000	3	3	0.839	1	0:00:08.045166
10100	4	5	0.23	0	0:00:08.041523
10200	5	5	0.953	1	0:00:08.043641
10300	6	6	0.953	1	0:00:08.041962
10400	9	9	0.953	1	0:00:08.045486
10500	4	6	0.078	0	0:00:08.041437
10600	8	8	0.784	1	0:00:08.041241
10700	7	7	0.953	1	0:00:08.040210
10800	7	7	0.953	1	0:00:08.042103
10900	2	6	0.439	0	0:00:08.039756
11000	5	5	0.953	1	0:00:08.040482
11100	7	8	0.509	0	0:00:08.040148
11200	8	8	0.439	1	0:00:08.038061
11300	4	6	0.755	0	0:00:08.031376
11400	5	5	0.953	1	0:00:08.034136
11500	1	1	0.953	1	0:00:08.040108
11600	8	9	0.015	0	0:00:08.037554
11700	5	5	0.935	1	0:00:08.038284
11800	4	4	0.194	1	0:00:08.037237
11900	8	8	0.953	1	0:00:08.037622
12000	1	1	0.5	1	0:00:08.036951
12100	2	2	0.773	1	0:00:08.034437
12200	0	0	0.953	1	0:00:08.031880
12300	3	3	0.0484	1	0:00:08.039287
12400	0	0	0.953	1	0:00:08.035539
12500	4	4	0.0801	1	0:00:08.032563
12600	8	8	0.953	1	0:00:08.035603
12700	9	1	0.052	0	0:00:08.038480
12800	4	4	0.446	1	0:00:08.034155
12900	3	5	0.641	0	0:00:08.036183
13000	5	5	0.953	1	0:00:08.034227
13100	0	0	0.953	1	0:00:08.028680
13200	5	5	0.855	1	0:00:08.035203
13300	4	4	0.266	1	0:00:08.033522
13400	6	4	0.161	0	0:00:08.036324
13500	1	1	0.34	1	0:00:08.035713
13600	4	2	0.69	0	0:00:08.033359
13700	3	3	0.0518	1	0:00:08.034036
13800	9	9	0.744	1	0:00:08.034784
13900	3	6	0.25	0	0:00:08.032806
14000	8	9	0.133	0	0:00:08.033394
14100	7	7	0.953	1	0:00:08.035388
14200	4	4	0.166	1	0:00:08.033058
14300	8	8	0.953	1	0:00:08.032352
14400	3	5	0.0795	0	0:00:08.032897
14500	3	5	0.0289	0	0:00:08.035565
14600	4	4	0.811	1	0:00:08.037318
14700	6	5	0.204	0	0:00:08.035167
14800	9	9	0.953	1	0:00:08.036060
14900	3	6	0.0506	0	0:00:08.034829
15000	7	7	0.953	1	0:00:08.039681
15100	3	3	0.935	1	0:00:08.036825
15200	3	3	0.953	1	0:00:08.035149
15300	9	9	0.953	1	0:00:08.038375
15400	9	9	0.697	1	0:00:08.036700
15500	8	8	0.669	1	0:00:08.036599
15600	6	-1	0.0	0	0:00:08.038420
15700	3	5	0.39	0	0:00:08.042252
15800	2	2	0.953	1	0:00:08.039600
15900	4	5	0.222	0	0:00:08.037790
16000	8	8	0.663	1	0:00:08.041425
16100	1	1	0.602	1	0:00:08.043317
16200	3	3	0.953	1	0:00:08.042200
16300	1	1	0.778	1	0:00:08.042961
16400	0	8	0.0245	0	0:00:08.042604
16500	7	6	0.419	0	0:00:08.042883
16600	7	7	0.953	1	0:00:08.046212
16700	6	6	0.953	1	0:00:08.043765
16800	6	6	0.687	1	0:00:08.043568
16900	3	3	0.581	1	0:00:08.052584
17000	2	8	0.268	0	0:00:08.042893
17100	9	2	0.0647	0	0:00:08.048640
17200	4	6	0.18	0	0:00:08.043921
17300	3	4	0.025	0	0:00:08.048931
17400	3	3	0.5	1	0:00:08.048948
17500	6	6	0.953	1	0:00:08.050809
17600	8	9	0.662	0	0:00:08.047234
17700	6	6	0.953	1	0:00:08.045436
17800	0	0	0.953	1	0:00:08.045155
17900	0	2	0.081	0	0:00:08.051332
18000	9	9	0.953	1	0:00:08.051897
18100	6	2	0.785	0	0:00:08.052252
18200	3	6	0.24	0	0:00:08.050627
18300	5	5	0.196	1	0:00:08.057301
18400	0	0	0.673	1	0:00:08.051731
18500	4	4	0.668	1	0:00:08.049301
18600	3	2	0.102	0	0:00:08.053803
18700	3	3	0.8	1	0:00:08.052258
18800	0	0	0.953	1	0:00:08.053612
18900	2	4	0.0521	0	0:00:08.049768
19000	8	8	0.953	1	0:00:08.052922
19100	9	1	0.102	0	0:00:08.053810
19200	8	8	0.507	1	0:00:08.051230
19300	5	5	0.089	1	0:00:08.056931
19400	6	6	0.953	1	0:00:08.055161
19500	9	9	0.953	1	0:00:08.057288
19600	8	8	0.59	1	0:00:08.052997
19700	0	0	0.913	1	0:00:08.054718
19800	1	1	0.953	1	0:00:08.060456
19900	8	8	0.953	1	0:00:08.054148
