idx	label	predict	radius	correct	time
10000	3	3	0.74	1	0:00:08.039277
10100	4	-1	0.0	0	0:00:08.036510
10200	5	5	0.953	1	0:00:08.040529
10300	6	6	0.953	1	0:00:08.037677
10400	9	9	0.953	1	0:00:08.039857
10500	4	6	0.309	0	0:00:08.035378
10600	8	8	0.0727	1	0:00:08.036545
10700	7	7	0.953	1	0:00:08.036802
10800	7	7	0.953	1	0:00:08.035358
10900	2	6	0.743	0	0:00:08.033396
11000	5	5	0.953	1	0:00:08.037171
11100	7	7	0.132	1	0:00:08.035963
11200	8	8	0.13	1	0:00:08.034827
11300	4	3	0.766	0	0:00:08.033593
11400	5	5	0.734	1	0:00:08.034121
11500	1	1	0.79	1	0:00:08.038973
11600	8	-1	0.0	0	0:00:08.035342
11700	5	5	0.131	1	0:00:08.038325
11800	4	4	0.155	1	0:00:08.037688
11900	8	8	0.953	1	0:00:08.039594
12000	1	1	0.233	1	0:00:08.040663
12100	2	2	0.395	1	0:00:08.040481
12200	0	0	0.905	1	0:00:08.039504
12300	3	6	0.0709	0	0:00:08.039032
12400	0	0	0.953	1	0:00:08.047057
12500	4	6	0.0136	0	0:00:08.041422
12600	8	8	0.953	1	0:00:08.042609
12700	9	9	0.0457	1	0:00:08.046807
12800	4	4	0.198	1	0:00:08.041787
12900	3	5	0.154	0	0:00:08.046331
13000	5	5	0.953	1	0:00:08.047224
13100	0	0	0.953	1	0:00:08.041731
13200	5	5	0.953	1	0:00:08.046281
13300	4	4	0.42	1	0:00:08.043944
13400	6	6	0.186	1	0:00:08.047195
13500	1	1	0.591	1	0:00:08.049766
13600	4	2	0.739	0	0:00:08.047985
13700	3	5	0.229	0	0:00:08.047937
13800	9	9	0.537	1	0:00:08.051376
13900	3	6	0.224	0	0:00:08.054771
14000	8	9	0.171	0	0:00:08.051158
14100	7	7	0.953	1	0:00:08.054623
14200	4	2	0.374	0	0:00:08.048964
14300	8	8	0.935	1	0:00:08.055783
14400	3	6	0.425	0	0:00:08.051028
14500	3	5	0.377	0	0:00:08.056359
14600	4	-1	0.0	0	0:00:08.056940
14700	6	-1	0.0	0	0:00:08.054173
14800	9	9	0.953	1	0:00:08.059469
14900	3	5	0.216	0	0:00:08.059120
15000	7	7	0.953	1	0:00:08.056789
15100	3	3	0.953	1	0:00:08.054147
15200	3	3	0.953	1	0:00:08.055239
15300	9	9	0.357	1	0:00:08.057392
15400	9	9	0.953	1	0:00:08.056045
15500	8	8	0.777	1	0:00:08.057145
15600	6	5	0.111	0	0:00:08.054710
15700	3	5	0.196	0	0:00:08.058643
15800	2	2	0.862	1	0:00:08.057593
15900	4	-1	0.0	0	0:00:08.055033
16000	8	8	0.0377	1	0:00:08.057443
16100	1	1	0.677	1	0:00:08.065364
16200	3	3	0.935	1	0:00:08.057938
16300	1	1	0.494	1	0:00:08.057684
16400	0	0	0.637	1	0:00:08.055909
16500	7	6	0.467	0	0:00:08.055437
16600	7	7	0.953	1	0:00:08.058430
16700	6	6	0.536	1	0:00:08.054084
16800	6	-1	0.0	0	0:00:08.053258
16900	3	3	0.578	1	0:00:08.057245
17000	2	0	0.0448	0	0:00:08.053354
17100	9	3	0.0764	0	0:00:08.056117
17200	4	6	0.503	0	0:00:08.049663
17300	3	-1	0.0	0	0:00:08.050029
17400	3	3	0.13	1	0:00:08.051078
17500	6	6	0.953	1	0:00:08.053610
17600	8	9	0.672	0	0:00:08.047905
17700	6	6	0.953	1	0:00:08.045882
17800	0	0	0.953	1	0:00:08.044998
17900	0	2	0.531	0	0:00:08.050044
18000	9	9	0.953	1	0:00:08.046797
18100	6	2	0.953	0	0:00:08.050858
18200	3	6	0.124	0	0:00:08.046362
18300	5	3	0.00654	0	0:00:08.044783
18400	0	0	0.692	1	0:00:08.045285
18500	4	4	0.953	1	0:00:08.042514
18600	3	5	0.197	0	0:00:08.046801
18700	3	3	0.81	1	0:00:08.043753
18800	0	0	0.953	1	0:00:08.044321
18900	2	4	0.187	0	0:00:08.041490
19000	8	8	0.953	1	0:00:08.043739
19100	9	1	0.237	0	0:00:08.043488
19200	8	8	0.799	1	0:00:08.040104
19300	5	5	0.154	1	0:00:08.046835
19400	6	6	0.935	1	0:00:08.041355
19500	9	9	0.575	1	0:00:08.044875
19600	8	8	0.703	1	0:00:08.040619
19700	0	0	0.953	1	0:00:08.040533
19800	1	1	0.953	1	0:00:08.045816
19900	8	8	0.635	1	0:00:08.042845
