idx	label	predict	radius	correct	time
10000	3	3	0.283	1	0:00:08.045108
10100	4	4	0.613	1	0:00:08.043780
10200	5	5	0.137	1	0:00:08.045389
10300	6	6	0.129	1	0:00:08.042709
10400	9	9	0.905	1	0:00:08.047793
10500	4	6	0.122	0	0:00:08.043196
10600	8	-1	0.0	0	0:00:08.042289
10700	7	7	0.814	1	0:00:08.043386
10800	7	7	0.953	1	0:00:08.043489
10900	2	4	0.52	0	0:00:08.040451
11000	5	5	0.922	1	0:00:08.040765
11100	7	8	0.0176	0	0:00:08.042073
11200	8	8	0.566	1	0:00:08.041245
11300	4	3	0.922	0	0:00:08.036210
11400	5	6	0.54	0	0:00:08.038188
11500	1	1	0.877	1	0:00:08.041414
11600	8	4	0.0579	0	0:00:08.039492
11700	5	2	0.583	0	0:00:08.040491
11800	4	8	0.0515	0	0:00:08.040314
11900	8	8	0.953	1	0:00:08.040418
12000	1	6	0.67	0	0:00:08.039517
12100	2	2	0.274	1	0:00:08.039150
12200	0	0	0.953	1	0:00:08.037156
12300	3	-1	0.0	0	0:00:08.035317
12400	0	0	0.953	1	0:00:08.041385
12500	4	4	0.207	1	0:00:08.035082
12600	8	8	0.953	1	0:00:08.036783
12700	9	1	0.427	0	0:00:08.039717
12800	4	4	0.318	1	0:00:08.034639
12900	3	5	0.147	0	0:00:08.035579
13000	5	5	0.423	1	0:00:08.036032
13100	0	-1	0.0	0	0:00:08.035188
13200	5	5	0.541	1	0:00:08.038461
13300	4	6	0.0236	0	0:00:08.036204
13400	6	4	0.666	0	0:00:08.036834
13500	1	9	0.176	0	0:00:08.040088
13600	4	2	0.488	0	0:00:08.039406
13700	3	3	0.0498	1	0:00:08.039071
13800	9	3	0.352	0	0:00:08.040535
13900	3	6	0.816	0	0:00:08.042080
14000	8	4	0.404	0	0:00:08.040148
14100	7	7	0.953	1	0:00:08.044481
14200	4	4	0.0506	1	0:00:08.039918
14300	8	8	0.953	1	0:00:08.041350
14400	3	-1	0.0	0	0:00:08.039877
14500	3	6	0.475	0	0:00:08.047850
14600	4	4	0.339	1	0:00:08.048269
14700	6	6	0.594	1	0:00:08.047511
14800	9	9	0.953	1	0:00:08.048999
14900	3	5	0.126	0	0:00:08.049539
15000	7	7	0.953	1	0:00:08.052176
15100	3	3	0.594	1	0:00:08.049069
15200	3	6	0.0725	0	0:00:08.050032
15300	9	9	0.827	1	0:00:08.051147
15400	9	9	0.569	1	0:00:08.051841
15500	8	8	0.542	1	0:00:08.051221
15600	6	5	0.328	0	0:00:08.049668
15700	3	4	0.119	0	0:00:08.051698
15800	2	2	0.305	1	0:00:08.052476
15900	4	4	0.855	1	0:00:08.050332
16000	8	8	0.235	1	0:00:08.052906
16100	1	9	0.108	0	0:00:08.055138
16200	3	3	0.953	1	0:00:08.057432
16300	1	1	0.318	1	0:00:08.056634
16400	0	8	0.0802	0	0:00:08.058540
16500	7	6	0.416	0	0:00:08.055664
16600	7	7	0.953	1	0:00:08.059784
16700	6	6	0.643	1	0:00:08.056788
16800	6	4	0.494	0	0:00:08.054974
16900	3	2	0.0803	0	0:00:08.061956
17000	2	2	0.534	1	0:00:08.055801
17100	9	2	0.704	0	0:00:08.058138
17200	4	6	0.501	0	0:00:08.055163
17300	3	4	0.718	0	0:00:08.058491
17400	3	3	0.7	1	0:00:08.056861
17500	6	6	0.953	1	0:00:08.058723
17600	8	2	0.17	0	0:00:08.052792
17700	6	6	0.953	1	0:00:08.054322
17800	0	0	0.675	1	0:00:08.052968
17900	0	2	0.296	0	0:00:08.055026
18000	9	9	0.762	1	0:00:08.051009
18100	6	2	0.319	0	0:00:08.051053
18200	3	-1	0.0	0	0:00:08.052552
18300	5	6	0.0368	0	0:00:08.049143
18400	0	8	0.342	0	0:00:08.050849
18500	4	4	0.953	1	0:00:08.049271
18600	3	5	0.0271	0	0:00:08.051754
18700	3	3	0.619	1	0:00:08.050863
18800	0	0	0.953	1	0:00:08.049543
18900	2	4	0.205	0	0:00:08.046619
19000	8	8	0.953	1	0:00:08.047409
19100	9	6	0.227	0	0:00:08.048197
19200	8	8	0.953	1	0:00:08.049859
19300	5	4	0.0959	0	0:00:08.047738
19400	6	6	0.473	1	0:00:08.045884
19500	9	9	0.082	1	0:00:08.046431
19600	8	8	0.953	1	0:00:08.044242
19700	0	0	0.124	1	0:00:08.044322
19800	1	1	0.953	1	0:00:08.048142
19900	8	8	0.492	1	0:00:08.043589
