idx	label	predict	radius	correct	time
10000	3	3	0.419	1	0:00:08.178724
10100	4	5	0.04	0	0:00:08.175595
10200	5	5	0.829	1	0:00:08.181063
10300	6	6	0.953	1	0:00:08.178784
10400	9	9	0.953	1	0:00:08.181459
10500	4	6	0.227	0	0:00:08.176758
10600	8	8	0.935	1	0:00:08.177412
10700	7	7	0.953	1	0:00:08.178058
10800	7	7	0.953	1	0:00:08.178733
10900	2	6	0.339	0	0:00:08.174920
11000	5	5	0.953	1	0:00:08.179270
11100	7	7	0.189	1	0:00:08.179110
11200	8	8	0.589	1	0:00:08.180720
11300	4	3	0.606	0	0:00:08.167866
11400	5	-1	0.0	0	0:00:08.174638
11500	1	1	0.953	1	0:00:08.188604
11600	8	9	0.0782	0	0:00:08.180060
11700	5	5	0.486	1	0:00:08.182343
11800	4	4	0.17	1	0:00:08.178931
11900	8	8	0.953	1	0:00:08.172956
12000	1	1	0.905	1	0:00:08.178330
12100	2	2	0.724	1	0:00:08.175092
12200	0	0	0.428	1	0:00:08.174700
12300	3	3	0.106	1	0:00:08.176526
12400	0	0	0.953	1	0:00:08.180975
12500	4	-1	0.0	0	0:00:08.179203
12600	8	8	0.953	1	0:00:08.178366
12700	9	9	0.146	1	0:00:08.181920
12800	4	4	0.334	1	0:00:08.175801
12900	3	5	0.324	0	0:00:08.180813
13000	5	5	0.953	1	0:00:08.177601
13100	0	0	0.953	1	0:00:08.168076
13200	5	5	0.422	1	0:00:08.177592
13300	4	4	0.32	1	0:00:08.177017
13400	6	4	0.476	0	0:00:08.176083
13500	1	1	0.462	1	0:00:08.179133
13600	4	2	0.339	0	0:00:08.177559
13700	3	3	0.953	1	0:00:08.177334
13800	9	9	0.869	1	0:00:08.181531
13900	3	6	0.282	0	0:00:08.176514
14000	8	0	0.0858	0	0:00:08.175615
14100	7	7	0.953	1	0:00:08.181101
14200	4	4	0.294	1	0:00:08.172197
14300	8	8	0.935	1	0:00:08.171916
14400	3	-1	0.0	0	0:00:08.171333
14500	3	5	0.277	0	0:00:08.173891
14600	4	4	0.0229	1	0:00:08.176306
14700	6	6	0.0135	1	0:00:08.177050
14800	9	9	0.953	1	0:00:08.179480
14900	3	3	0.121	1	0:00:08.176023
15000	7	7	0.953	1	0:00:08.179073
15100	3	3	0.953	1	0:00:08.177899
15200	3	3	0.821	1	0:00:08.176563
15300	9	9	0.953	1	0:00:08.178033
15400	9	9	0.905	1	0:00:08.174657
15500	8	8	0.621	1	0:00:08.176172
15600	6	-1	0.0	0	0:00:08.175334
15700	3	3	0.193	1	0:00:08.179646
15800	2	2	0.953	1	0:00:08.177477
15900	4	3	0.196	0	0:00:08.176067
16000	8	8	0.662	1	0:00:08.177286
16100	1	1	0.953	1	0:00:08.176778
16200	3	3	0.704	1	0:00:08.178771
16300	1	1	0.953	1	0:00:08.179406
16400	0	0	0.309	1	0:00:08.178265
16500	7	6	0.25	0	0:00:08.177520
16600	7	7	0.953	1	0:00:08.182766
16700	6	6	0.913	1	0:00:08.180744
16800	6	4	0.0239	0	0:00:08.180933
16900	3	3	0.644	1	0:00:08.187867
17000	2	8	0.0467	0	0:00:08.178680
17100	9	5	0.172	0	0:00:08.182436
17200	4	-1	0.0	0	0:00:08.176566
17300	3	5	0.425	0	0:00:08.183270
17400	3	3	0.74	1	0:00:08.180505
17500	6	6	0.953	1	0:00:08.184309
17600	8	9	0.247	0	0:00:08.178730
17700	6	6	0.953	1	0:00:08.179868
17800	0	0	0.905	1	0:00:08.180446
17900	0	-1	0.0	0	0:00:08.181046
18000	9	9	0.953	1	0:00:08.181789
18100	6	2	0.784	0	0:00:08.182877
18200	3	4	0.0711	0	0:00:08.181533
18300	5	-1	0.0	0	0:00:08.178748
18400	0	0	0.454	1	0:00:08.178241
18500	4	4	0.816	1	0:00:08.173672
18600	3	-1	0.0	0	0:00:08.183585
18700	3	3	0.778	1	0:00:08.181024
18800	0	0	0.563	1	0:00:08.179360
18900	2	2	0.803	1	0:00:08.183160
19000	8	8	0.953	1	0:00:08.183718
19100	9	1	0.0616	0	0:00:08.182401
19200	8	8	0.953	1	0:00:08.176383
19300	5	-1	0.0	0	0:00:08.183150
19400	6	6	0.953	1	0:00:08.182893
19500	9	9	0.953	1	0:00:08.183446
19600	8	8	0.726	1	0:00:08.178099
19700	0	0	0.792	1	0:00:08.180568
19800	1	1	0.953	1	0:00:08.184974
19900	8	8	0.905	1	0:00:08.182502
