idx	label	predict	radius	correct	time
10000	3	3	0.877	1	0:00:08.176763
10100	4	5	0.0354	0	0:00:08.175907
10200	5	5	0.886	1	0:00:08.177363
10300	6	6	0.569	1	0:00:08.174294
10400	9	9	0.953	1	0:00:08.178096
10500	4	-1	0.0	0	0:00:08.172818
10600	8	8	0.881	1	0:00:08.175160
10700	7	7	0.886	1	0:00:08.179069
10800	7	7	0.953	1	0:00:08.174222
10900	2	6	0.225	0	0:00:08.171128
11000	5	5	0.953	1	0:00:08.175976
11100	7	7	0.255	1	0:00:08.180782
11200	8	8	0.64	1	0:00:08.174307
11300	4	3	0.62	0	0:00:08.165244
11400	5	3	0.155	0	0:00:08.172142
11500	1	1	0.953	1	0:00:08.179139
11600	8	9	0.058	0	0:00:08.174144
11700	5	5	0.0981	1	0:00:08.175758
11800	4	4	0.0956	1	0:00:08.174500
11900	8	8	0.953	1	0:00:08.170897
12000	1	1	0.663	1	0:00:08.173622
12100	2	2	0.751	1	0:00:08.170489
12200	0	0	0.476	1	0:00:08.170274
12300	3	3	0.0975	1	0:00:08.170921
12400	0	0	0.953	1	0:00:08.173554
12500	4	4	0.306	1	0:00:08.172452
12600	8	8	0.953	1	0:00:08.171569
12700	9	9	0.162	1	0:00:08.176757
12800	4	4	0.468	1	0:00:08.172077
12900	3	5	0.332	0	0:00:08.173637
13000	5	5	0.953	1	0:00:08.173459
13100	0	0	0.935	1	0:00:08.165300
13200	5	5	0.319	1	0:00:08.172643
13300	4	4	0.213	1	0:00:08.174969
13400	6	4	0.52	0	0:00:08.175705
13500	1	1	0.298	1	0:00:08.177715
13600	4	2	0.275	0	0:00:08.176664
13700	3	3	0.953	1	0:00:08.174711
13800	9	9	0.379	1	0:00:08.176446
13900	3	6	0.471	0	0:00:08.173056
14000	8	0	0.211	0	0:00:08.173102
14100	7	7	0.953	1	0:00:08.176794
14200	4	4	0.233	1	0:00:08.169675
14300	8	8	0.953	1	0:00:08.172145
14400	3	3	0.14	1	0:00:08.171212
14500	3	5	0.396	0	0:00:08.175587
14600	4	4	0.134	1	0:00:08.176700
14700	6	-1	0.0	0	0:00:08.174147
14800	9	9	0.953	1	0:00:08.177414
14900	3	-1	0.0	0	0:00:08.177805
15000	7	7	0.953	1	0:00:08.177285
15100	3	3	0.953	1	0:00:08.174492
15200	3	3	0.898	1	0:00:08.175806
15300	9	9	0.847	1	0:00:08.174391
15400	9	9	0.849	1	0:00:08.172486
15500	8	8	0.644	1	0:00:08.172673
15600	6	-1	0.0	0	0:00:08.171732
15700	3	3	0.294	1	0:00:08.177722
15800	2	2	0.935	1	0:00:08.173181
15900	4	3	0.163	0	0:00:08.171132
16000	8	8	0.5	1	0:00:08.172590
16100	1	1	0.935	1	0:00:08.173657
16200	3	3	0.701	1	0:00:08.174150
16300	1	1	0.862	1	0:00:08.174244
16400	0	0	0.146	1	0:00:08.174027
16500	7	6	0.125	0	0:00:08.174575
16600	7	7	0.953	1	0:00:08.177177
16700	6	6	0.75	1	0:00:08.174676
16800	6	4	0.113	0	0:00:08.173209
16900	3	3	0.877	1	0:00:08.176498
17000	2	8	0.0443	0	0:00:08.170327
17100	9	5	0.102	0	0:00:08.174581
17200	4	-1	0.0	0	0:00:08.169254
17300	3	5	0.185	0	0:00:08.170899
17400	3	3	0.774	1	0:00:08.170243
17500	6	6	0.953	1	0:00:08.172302
17600	8	9	0.0275	0	0:00:08.169353
17700	6	6	0.953	1	0:00:08.169908
17800	0	0	0.833	1	0:00:08.166482
17900	0	8	0.626	0	0:00:08.173369
18000	9	9	0.935	1	0:00:08.172467
18100	6	2	0.696	0	0:00:08.172851
18200	3	4	0.266	0	0:00:08.171982
18300	5	2	0.00494	0	0:00:08.171860
18400	0	0	0.394	1	0:00:08.171909
18500	4	4	0.829	1	0:00:08.168717
18600	3	3	0.00342	1	0:00:08.175135
18700	3	3	0.855	1	0:00:08.174394
18800	0	0	0.922	1	0:00:08.171710
18900	2	2	0.689	1	0:00:08.174994
19000	8	8	0.953	1	0:00:08.177493
19100	9	1	0.265	0	0:00:08.176432
19200	8	8	0.953	1	0:00:08.167907
19300	5	5	0.157	1	0:00:08.176533
19400	6	6	0.953	1	0:00:08.182350
19500	9	9	0.599	1	0:00:08.177786
19600	8	8	0.847	1	0:00:08.170375
19700	0	0	0.679	1	0:00:08.171554
19800	1	1	0.953	1	0:00:08.178140
19900	8	8	0.798	1	0:00:08.173892
