idx	label	predict	radius	correct	time
10000	3	3	0.427	1	0:00:08.228330
10100	4	4	0.000651	1	0:00:08.227262
10200	5	5	0.8	1	0:00:08.231997
10300	6	6	0.953	1	0:00:08.230140
10400	9	9	0.953	1	0:00:08.241049
10500	4	6	0.18	0	0:00:08.233740
10600	8	8	0.953	1	0:00:08.233552
10700	7	7	0.953	1	0:00:08.237691
10800	7	7	0.953	1	0:00:08.233861
10900	2	6	0.339	0	0:00:08.231625
11000	5	5	0.953	1	0:00:08.235659
11100	7	7	0.256	1	0:00:08.231891
11200	8	8	0.698	1	0:00:08.233272
11300	4	3	0.569	0	0:00:08.220415
11400	5	3	0.0655	0	0:00:08.227904
11500	1	1	0.953	1	0:00:08.234989
11600	8	9	0.0321	0	0:00:08.228936
11700	5	5	0.451	1	0:00:08.224522
11800	4	4	0.212	1	0:00:08.227063
11900	8	8	0.953	1	0:00:08.225523
12000	1	1	0.935	1	0:00:08.229175
12100	2	2	0.723	1	0:00:08.227179
12200	0	0	0.343	1	0:00:08.229670
12300	3	3	0.165	1	0:00:08.226424
12400	0	0	0.953	1	0:00:08.231572
12500	4	4	0.0203	1	0:00:08.227560
12600	8	8	0.953	1	0:00:08.227399
12700	9	9	0.187	1	0:00:08.231109
12800	4	4	0.377	1	0:00:08.226483
12900	3	5	0.288	0	0:00:08.231501
13000	5	5	0.953	1	0:00:08.229856
13100	0	0	0.953	1	0:00:08.218690
13200	5	5	0.482	1	0:00:08.228197
13300	4	4	0.327	1	0:00:08.224670
13400	6	4	0.455	0	0:00:08.228731
13500	1	1	0.577	1	0:00:08.229579
13600	4	2	0.438	0	0:00:08.226423
13700	3	3	0.953	1	0:00:08.226579
13800	9	9	0.873	1	0:00:08.228259
13900	3	6	0.294	0	0:00:08.228398
14000	8	0	0.0317	0	0:00:08.228838
14100	7	7	0.953	1	0:00:08.227395
14200	4	4	0.319	1	0:00:08.222992
14300	8	8	0.953	1	0:00:08.225221
14400	3	3	0.0479	1	0:00:08.228697
14500	3	5	0.259	0	0:00:08.231202
14600	4	-1	0.0	0	0:00:08.235906
14700	6	-1	0.0	0	0:00:08.230888
14800	9	9	0.953	1	0:00:08.231850
14900	3	-1	0.0	0	0:00:08.230350
15000	7	7	0.953	1	0:00:08.233179
15100	3	3	0.953	1	0:00:08.232774
15200	3	3	0.833	1	0:00:08.232901
15300	9	9	0.953	1	0:00:08.232171
15400	9	9	0.953	1	0:00:08.227794
15500	8	8	0.558	1	0:00:08.230815
15600	6	-1	0.0	0	0:00:08.230835
15700	3	3	0.231	1	0:00:08.233064
15800	2	2	0.953	1	0:00:08.227006
15900	4	3	0.0629	0	0:00:08.227770
16000	8	8	0.726	1	0:00:08.225573
16100	1	1	0.953	1	0:00:08.229457
16200	3	3	0.688	1	0:00:08.225932
16300	1	1	0.935	1	0:00:08.227873
16400	0	0	0.313	1	0:00:08.224000
16500	7	6	0.0893	0	0:00:08.222872
16600	7	7	0.953	1	0:00:08.229812
16700	6	6	0.842	1	0:00:08.228895
16800	6	4	0.0586	0	0:00:08.225292
16900	3	3	0.572	1	0:00:08.227092
17000	2	0	0.00721	0	0:00:08.215763
17100	9	5	0.0651	0	0:00:08.224543
17200	4	-1	0.0	0	0:00:08.222648
17300	3	5	0.426	0	0:00:08.225722
17400	3	3	0.652	1	0:00:08.229625
17500	6	6	0.953	1	0:00:08.230236
17600	8	9	0.277	0	0:00:08.221770
17700	6	6	0.953	1	0:00:08.224556
17800	0	0	0.905	1	0:00:08.218387
17900	0	0	0.0329	1	0:00:08.227842
18000	9	9	0.953	1	0:00:08.222466
18100	6	2	0.637	0	0:00:08.228346
18200	3	4	0.0357	0	0:00:08.225283
18300	5	-1	0.0	0	0:00:08.222614
18400	0	0	0.408	1	0:00:08.220884
18500	4	4	0.922	1	0:00:08.219306
18600	3	5	0.0539	0	0:00:08.225928
18700	3	3	0.823	1	0:00:08.224771
18800	0	0	0.505	1	0:00:08.224252
18900	2	2	0.788	1	0:00:08.226380
19000	8	8	0.953	1	0:00:08.227924
19100	9	1	0.0896	0	0:00:08.226983
19200	8	8	0.953	1	0:00:08.219641
19300	5	5	0.0543	1	0:00:08.224504
19400	6	6	0.953	1	0:00:08.223792
19500	9	9	0.953	1	0:00:08.224616
19600	8	8	0.759	1	0:00:08.222338
19700	0	0	0.837	1	0:00:08.223588
19800	1	1	0.953	1	0:00:08.230620
19900	8	8	0.905	1	0:00:08.224942
