idx	label	predict	radius	correct	time
10000	3	6	0.0359	0	0:00:07.986220
10100	4	4	0.529	1	0:00:07.982454
10200	5	3	0.00279	0	0:00:07.986551
10300	6	6	0.732	1	0:00:07.984833
10400	9	9	0.855	1	0:00:07.986976
10500	4	6	0.347	0	0:00:07.983731
10600	8	8	0.0679	1	0:00:07.985606
10700	7	7	0.324	1	0:00:07.985407
10800	7	7	0.3	1	0:00:07.985701
10900	2	4	0.0082	0	0:00:07.983451
11000	5	-1	0.0	0	0:00:07.985995
11100	7	-1	0.0	0	0:00:07.987072
11200	8	8	0.274	1	0:00:07.987464
11300	4	3	0.588	0	0:00:07.981378
11400	5	6	0.582	0	0:00:07.983258
11500	1	1	0.354	1	0:00:07.988012
11600	8	6	0.248	0	0:00:07.986692
11700	5	-1	0.0	0	0:00:07.986348
11800	4	4	0.0639	1	0:00:07.987749
11900	8	8	0.713	1	0:00:07.987212
12000	1	6	0.411	0	0:00:07.985280
12100	2	2	0.0167	1	0:00:07.985629
12200	0	0	0.379	1	0:00:07.987718
12300	3	-1	0.0	0	0:00:07.985375
12400	0	0	0.387	1	0:00:07.986575
12500	4	6	0.264	0	0:00:07.985874
12600	8	8	0.0339	1	0:00:07.986450
12700	9	9	0.0729	1	0:00:07.987440
12800	4	6	0.0436	0	0:00:07.983707
12900	3	3	0.365	1	0:00:07.984926
13000	5	6	0.631	0	0:00:07.983403
13100	0	-1	0.0	0	0:00:07.984507
13200	5	-1	0.0	0	0:00:07.983497
13300	4	-1	0.0	0	0:00:07.981235
13400	6	4	0.237	0	0:00:07.980262
13500	1	-1	0.0	0	0:00:07.982803
13600	4	2	0.227	0	0:00:07.983345
13700	3	3	0.227	1	0:00:07.982090
13800	9	6	0.0992	0	0:00:07.983547
13900	3	3	0.0031	1	0:00:07.982836
14000	8	4	0.309	0	0:00:07.981014
14100	7	7	0.742	1	0:00:07.983691
14200	4	6	0.239	0	0:00:07.981668
14300	8	-1	0.0	0	0:00:07.981178
14400	3	6	0.539	0	0:00:07.979256
14500	3	6	0.252	0	0:00:07.981986
14600	4	4	0.574	1	0:00:07.982667
14700	6	6	0.346	1	0:00:07.981364
14800	9	9	0.905	1	0:00:07.984109
14900	3	3	0.0911	1	0:00:07.981901
15000	7	7	0.953	1	0:00:07.982221
15100	3	3	0.0849	1	0:00:07.981578
15200	3	6	0.706	0	0:00:07.980575
15300	9	9	0.474	1	0:00:07.982560
15400	9	0	0.015	0	0:00:07.981658
15500	8	-1	0.0	0	0:00:07.981452
15600	6	6	0.561	1	0:00:07.981383
15700	3	-1	0.0	0	0:00:07.981973
15800	2	2	0.289	1	0:00:07.981354
15900	4	6	0.00664	0	0:00:07.981158
16000	8	-1	0.0	0	0:00:07.981622
16100	1	1	0.0127	1	0:00:07.982103
16200	3	3	0.493	1	0:00:07.984467
16300	1	-1	0.0	0	0:00:07.981851
16400	0	4	0.394	0	0:00:07.981955
16500	7	6	0.211	0	0:00:07.980661
16600	7	7	0.922	1	0:00:07.983912
16700	6	6	0.613	1	0:00:07.980553
16800	6	6	0.0196	1	0:00:07.978094
16900	3	3	0.266	1	0:00:07.985218
17000	2	2	0.43	1	0:00:07.986546
17100	9	5	0.131	0	0:00:07.986737
17200	4	6	0.367	0	0:00:07.980329
17300	3	4	0.136	0	0:00:07.980459
17400	3	3	0.102	1	0:00:07.979213
17500	6	6	0.953	1	0:00:07.982456
17600	8	6	0.0956	0	0:00:07.978831
17700	6	6	0.869	1	0:00:07.979047
17800	0	0	0.152	1	0:00:07.980683
17900	0	6	0.0769	0	0:00:07.981380
18000	9	9	0.208	1	0:00:07.981943
18100	6	6	0.257	1	0:00:07.981967
18200	3	6	0.0887	0	0:00:07.979491
18300	5	6	0.529	0	0:00:07.979006
18400	0	0	0.277	1	0:00:07.980578
18500	4	4	0.431	1	0:00:07.978812
18600	3	3	0.13	1	0:00:07.979807
18700	3	3	0.0723	1	0:00:07.980377
18800	0	0	0.391	1	0:00:07.982959
18900	2	4	0.183	0	0:00:07.980283
19000	8	8	0.63	1	0:00:07.982912
19100	9	9	0.00686	1	0:00:07.980614
19200	8	0	0.132	0	0:00:07.980888
19300	5	3	0.0168	0	0:00:07.980266
19400	6	6	0.666	1	0:00:07.980375
19500	9	9	0.484	1	0:00:07.982667
19600	8	8	0.0312	1	0:00:07.981883
19700	0	6	0.207	0	0:00:07.981528
19800	1	1	0.675	1	0:00:07.985271
19900	8	8	0.173	1	0:00:07.982195
