idx	label	predict	radius	correct	time
10000	3	3	0.403	1	0:00:07.971691
10100	4	4	0.247	1	0:00:07.970076
10200	5	-1	0.0	0	0:00:07.970142
10300	6	6	0.831	1	0:00:07.969604
10400	9	9	0.953	1	0:00:07.973952
10500	4	-1	0.0	0	0:00:07.968619
10600	8	8	0.528	1	0:00:07.971348
10700	7	7	0.837	1	0:00:07.971630
10800	7	7	0.953	1	0:00:07.971677
10900	2	6	0.31	0	0:00:07.968889
11000	5	5	0.487	1	0:00:07.974820
11100	7	-1	0.0	0	0:00:07.975263
11200	8	8	0.589	1	0:00:07.975444
11300	4	3	0.574	0	0:00:07.967315
11400	5	6	0.279	0	0:00:07.969757
11500	1	1	0.764	1	0:00:07.975399
11600	8	-1	0.0	0	0:00:07.971208
11700	5	3	0.252	0	0:00:07.972426
11800	4	4	0.225	1	0:00:07.973267
11900	8	8	0.953	1	0:00:07.973452
12000	1	1	0.161	1	0:00:07.973233
12100	2	7	0.0414	0	0:00:07.971231
12200	0	0	0.212	1	0:00:07.973236
12300	3	3	0.021	1	0:00:07.970911
12400	0	0	0.922	1	0:00:07.971867
12500	4	6	0.359	0	0:00:07.968616
12600	8	8	0.753	1	0:00:07.973181
12700	9	-1	0.0	0	0:00:07.977291
12800	4	4	0.275	1	0:00:07.971611
12900	3	3	0.219	1	0:00:07.971103
13000	5	5	0.256	1	0:00:07.972530
13100	0	0	0.104	1	0:00:07.974906
13200	5	5	0.503	1	0:00:07.970725
13300	4	4	0.253	1	0:00:07.969601
13400	6	4	0.121	0	0:00:07.970643
13500	1	1	0.183	1	0:00:07.973623
13600	4	2	0.23	0	0:00:07.973898
13700	3	3	0.386	1	0:00:07.971448
13800	9	9	0.418	1	0:00:07.971655
13900	3	6	0.149	0	0:00:07.971468
14000	8	4	0.124	0	0:00:07.970897
14100	7	7	0.825	1	0:00:07.972779
14200	4	4	0.11	1	0:00:07.969579
14300	8	8	0.325	1	0:00:07.974895
14400	3	6	0.0877	0	0:00:07.969193
14500	3	3	0.0362	1	0:00:07.971435
14600	4	4	0.589	1	0:00:07.973899
14700	6	-1	0.0	0	0:00:07.970800
14800	9	9	0.953	1	0:00:07.972958
14900	3	-1	0.0	0	0:00:07.971901
15000	7	7	0.953	1	0:00:07.975640
15100	3	3	0.33	1	0:00:07.972179
15200	3	6	0.231	0	0:00:07.970268
15300	9	9	0.762	1	0:00:07.973188
15400	9	9	0.352	1	0:00:07.973380
15500	8	-1	0.0	0	0:00:07.972316
15600	6	6	0.64	1	0:00:07.968587
15700	3	3	0.265	1	0:00:07.971346
15800	2	2	0.507	1	0:00:07.970011
15900	4	6	0.11	0	0:00:07.967578
16000	8	9	0.0105	0	0:00:07.969638
16100	1	1	0.612	1	0:00:07.972393
16200	3	3	0.271	1	0:00:07.970231
16300	1	1	0.218	1	0:00:07.970840
16400	0	4	0.118	0	0:00:07.972191
16500	7	-1	0.0	0	0:00:07.970838
16600	7	7	0.953	1	0:00:07.973616
16700	6	6	0.619	1	0:00:07.970793
16800	6	6	0.345	1	0:00:07.967882
16900	3	3	0.785	1	0:00:07.972198
17000	2	2	0.069	1	0:00:07.969723
17100	9	5	0.357	0	0:00:07.971698
17200	4	6	0.164	0	0:00:07.967312
17300	3	5	0.11	0	0:00:07.978621
17400	3	9	0.00195	0	0:00:07.969436
17500	6	6	0.953	1	0:00:07.971364
17600	8	9	0.0253	0	0:00:07.968884
17700	6	6	0.935	1	0:00:07.966316
17800	0	0	0.768	1	0:00:07.969214
17900	0	-1	0.0	0	0:00:07.970123
18000	9	9	0.849	1	0:00:07.971995
18100	6	2	0.053	0	0:00:07.971379
18200	3	6	0.146	0	0:00:07.968796
18300	5	6	0.0601	0	0:00:07.971126
18400	0	0	0.551	1	0:00:07.968758
18500	4	4	0.673	1	0:00:07.966543
18600	3	3	0.0701	1	0:00:07.969492
18700	3	3	0.39	1	0:00:07.967087
18800	0	0	0.642	1	0:00:07.969451
18900	2	4	0.0714	0	0:00:07.966191
19000	8	8	0.953	1	0:00:07.970334
19100	9	1	0.0725	0	0:00:07.969407
19200	8	8	0.185	1	0:00:07.969023
19300	5	3	0.191	0	0:00:07.969638
19400	6	6	0.922	1	0:00:07.968167
19500	9	9	0.758	1	0:00:07.969663
19600	8	8	0.0552	1	0:00:07.970033
19700	0	0	0.491	1	0:00:07.968764
19800	1	1	0.935	1	0:00:07.972812
19900	8	8	0.68	1	0:00:07.970491
