idx	label	predict	radius	correct	time
20000	3	4	0.376	0	0:00:08.106249
20100	4	4	0.654	1	0:00:08.112366
20200	5	-1	0.0	0	0:00:08.107801
20300	6	6	0.132	1	0:00:08.115525
20400	9	6	0.571	0	0:00:08.108468
20500	4	4	0.344	1	0:00:08.112926
20600	8	0	0.0784	0	0:00:08.111211
20700	7	4	0.275	0	0:00:08.107368
20800	7	7	0.141	1	0:00:08.104023
20900	2	4	0.781	0	0:00:08.106977
21000	5	5	0.308	1	0:00:08.103898
21100	7	8	0.239	0	0:00:08.102789
21200	8	0	0.953	0	0:00:08.106594
21300	4	3	0.935	0	0:00:08.099802
21400	5	4	0.187	0	0:00:08.099879
21500	1	4	0.148	0	0:00:08.104659
21600	8	4	0.505	0	0:00:08.101698
21700	5	2	0.105	0	0:00:08.100525
21800	4	0	0.231	0	0:00:08.098944
21900	8	8	0.953	1	0:00:08.101181
22000	1	6	0.268	0	0:00:08.100131
22100	2	4	0.131	0	0:00:08.101198
22200	0	0	0.953	1	0:00:08.101022
22300	3	4	0.437	0	0:00:08.100228
22400	0	0	0.953	1	0:00:08.105358
22500	4	4	0.38	1	0:00:08.101732
22600	8	8	0.953	1	0:00:08.106227
22700	9	0	0.301	0	0:00:08.105920
22800	4	4	0.508	1	0:00:08.103279
22900	3	2	0.302	0	0:00:08.105454
23000	5	-1	0.0	0	0:00:08.106566
23100	0	0	0.953	1	0:00:08.104477
23200	5	4	0.0746	0	0:00:08.105717
23300	4	4	0.182	1	0:00:08.109259
23400	6	4	0.451	0	0:00:08.105550
23500	1	4	0.523	0	0:00:08.112623
23600	4	2	0.513	0	0:00:08.113718
23700	3	4	0.427	0	0:00:08.111975
23800	9	0	0.055	0	0:00:08.113279
23900	3	0	0.0839	0	0:00:08.123020
24000	8	4	0.621	0	0:00:08.110720
24100	7	7	0.457	1	0:00:08.112942
24200	4	4	0.208	1	0:00:08.113871
24300	8	8	0.0565	1	0:00:08.116197
24400	3	4	0.721	0	0:00:08.112797
24500	3	6	0.442	0	0:00:08.118783
24600	4	4	0.953	1	0:00:08.122362
24700	6	6	0.114	1	0:00:08.119378
24800	9	-1	0.0	0	0:00:08.123965
24900	3	6	0.73	0	0:00:08.123012
25000	7	7	0.664	1	0:00:08.120628
25100	3	4	0.513	0	0:00:08.119596
25200	3	3	0.359	1	0:00:08.118635
25300	9	4	0.202	0	0:00:08.123394
25400	9	0	0.183	0	0:00:08.123816
25500	8	8	0.0206	1	0:00:08.122904
25600	6	4	0.76	0	0:00:08.122819
25700	3	2	0.342	0	0:00:08.124080
25800	2	4	0.224	0	0:00:08.121624
25900	4	4	0.301	1	0:00:08.120590
26000	8	4	0.0907	0	0:00:08.122601
26100	1	4	0.357	0	0:00:08.124951
26200	3	0	0.339	0	0:00:08.124563
26300	1	4	0.365	0	0:00:08.124937
26400	0	4	0.729	0	0:00:08.120941
26500	7	-1	0.0	0	0:00:08.120077
26600	7	7	0.819	1	0:00:08.121112
26700	6	4	0.335	0	0:00:08.114742
26800	6	4	0.36	0	0:00:08.112749
26900	3	4	0.479	0	0:00:08.120774
27000	2	0	0.0984	0	0:00:08.116138
27100	9	-1	0.0	0	0:00:08.114582
27200	4	2	0.0369	0	0:00:08.108161
27300	3	4	0.558	0	0:00:08.116421
27400	3	3	0.294	1	0:00:08.116119
27500	6	6	0.953	1	0:00:08.114418
27600	8	4	0.0293	0	0:00:08.112922
27700	6	6	0.484	1	0:00:08.108307
27800	0	0	0.953	1	0:00:08.115543
27900	0	4	0.473	0	0:00:08.106849
28000	9	0	0.353	0	0:00:08.112822
28100	6	4	0.61	0	0:00:08.111166
28200	3	4	0.279	0	0:00:08.112423
28300	5	4	0.306	0	0:00:08.102616
28400	0	8	0.811	0	0:00:08.106205
28500	4	4	0.765	1	0:00:08.107551
28600	3	4	0.649	0	0:00:08.105366
28700	3	2	0.454	0	0:00:08.103030
28800	0	0	0.953	1	0:00:08.106573
28900	2	4	0.764	0	0:00:08.105363
29000	8	8	0.273	1	0:00:08.106363
29100	9	4	0.21	0	0:00:08.102511
29200	8	8	0.935	1	0:00:08.101478
29300	5	2	0.197	0	0:00:08.100237
29400	6	4	0.271	0	0:00:08.104154
29500	9	6	0.339	0	0:00:08.104088
29600	8	8	0.953	1	0:00:08.098879
29700	0	0	0.953	1	0:00:08.097390
29800	1	1	0.0704	1	0:00:08.103343
29900	8	0	0.742	0	0:00:08.103437
