idx	label	predict	radius	correct	time
20000	3	3	0.488	1	0:00:08.115200
20100	4	5	0.342	0	0:00:08.108748
20200	5	5	0.273	1	0:00:08.108970
20300	6	6	0.858	1	0:00:08.111820
20400	9	9	0.953	1	0:00:08.111473
20500	4	5	0.298	0	0:00:08.113469
20600	8	8	0.953	1	0:00:08.114311
20700	7	7	0.328	1	0:00:08.108683
20800	7	7	0.953	1	0:00:08.108411
20900	2	4	0.125	0	0:00:08.101134
21000	5	5	0.953	1	0:00:08.108515
21100	7	8	0.212	0	0:00:08.108711
21200	8	0	0.037	0	0:00:08.107350
21300	4	4	0.778	1	0:00:08.102396
21400	5	5	0.953	1	0:00:08.103521
21500	1	1	0.726	1	0:00:08.115887
21600	8	9	0.537	0	0:00:08.108763
21700	5	5	0.79	1	0:00:08.116484
21800	4	0	0.0897	0	0:00:08.113052
21900	8	8	0.953	1	0:00:08.112025
22000	1	1	0.295	1	0:00:08.115902
22100	2	2	0.953	1	0:00:08.110471
22200	0	0	0.554	1	0:00:08.110863
22300	3	8	0.442	0	0:00:08.109560
22400	0	0	0.953	1	0:00:08.114938
22500	4	4	0.106	1	0:00:08.114594
22600	8	8	0.953	1	0:00:08.120408
22700	9	1	0.0613	0	0:00:08.120061
22800	4	-1	0.0	0	0:00:08.116782
22900	3	5	0.331	0	0:00:08.123467
23000	5	5	0.953	1	0:00:08.119503
23100	0	0	0.953	1	0:00:08.117918
23200	5	5	0.325	1	0:00:08.124070
23300	4	4	0.284	1	0:00:08.125246
23400	6	4	0.242	0	0:00:08.120607
23500	1	1	0.121	1	0:00:08.127495
23600	4	2	0.535	0	0:00:08.124310
23700	3	5	0.074	0	0:00:08.124702
23800	9	-1	0.0	0	0:00:08.129276
23900	3	3	0.0199	1	0:00:08.121492
24000	8	0	0.594	0	0:00:08.122187
24100	7	7	0.953	1	0:00:08.126420
24200	4	4	0.482	1	0:00:08.123460
24300	8	8	0.953	1	0:00:08.124193
24400	3	3	0.00753	1	0:00:08.139483
24500	3	3	0.74	1	0:00:08.129993
24600	4	4	0.649	1	0:00:08.129776
24700	6	0	0.286	0	0:00:08.129892
24800	9	9	0.953	1	0:00:08.132579
24900	3	1	0.0349	0	0:00:08.129308
25000	7	7	0.953	1	0:00:08.130004
25100	3	3	0.424	1	0:00:08.126494
25200	3	3	0.455	1	0:00:08.124725
25300	9	9	0.869	1	0:00:08.130141
25400	9	9	0.182	1	0:00:08.128338
25500	8	8	0.702	1	0:00:08.124982
25600	6	0	0.315	0	0:00:08.122894
25700	3	3	0.436	1	0:00:08.123739
25800	2	2	0.881	1	0:00:08.121915
25900	4	-1	0.0	0	0:00:08.122485
26000	8	8	0.855	1	0:00:08.123000
26100	1	-1	0.0	0	0:00:08.121406
26200	3	3	0.886	1	0:00:08.122020
26300	1	1	0.409	1	0:00:08.122385
26400	0	0	0.803	1	0:00:08.120771
26500	7	0	0.436	0	0:00:08.121345
26600	7	7	0.953	1	0:00:08.127142
26700	6	6	0.173	1	0:00:08.115959
26800	6	-1	0.0	0	0:00:08.112989
26900	3	0	0.471	0	0:00:08.122594
27000	2	8	0.632	0	0:00:08.107006
27100	9	9	0.568	1	0:00:08.116322
27200	4	4	0.0235	1	0:00:08.114867
27300	3	5	0.241	0	0:00:08.115443
27400	3	3	0.321	1	0:00:08.111195
27500	6	6	0.953	1	0:00:08.116603
27600	8	9	0.308	0	0:00:08.107670
27700	6	6	0.697	1	0:00:08.106063
27800	0	0	0.953	1	0:00:08.103716
27900	0	8	0.677	0	0:00:08.109534
28000	9	9	0.489	1	0:00:08.112357
28100	6	0	0.278	0	0:00:08.109377
28200	3	0	0.531	0	0:00:08.109516
28300	5	-1	0.0	0	0:00:08.106522
28400	0	0	0.0787	1	0:00:08.110769
28500	4	0	0.336	0	0:00:08.105446
28600	3	3	0.0131	1	0:00:08.106825
28700	3	3	0.478	1	0:00:08.106386
28800	0	0	0.953	1	0:00:08.107336
28900	2	2	0.355	1	0:00:08.104413
29000	8	8	0.953	1	0:00:08.106878
29100	9	5	0.498	0	0:00:08.107461
29200	8	8	0.953	1	0:00:08.103589
29300	5	5	0.326	1	0:00:08.107152
29400	6	6	0.564	1	0:00:08.106821
29500	9	3	0.121	0	0:00:08.113136
29600	8	8	0.645	1	0:00:08.110367
29700	0	0	0.953	1	0:00:08.114772
29800	1	1	0.953	1	0:00:08.120475
29900	8	8	0.583	1	0:00:08.116125
