idx	label	predict	radius	correct	time
20000	3	3	0.419	1	0:00:08.092535
20100	4	4	0.317	1	0:00:08.088900
20200	5	5	0.892	1	0:00:08.096952
20300	6	6	0.953	1	0:00:08.089465
20400	9	9	0.953	1	0:00:08.096728
20500	4	6	0.206	0	0:00:08.092161
20600	8	8	0.898	1	0:00:08.093522
20700	7	7	0.953	1	0:00:08.093568
20800	7	7	0.953	1	0:00:08.096433
20900	2	6	0.243	0	0:00:08.088612
21000	5	5	0.953	1	0:00:08.095569
21100	7	7	0.192	1	0:00:08.095772
21200	8	8	0.881	1	0:00:08.093979
21300	4	3	0.302	0	0:00:08.085663
21400	5	3	0.0173	0	0:00:08.093369
21500	1	1	0.953	1	0:00:08.104238
21600	8	9	0.368	0	0:00:08.099141
21700	5	5	0.47	1	0:00:08.098548
21800	4	4	0.474	1	0:00:08.095057
21900	8	8	0.953	1	0:00:08.098063
22000	1	1	0.61	1	0:00:08.099044
22100	2	2	0.729	1	0:00:08.097860
22200	0	0	0.628	1	0:00:08.095848
22300	3	3	0.157	1	0:00:08.095747
22400	0	0	0.953	1	0:00:08.107154
22500	4	4	0.112	1	0:00:08.098607
22600	8	8	0.953	1	0:00:08.098934
22700	9	9	0.161	1	0:00:08.109647
22800	4	4	0.431	1	0:00:08.100832
22900	3	5	0.953	0	0:00:08.101821
23000	5	5	0.953	1	0:00:08.099883
23100	0	0	0.953	1	0:00:08.093729
23200	5	5	0.412	1	0:00:08.099296
23300	4	4	0.325	1	0:00:08.097063
23400	6	4	0.496	0	0:00:08.099772
23500	1	1	0.662	1	0:00:08.101285
23600	4	2	0.509	0	0:00:08.101383
23700	3	3	0.953	1	0:00:08.096906
23800	9	9	0.953	1	0:00:08.102009
23900	3	6	0.862	0	0:00:08.100358
24000	8	-1	0.0	0	0:00:08.099957
24100	7	7	0.953	1	0:00:08.103921
24200	4	4	0.792	1	0:00:08.093175
24300	8	8	0.953	1	0:00:08.097010
24400	3	4	0.121	0	0:00:08.093990
24500	3	3	0.0652	1	0:00:08.096159
24600	4	4	0.693	1	0:00:08.102374
24700	6	6	0.0907	1	0:00:08.100500
24800	9	9	0.953	1	0:00:08.100058
24900	3	3	0.364	1	0:00:08.101473
25000	7	7	0.953	1	0:00:08.101692
25100	3	3	0.953	1	0:00:08.101328
25200	3	3	0.858	1	0:00:08.097830
25300	9	9	0.922	1	0:00:08.101256
25400	9	9	0.953	1	0:00:08.096305
25500	8	8	0.506	1	0:00:08.095647
25600	6	-1	0.0	0	0:00:08.099729
25700	3	5	0.162	0	0:00:08.098027
25800	2	2	0.837	1	0:00:08.093317
25900	4	4	0.0145	1	0:00:08.087641
26000	8	8	0.455	1	0:00:08.092147
26100	1	1	0.953	1	0:00:08.098089
26200	3	3	0.752	1	0:00:08.092601
26300	1	1	0.953	1	0:00:08.094764
26400	0	0	0.714	1	0:00:08.093076
26500	7	6	0.318	0	0:00:08.092350
26600	7	7	0.953	1	0:00:08.099742
26700	6	6	0.855	1	0:00:08.096342
26800	6	6	0.31	1	0:00:08.091750
26900	3	3	0.953	1	0:00:08.098688
27000	2	0	0.149	0	0:00:08.089371
27100	9	3	0.611	0	0:00:08.095351
27200	4	6	0.0221	0	0:00:08.089666
27300	3	5	0.458	0	0:00:08.092795
27400	3	3	0.292	1	0:00:08.093573
27500	6	6	0.953	1	0:00:08.096232
27600	8	9	0.475	0	0:00:08.092505
27700	6	6	0.953	1	0:00:08.091136
27800	0	0	0.953	1	0:00:08.090490
27900	0	2	0.223	0	0:00:08.096084
28000	9	9	0.953	1	0:00:08.093019
28100	6	6	0.214	1	0:00:08.099088
28200	3	-1	0.0	0	0:00:08.093897
28300	5	-1	0.0	0	0:00:08.091825
28400	0	0	0.663	1	0:00:08.090750
28500	4	4	0.953	1	0:00:08.093045
28600	3	-1	0.0	0	0:00:08.096417
28700	3	3	0.702	1	0:00:08.095597
28800	0	0	0.953	1	0:00:08.092895
28900	2	2	0.17	1	0:00:08.091475
29000	8	8	0.953	1	0:00:08.092780
29100	9	1	0.378	0	0:00:08.093546
29200	8	8	0.953	1	0:00:08.087989
29300	5	5	0.232	1	0:00:08.092669
29400	6	6	0.953	1	0:00:08.092124
29500	9	9	0.953	1	0:00:08.095333
29600	8	8	0.776	1	0:00:08.089237
29700	0	0	0.953	1	0:00:08.090731
29800	1	1	0.953	1	0:00:08.101623
29900	8	8	0.785	1	0:00:08.093619
