idx	label	predict	radius	correct	time
20000	3	3	0.4	1	0:00:08.158170
20100	4	5	0.0253	0	0:00:08.156008
20200	5	5	0.376	1	0:00:08.160559
20300	6	6	0.726	1	0:00:08.159802
20400	9	9	0.574	1	0:00:08.163836
20500	4	-1	0.0	0	0:00:08.159391
20600	8	-1	0.0	0	0:00:08.158974
20700	7	7	0.553	1	0:00:08.157389
20800	7	7	0.953	1	0:00:08.160132
20900	2	6	0.0902	0	0:00:08.158746
21000	5	5	0.869	1	0:00:08.158701
21100	7	0	0.14	0	0:00:08.156720
21200	8	0	0.0231	0	0:00:08.155832
21300	4	3	0.373	0	0:00:08.154370
21400	5	5	0.112	1	0:00:08.152539
21500	1	1	0.567	1	0:00:08.159088
21600	8	-1	0.0	0	0:00:08.153008
21700	5	-1	0.0	0	0:00:08.157144
21800	4	4	0.53	1	0:00:08.154299
21900	8	8	0.847	1	0:00:08.149313
22000	1	1	0.528	1	0:00:08.152185
22100	2	2	0.472	1	0:00:08.152450
22200	0	0	0.0429	1	0:00:08.148616
22300	3	4	0.0947	0	0:00:08.147804
22400	0	0	0.953	1	0:00:08.144483
22500	4	4	0.207	1	0:00:08.147174
22600	8	8	0.833	1	0:00:08.143220
22700	9	1	0.033	0	0:00:08.153813
22800	4	4	0.309	1	0:00:08.144433
22900	3	2	0.0558	0	0:00:08.147025
23000	5	5	0.585	1	0:00:08.144616
23100	0	0	0.645	1	0:00:08.138011
23200	5	5	0.647	1	0:00:08.145154
23300	4	4	0.215	1	0:00:08.139004
23400	6	4	0.668	0	0:00:08.139811
23500	1	-1	0.0	0	0:00:08.140649
23600	4	2	0.406	0	0:00:08.141369
23700	3	3	0.695	1	0:00:08.137911
23800	9	9	0.224	1	0:00:08.141272
23900	3	6	0.148	0	0:00:08.136554
24000	8	-1	0.0	0	0:00:08.138316
24100	7	7	0.922	1	0:00:08.140994
24200	4	4	0.149	1	0:00:08.135789
24300	8	8	0.679	1	0:00:08.136900
24400	3	-1	0.0	0	0:00:08.138000
24500	3	3	0.0323	1	0:00:08.142275
24600	4	4	0.595	1	0:00:08.145484
24700	6	5	0.4	0	0:00:08.144073
24800	9	9	0.953	1	0:00:08.145741
24900	3	3	0.576	1	0:00:08.145155
25000	7	7	0.935	1	0:00:08.148362
25100	3	3	0.775	1	0:00:08.146770
25200	3	3	0.635	1	0:00:08.143390
25300	9	9	0.254	1	0:00:08.147258
25400	9	9	0.729	1	0:00:08.147158
25500	8	8	0.449	1	0:00:08.150528
25600	6	-1	0.0	0	0:00:08.150429
25700	3	3	0.623	1	0:00:08.150370
25800	2	2	0.482	1	0:00:08.150179
25900	4	3	0.142	0	0:00:08.149358
26000	8	8	0.458	1	0:00:08.151753
26100	1	1	0.534	1	0:00:08.153584
26200	3	3	0.0882	1	0:00:08.153584
26300	1	1	0.505	1	0:00:08.156629
26400	0	8	0.031	0	0:00:08.158145
26500	7	6	0.0967	0	0:00:08.158397
26600	7	7	0.641	1	0:00:08.163713
26700	6	6	0.395	1	0:00:08.161235
26800	6	-1	0.0	0	0:00:08.155903
26900	3	3	0.322	1	0:00:08.154183
27000	2	0	0.137	0	0:00:08.150518
27100	9	3	0.264	0	0:00:08.151687
27200	4	4	0.0396	1	0:00:08.148972
27300	3	5	0.323	0	0:00:08.154346
27400	3	5	0.138	0	0:00:08.153388
27500	6	6	0.935	1	0:00:08.154534
27600	8	2	0.145	0	0:00:08.151097
27700	6	6	0.586	1	0:00:08.150815
27800	0	0	0.615	1	0:00:08.145207
27900	0	4	0.0345	0	0:00:08.148961
28000	9	9	0.563	1	0:00:08.156652
28100	6	2	0.363	0	0:00:08.160546
28200	3	6	0.0573	0	0:00:08.159022
28300	5	-1	0.0	0	0:00:08.156908
28400	0	0	0.129	1	0:00:08.154985
28500	4	4	0.586	1	0:00:08.154576
28600	3	3	0.088	1	0:00:08.156728
28700	3	3	0.642	1	0:00:08.157003
28800	0	0	0.953	1	0:00:08.153185
28900	2	4	0.184	0	0:00:08.152812
29000	8	8	0.695	1	0:00:08.154317
29100	9	1	0.0297	0	0:00:08.152498
29200	8	8	0.869	1	0:00:08.149209
29300	5	-1	0.0	0	0:00:08.154756
29400	6	6	0.498	1	0:00:08.151027
29500	9	9	0.27	1	0:00:08.154763
29600	8	8	0.596	1	0:00:08.148744
29700	0	0	0.568	1	0:00:08.148849
29800	1	1	0.953	1	0:00:08.151817
29900	8	8	0.551	1	0:00:08.149622
