idx	label	predict	radius	correct	time
20000	3	3	0.953	1	0:00:08.060654
20100	4	4	0.0762	1	0:00:08.056998
20200	5	5	0.786	1	0:00:08.061263
20300	6	6	0.801	1	0:00:08.056372
20400	9	9	0.953	1	0:00:08.063316
20500	4	6	0.435	0	0:00:08.065888
20600	8	8	0.654	1	0:00:08.060784
20700	7	7	0.953	1	0:00:08.061987
20800	7	7	0.953	1	0:00:08.060268
20900	2	6	0.267	0	0:00:08.056230
21000	5	5	0.953	1	0:00:08.060635
21100	7	7	0.00375	1	0:00:08.062667
21200	8	8	0.25	1	0:00:08.061216
21300	4	3	0.73	0	0:00:08.058198
21400	5	3	0.818	0	0:00:08.059123
21500	1	1	0.953	1	0:00:08.064730
21600	8	9	0.473	0	0:00:08.063133
21700	5	-1	0.0	0	0:00:08.061450
21800	4	0	0.101	0	0:00:08.062224
21900	8	8	0.953	1	0:00:08.060276
22000	1	1	0.175	1	0:00:08.062459
22100	2	2	0.689	1	0:00:08.060052
22200	0	0	0.309	1	0:00:08.060200
22300	3	4	0.226	0	0:00:08.058222
22400	0	0	0.953	1	0:00:08.063848
22500	4	4	0.493	1	0:00:08.060118
22600	8	8	0.953	1	0:00:08.061908
22700	9	9	0.366	1	0:00:08.065772
22800	4	4	0.543	1	0:00:08.059615
22900	3	5	0.503	0	0:00:08.061707
23000	5	5	0.953	1	0:00:08.061390
23100	0	0	0.953	1	0:00:08.055497
23200	5	5	0.62	1	0:00:08.058689
23300	4	4	0.435	1	0:00:08.059955
23400	6	4	0.612	0	0:00:08.060332
23500	1	1	0.437	1	0:00:08.072280
23600	4	2	0.41	0	0:00:08.063279
23700	3	3	0.649	1	0:00:08.061924
23800	9	9	0.473	1	0:00:08.066581
23900	3	3	0.0916	1	0:00:08.063369
24000	8	0	0.233	0	0:00:08.062538
24100	7	7	0.953	1	0:00:08.062350
24200	4	4	0.447	1	0:00:08.058421
24300	8	8	0.953	1	0:00:08.060996
24400	3	-1	0.0	0	0:00:08.059737
24500	3	5	0.281	0	0:00:08.062292
24600	4	4	0.245	1	0:00:08.063422
24700	6	6	0.0204	1	0:00:08.062441
24800	9	9	0.953	1	0:00:08.066870
24900	3	3	0.306	1	0:00:08.064534
25000	7	7	0.953	1	0:00:08.067069
25100	3	3	0.953	1	0:00:08.068619
25200	3	3	0.922	1	0:00:08.064689
25300	9	9	0.801	1	0:00:08.066031
25400	9	9	0.202	1	0:00:08.066013
25500	8	8	0.953	1	0:00:08.066407
25600	6	5	0.191	0	0:00:08.063531
25700	3	3	0.361	1	0:00:08.065088
25800	2	2	0.658	1	0:00:08.062363
25900	4	3	0.00837	0	0:00:08.060881
26000	8	8	0.776	1	0:00:08.063344
26100	1	1	0.953	1	0:00:08.062671
26200	3	3	0.849	1	0:00:08.064942
26300	1	1	0.507	1	0:00:08.063786
26400	0	0	0.0245	1	0:00:08.064788
26500	7	6	0.203	0	0:00:08.072475
26600	7	7	0.953	1	0:00:08.072312
26700	6	6	0.862	1	0:00:08.065250
26800	6	6	0.299	1	0:00:08.062154
26900	3	3	0.858	1	0:00:08.068846
27000	2	8	0.101	0	0:00:08.061637
27100	9	3	0.258	0	0:00:08.065604
27200	4	-1	0.0	0	0:00:08.060422
27300	3	-1	0.0	0	0:00:08.062248
27400	3	3	0.193	1	0:00:08.066388
27500	6	6	0.953	1	0:00:08.067127
27600	8	9	0.0153	0	0:00:08.060947
27700	6	6	0.953	1	0:00:08.057249
27800	0	0	0.953	1	0:00:08.059056
27900	0	8	0.953	0	0:00:08.062563
28000	9	9	0.953	1	0:00:08.065140
28100	6	2	0.751	0	0:00:08.064181
28200	3	6	0.0635	0	0:00:08.062825
28300	5	2	0.343	0	0:00:08.061951
28400	0	0	0.331	1	0:00:08.062484
28500	4	4	0.953	1	0:00:08.063152
28600	3	3	0.099	1	0:00:08.068948
28700	3	3	0.116	1	0:00:08.064558
28800	0	0	0.953	1	0:00:08.065491
28900	2	4	0.0569	0	0:00:08.069777
29000	8	8	0.953	1	0:00:08.065346
29100	9	1	0.599	0	0:00:08.064543
29200	8	8	0.953	1	0:00:08.062333
29300	5	-1	0.0	0	0:00:08.066574
29400	6	6	0.0534	1	0:00:08.066990
29500	9	9	0.751	1	0:00:08.063874
29600	8	8	0.546	1	0:00:08.062023
29700	0	0	0.855	1	0:00:08.062642
29800	1	1	0.953	1	0:00:08.067203
29900	8	8	0.755	1	0:00:08.062270
