idx	label	predict	radius	correct	time
20000	3	3	0.764	1	0:00:08.017308
20100	4	4	0.0735	1	0:00:08.024519
20200	5	5	0.541	1	0:00:08.015948
20300	6	6	0.953	1	0:00:08.014638
20400	9	9	0.953	1	0:00:08.018664
20500	4	4	0.387	1	0:00:08.011283
20600	8	8	0.881	1	0:00:08.011590
20700	7	7	0.953	1	0:00:08.014732
20800	7	7	0.953	1	0:00:08.010676
20900	2	6	0.201	0	0:00:08.006179
21000	5	5	0.758	1	0:00:08.009954
21100	7	8	0.506	0	0:00:08.009512
21200	8	8	0.144	1	0:00:08.009195
21300	4	4	0.257	1	0:00:07.999228
21400	5	3	0.0547	0	0:00:08.007634
21500	1	1	0.913	1	0:00:08.011627
21600	8	-1	0.0	0	0:00:08.009155
21700	5	5	0.472	1	0:00:08.010637
21800	4	4	0.494	1	0:00:08.007268
21900	8	8	0.953	1	0:00:08.007703
22000	1	1	0.531	1	0:00:08.009686
22100	2	2	0.858	1	0:00:08.006267
22200	0	0	0.108	1	0:00:08.008097
22300	3	3	0.0558	1	0:00:08.007019
22400	0	0	0.953	1	0:00:08.010314
22500	4	4	0.16	1	0:00:08.007134
22600	8	8	0.847	1	0:00:08.008822
22700	9	1	0.0882	0	0:00:08.013887
22800	4	4	0.4	1	0:00:08.008306
22900	3	5	0.652	0	0:00:08.012713
23000	5	-1	0.0	0	0:00:08.012397
23100	0	0	0.953	1	0:00:08.004543
23200	5	5	0.935	1	0:00:08.010522
23300	4	4	0.0957	1	0:00:08.009341
23400	6	4	0.0192	0	0:00:08.009273
23500	1	1	0.161	1	0:00:08.013619
23600	4	3	0.313	0	0:00:08.012990
23700	3	3	0.953	1	0:00:08.014582
23800	9	9	0.684	1	0:00:08.026437
23900	3	6	0.386	0	0:00:08.012872
24000	8	0	0.0248	0	0:00:08.011810
24100	7	7	0.953	1	0:00:08.014428
24200	4	4	0.0407	1	0:00:08.011055
24300	8	8	0.0321	1	0:00:08.012408
24400	3	-1	0.0	0	0:00:08.009792
24500	3	3	0.64	1	0:00:08.015996
24600	4	4	0.642	1	0:00:08.014093
24700	6	5	0.461	0	0:00:08.017526
24800	9	9	0.953	1	0:00:08.017320
24900	3	3	0.242	1	0:00:08.018362
25000	7	7	0.953	1	0:00:08.016976
25100	3	3	0.953	1	0:00:08.016700
25200	3	3	0.148	1	0:00:08.012541
25300	9	9	0.953	1	0:00:08.027307
25400	9	9	0.646	1	0:00:08.013935
25500	8	8	0.603	1	0:00:08.012695
25600	6	0	0.0262	0	0:00:08.010806
25700	3	3	0.325	1	0:00:08.013247
25800	2	2	0.898	1	0:00:08.011162
25900	4	0	0.353	0	0:00:08.008028
26000	8	8	0.517	1	0:00:08.011825
26100	1	1	0.913	1	0:00:08.010956
26200	3	3	0.579	1	0:00:08.007970
26300	1	1	0.813	1	0:00:08.010001
26400	0	0	0.289	1	0:00:08.008854
26500	7	0	0.122	0	0:00:08.007612
26600	7	7	0.953	1	0:00:08.010192
26700	6	6	0.783	1	0:00:08.011255
26800	6	6	0.194	1	0:00:08.010338
26900	3	3	0.892	1	0:00:08.013434
27000	2	8	0.161	0	0:00:08.004770
27100	9	9	0.251	1	0:00:08.009504
27200	4	4	0.445	1	0:00:08.001537
27300	3	5	0.582	0	0:00:08.004940
27400	3	3	0.13	1	0:00:08.011823
27500	6	6	0.953	1	0:00:08.005867
27600	8	9	0.239	0	0:00:08.006935
27700	6	6	0.953	1	0:00:07.999853
27800	0	0	0.913	1	0:00:07.999272
27900	0	4	0.0826	0	0:00:08.002686
28000	9	9	0.953	1	0:00:08.005626
28100	6	-1	0.0	0	0:00:08.003302
28200	3	4	0.169	0	0:00:08.003472
28300	5	5	0.0817	1	0:00:08.002830
28400	0	0	0.244	1	0:00:07.999394
28500	4	4	0.624	1	0:00:08.007954
28600	3	-1	0.0	0	0:00:08.001992
28700	3	3	0.202	1	0:00:08.001544
28800	0	0	0.395	1	0:00:07.998993
28900	2	2	0.372	1	0:00:07.999209
29000	8	8	0.953	1	0:00:08.005263
29100	9	1	0.418	0	0:00:08.004484
29200	8	8	0.297	1	0:00:07.999048
29300	5	3	0.0962	0	0:00:08.000623
29400	6	6	0.905	1	0:00:07.998519
29500	9	9	0.953	1	0:00:08.000960
29600	8	8	0.346	1	0:00:07.996438
29700	0	0	0.953	1	0:00:07.997166
29800	1	1	0.953	1	0:00:08.000973
29900	8	8	0.953	1	0:00:08.002436
