idx	label	predict	radius	correct	time
20000	3	3	0.743	1	0:00:08.066746
20100	4	4	0.034	1	0:00:08.060425
20200	5	5	0.743	1	0:00:08.065697
20300	6	6	0.892	1	0:00:08.064952
20400	9	9	0.953	1	0:00:08.067511
20500	4	4	0.163	1	0:00:08.061095
20600	8	8	0.125	1	0:00:08.072301
20700	7	7	0.935	1	0:00:08.063413
20800	7	7	0.953	1	0:00:08.065347
20900	2	6	0.487	0	0:00:08.056923
21000	5	5	0.935	1	0:00:08.061128
21100	7	8	0.312	0	0:00:08.059677
21200	8	8	0.329	1	0:00:08.061001
21300	4	3	0.587	0	0:00:08.052890
21400	5	3	0.132	0	0:00:08.056185
21500	1	1	0.953	1	0:00:08.065645
21600	8	-1	0.0	0	0:00:08.061041
21700	5	5	0.318	1	0:00:08.058148
21800	4	4	0.302	1	0:00:08.054495
21900	8	8	0.953	1	0:00:08.057582
22000	1	1	0.366	1	0:00:08.056040
22100	2	2	0.453	1	0:00:08.056003
22200	0	-1	0.0	0	0:00:08.054277
22300	3	-1	0.0	0	0:00:08.051589
22400	0	0	0.953	1	0:00:08.055062
22500	4	4	0.297	1	0:00:08.051385
22600	8	8	0.798	1	0:00:08.055823
22700	9	1	0.0346	0	0:00:08.057565
22800	4	4	0.412	1	0:00:08.054958
22900	3	5	0.245	0	0:00:08.056078
23000	5	5	0.913	1	0:00:08.055899
23100	0	0	0.847	1	0:00:08.049849
23200	5	5	0.892	1	0:00:08.065348
23300	4	2	0.0262	0	0:00:08.051028
23400	6	6	0.187	1	0:00:08.052888
23500	1	1	0.104	1	0:00:08.053574
23600	4	2	0.0873	0	0:00:08.056289
23700	3	3	0.953	1	0:00:08.054116
23800	9	9	0.462	1	0:00:08.054965
23900	3	6	0.423	0	0:00:08.051144
24000	8	-1	0.0	0	0:00:08.049246
24100	7	7	0.953	1	0:00:08.054064
24200	4	4	0.476	1	0:00:08.051712
24300	8	8	0.76	1	0:00:08.052270
24400	3	-1	0.0	0	0:00:08.049890
24500	3	3	0.191	1	0:00:08.054353
24600	4	4	0.953	1	0:00:08.055654
24700	6	5	0.0751	0	0:00:08.056987
24800	9	9	0.953	1	0:00:08.059287
24900	3	3	0.373	1	0:00:08.057070
25000	7	7	0.953	1	0:00:08.061180
25100	3	3	0.953	1	0:00:08.059647
25200	3	3	0.596	1	0:00:08.059453
25300	9	9	0.733	1	0:00:08.062198
25400	9	9	0.858	1	0:00:08.058470
25500	8	8	0.586	1	0:00:08.058230
25600	6	5	0.0142	0	0:00:08.057628
25700	3	5	0.0239	0	0:00:08.060325
25800	2	2	0.816	1	0:00:08.061892
25900	4	-1	0.0	0	0:00:08.065330
26000	8	8	0.493	1	0:00:08.063625
26100	1	1	0.905	1	0:00:08.063248
26200	3	3	0.504	1	0:00:08.064268
26300	1	1	0.627	1	0:00:08.066360
26400	0	0	0.269	1	0:00:08.064377
26500	7	-1	0.0	0	0:00:08.063798
26600	7	7	0.953	1	0:00:08.069224
26700	6	6	0.698	1	0:00:08.068904
26800	6	6	0.0752	1	0:00:08.064948
26900	3	3	0.881	1	0:00:08.067657
27000	2	8	0.0532	0	0:00:08.064953
27100	9	5	0.0815	0	0:00:08.068326
27200	4	4	0.443	1	0:00:08.063767
27300	3	5	0.428	0	0:00:08.065144
27400	3	-1	0.0	0	0:00:08.068049
27500	6	6	0.953	1	0:00:08.069031
27600	8	9	0.279	0	0:00:08.064302
27700	6	6	0.898	1	0:00:08.063975
27800	0	0	0.719	1	0:00:08.063489
27900	0	4	0.00515	0	0:00:08.068688
28000	9	9	0.953	1	0:00:08.063762
28100	6	2	0.00336	0	0:00:08.065911
28200	3	4	0.113	0	0:00:08.069884
28300	5	-1	0.0	0	0:00:08.062841
28400	0	0	0.135	1	0:00:08.065784
28500	4	4	0.892	1	0:00:08.062423
28600	3	3	0.125	1	0:00:08.062814
28700	3	3	0.221	1	0:00:08.061333
28800	0	0	0.725	1	0:00:08.063079
28900	2	2	0.145	1	0:00:08.062296
29000	8	8	0.953	1	0:00:08.064426
29100	9	1	0.44	0	0:00:08.061427
29200	8	8	0.468	1	0:00:08.059150
29300	5	5	0.019	1	0:00:08.061403
29400	6	6	0.673	1	0:00:08.059927
29500	9	9	0.821	1	0:00:08.059865
29600	8	8	0.357	1	0:00:08.057744
29700	0	0	0.913	1	0:00:08.060516
29800	1	1	0.953	1	0:00:08.062701
29900	8	8	0.839	1	0:00:08.056684
