idx	label	predict	radius	correct	time
20000	3	3	0.474	1	0:00:08.025390
20100	4	4	0.15	1	0:00:08.020024
20200	5	5	0.751	1	0:00:08.028183
20300	6	6	0.935	1	0:00:08.023153
20400	9	9	0.953	1	0:00:08.027637
20500	4	4	0.129	1	0:00:08.025740
20600	8	8	0.265	1	0:00:08.027500
20700	7	7	0.953	1	0:00:08.026803
20800	7	7	0.953	1	0:00:08.027090
20900	2	6	0.456	0	0:00:08.021755
21000	5	5	0.953	1	0:00:08.029251
21100	7	8	0.28	0	0:00:08.026276
21200	8	8	0.486	1	0:00:08.029302
21300	4	3	0.596	0	0:00:08.018169
21400	5	3	0.0853	0	0:00:08.022341
21500	1	1	0.922	1	0:00:08.031317
21600	8	9	0.052	0	0:00:08.027749
21700	5	5	0.345	1	0:00:08.027802
21800	4	4	0.241	1	0:00:08.024954
21900	8	8	0.953	1	0:00:08.024788
22000	1	1	0.433	1	0:00:08.023840
22100	2	2	0.475	1	0:00:08.022162
22200	0	0	0.0796	1	0:00:08.022203
22300	3	-1	0.0	0	0:00:08.019777
22400	0	0	0.953	1	0:00:08.025454
22500	4	4	0.175	1	0:00:08.023910
22600	8	8	0.833	1	0:00:08.021470
22700	9	1	0.00989	0	0:00:08.027181
22800	4	4	0.472	1	0:00:08.021542
22900	3	5	0.406	0	0:00:08.021317
23000	5	5	0.953	1	0:00:08.021702
23100	0	0	0.837	1	0:00:08.013751
23200	5	5	0.935	1	0:00:08.020256
23300	4	4	0.0343	1	0:00:08.017520
23400	6	6	0.102	1	0:00:08.019024
23500	1	1	0.22	1	0:00:08.022735
23600	4	2	0.0566	0	0:00:08.018895
23700	3	3	0.953	1	0:00:08.016237
23800	9	9	0.723	1	0:00:08.018538
23900	3	6	0.347	0	0:00:08.019836
24000	8	-1	0.0	0	0:00:08.017777
24100	7	7	0.953	1	0:00:08.017949
24200	4	4	0.538	1	0:00:08.009501
24300	8	8	0.731	1	0:00:08.013287
24400	3	-1	0.0	0	0:00:08.010792
24500	3	3	0.138	1	0:00:08.018396
24600	4	4	0.953	1	0:00:08.016967
24700	6	5	0.0542	0	0:00:08.015152
24800	9	9	0.953	1	0:00:08.019195
24900	3	3	0.414	1	0:00:08.016476
25000	7	7	0.953	1	0:00:08.018643
25100	3	3	0.953	1	0:00:08.018582
25200	3	3	0.564	1	0:00:08.018190
25300	9	9	0.886	1	0:00:08.022049
25400	9	9	0.935	1	0:00:08.019370
25500	8	8	0.482	1	0:00:08.018369
25600	6	-1	0.0	0	0:00:08.020666
25700	3	5	0.0251	0	0:00:08.025950
25800	2	2	0.777	1	0:00:08.016470
25900	4	-1	0.0	0	0:00:08.016107
26000	8	8	0.596	1	0:00:08.019897
26100	1	1	0.935	1	0:00:08.023835
26200	3	3	0.522	1	0:00:08.023922
26300	1	1	0.676	1	0:00:08.026112
26400	0	0	0.187	1	0:00:08.026833
26500	7	-1	0.0	0	0:00:08.022488
26600	7	7	0.953	1	0:00:08.028755
26700	6	6	0.881	1	0:00:08.025486
26800	6	6	0.094	1	0:00:08.024741
26900	3	3	0.855	1	0:00:08.030642
27000	2	8	0.0961	0	0:00:08.025187
27100	9	9	0.0799	1	0:00:08.033184
27200	4	4	0.406	1	0:00:08.023275
27300	3	5	0.326	0	0:00:08.025379
27400	3	9	0.0128	0	0:00:08.023705
27500	6	6	0.953	1	0:00:08.026771
27600	8	9	0.351	0	0:00:08.025023
27700	6	6	0.953	1	0:00:08.021969
27800	0	0	0.905	1	0:00:08.023382
27900	0	4	0.104	0	0:00:08.027069
28000	9	9	0.953	1	0:00:08.026018
28100	6	6	0.0539	1	0:00:08.028602
28200	3	4	0.00617	0	0:00:08.027065
28300	5	-1	0.0	0	0:00:08.023325
28400	0	0	0.12	1	0:00:08.024735
28500	4	4	0.922	1	0:00:08.020961
28600	3	3	0.259	1	0:00:08.030285
28700	3	3	0.144	1	0:00:08.024215
28800	0	0	0.785	1	0:00:08.023632
28900	2	2	0.166	1	0:00:08.023324
29000	8	8	0.953	1	0:00:08.029690
29100	9	1	0.229	0	0:00:08.026662
29200	8	8	0.432	1	0:00:08.021067
29300	5	3	0.0516	0	0:00:08.023881
29400	6	6	0.833	1	0:00:08.025880
29500	9	9	0.953	1	0:00:08.024699
29600	8	8	0.437	1	0:00:08.019161
29700	0	0	0.905	1	0:00:08.019101
29800	1	1	0.953	1	0:00:08.024133
29900	8	8	0.953	1	0:00:08.018085
