idx	label	predict	radius	correct	time
20000	3	3	0.537	1	0:00:08.042212
20100	4	5	0.117	0	0:00:08.037434
20200	5	5	0.827	1	0:00:08.041944
20300	6	6	0.953	1	0:00:08.038318
20400	9	9	0.953	1	0:00:08.041890
20500	4	3	0.0969	0	0:00:08.039541
20600	8	8	0.892	1	0:00:08.040499
20700	7	7	0.539	1	0:00:08.040622
20800	7	7	0.953	1	0:00:08.038837
20900	2	-1	0.0	0	0:00:08.036158
21000	5	5	0.865	1	0:00:08.040096
21100	7	8	0.757	0	0:00:08.040177
21200	8	0	0.277	0	0:00:08.040079
21300	4	4	0.34	1	0:00:08.035013
21400	5	5	0.953	1	0:00:08.038339
21500	1	1	0.953	1	0:00:08.043101
21600	8	-1	0.0	0	0:00:08.041881
21700	5	5	0.799	1	0:00:08.042649
21800	4	8	0.555	0	0:00:08.041372
21900	8	8	0.953	1	0:00:08.043198
22000	1	1	0.566	1	0:00:08.045942
22100	2	2	0.827	1	0:00:08.043270
22200	0	0	0.953	1	0:00:08.041983
22300	3	-1	0.0	0	0:00:08.042015
22400	0	0	0.935	1	0:00:08.045532
22500	4	6	0.0751	0	0:00:08.046144
22600	8	8	0.935	1	0:00:08.048995
22700	9	1	0.38	0	0:00:08.051964
22800	4	6	0.0706	0	0:00:08.050193
22900	3	5	0.953	0	0:00:08.050574
23000	5	5	0.886	1	0:00:08.050762
23100	0	0	0.953	1	0:00:08.047303
23200	5	5	0.542	1	0:00:08.053858
23300	4	-1	0.0	0	0:00:08.053760
23400	6	4	0.106	0	0:00:08.054072
23500	1	-1	0.0	0	0:00:08.057443
23600	4	2	0.46	0	0:00:08.054824
23700	3	5	0.715	0	0:00:08.054256
23800	9	9	0.26	1	0:00:08.057766
23900	3	3	0.133	1	0:00:08.054621
24000	8	0	0.212	0	0:00:08.055797
24100	7	7	0.953	1	0:00:08.058949
24200	4	2	0.161	0	0:00:08.057813
24300	8	8	0.953	1	0:00:08.054626
24400	3	8	0.0779	0	0:00:08.053981
24500	3	6	0.0419	0	0:00:08.057973
24600	4	4	0.814	1	0:00:08.058499
24700	6	-1	0.0	0	0:00:08.056983
24800	9	9	0.953	1	0:00:08.060113
24900	3	1	0.382	0	0:00:08.055215
25000	7	7	0.953	1	0:00:08.056937
25100	3	3	0.694	1	0:00:08.057109
25200	3	3	0.953	1	0:00:08.054330
25300	9	9	0.953	1	0:00:08.056526
25400	9	9	0.0534	1	0:00:08.054919
25500	8	8	0.953	1	0:00:08.052724
25600	6	0	0.356	0	0:00:08.051470
25700	3	3	0.191	1	0:00:08.052435
25800	2	2	0.663	1	0:00:08.053482
25900	4	5	0.254	0	0:00:08.047846
26000	8	8	0.592	1	0:00:08.053315
26100	1	1	0.752	1	0:00:08.050574
26200	3	3	0.622	1	0:00:08.048072
26300	1	1	0.527	1	0:00:08.049702
26400	0	8	0.121	0	0:00:08.048752
26500	7	0	0.0706	0	0:00:08.048859
26600	7	7	0.953	1	0:00:08.050608
26700	6	6	0.71	1	0:00:08.048741
26800	6	4	0.16	0	0:00:08.045220
26900	3	0	0.78	0	0:00:08.049700
27000	2	8	0.274	0	0:00:08.044752
27100	9	9	0.0449	1	0:00:08.048396
27200	4	6	0.0913	0	0:00:08.043179
27300	3	5	0.209	0	0:00:08.045476
27400	3	3	0.694	1	0:00:08.046300
27500	6	6	0.953	1	0:00:08.045851
27600	8	9	0.448	0	0:00:08.043068
27700	6	6	0.935	1	0:00:08.040260
27800	0	0	0.935	1	0:00:08.037651
27900	0	8	0.905	0	0:00:08.041961
28000	9	9	0.935	1	0:00:08.041841
28100	6	2	0.695	0	0:00:08.041733
28200	3	0	0.0627	0	0:00:08.042608
28300	5	5	0.0854	1	0:00:08.041046
28400	0	0	0.345	1	0:00:08.040593
28500	4	0	0.458	0	0:00:08.036838
28600	3	3	0.0798	1	0:00:08.040133
28700	3	3	0.271	1	0:00:08.040053
28800	0	0	0.953	1	0:00:08.037362
28900	2	-1	0.0	0	0:00:08.037421
29000	8	8	0.953	1	0:00:08.038322
29100	9	5	0.00444	0	0:00:08.037997
29200	8	8	0.422	1	0:00:08.039899
29300	5	5	0.721	1	0:00:08.042874
29400	6	6	0.953	1	0:00:08.039309
29500	9	5	0.0504	0	0:00:08.038230
29600	8	8	0.935	1	0:00:08.037368
29700	0	0	0.953	1	0:00:08.037159
29800	1	1	0.953	1	0:00:08.042180
29900	8	8	0.758	1	0:00:08.038832
