idx	label	predict	radius	correct	time
20000	3	3	0.751	1	0:00:08.057132
20100	4	5	0.149	0	0:00:08.056000
20200	5	5	0.953	1	0:00:08.060009
20300	6	6	0.953	1	0:00:08.055536
20400	9	9	0.953	1	0:00:08.058391
20500	4	6	0.343	0	0:00:08.054305
20600	8	8	0.549	1	0:00:08.053119
20700	7	7	0.953	1	0:00:08.051736
20800	7	7	0.953	1	0:00:08.052226
20900	2	6	0.66	0	0:00:08.049299
21000	5	5	0.953	1	0:00:08.051286
21100	7	7	0.125	1	0:00:08.050333
21200	8	8	0.539	1	0:00:08.051430
21300	4	3	0.682	0	0:00:08.041981
21400	5	5	0.433	1	0:00:08.043849
21500	1	1	0.953	1	0:00:08.049267
21600	8	9	0.141	0	0:00:08.047689
21700	5	5	0.672	1	0:00:08.045947
21800	4	4	0.447	1	0:00:08.043158
21900	8	8	0.953	1	0:00:08.043798
22000	1	1	0.287	1	0:00:08.043133
22100	2	2	0.233	1	0:00:08.042089
22200	0	0	0.953	1	0:00:08.040941
22300	3	3	0.0173	1	0:00:08.039239
22400	0	0	0.953	1	0:00:08.043892
22500	4	6	0.301	0	0:00:08.039530
22600	8	8	0.953	1	0:00:08.041823
22700	9	9	0.0856	1	0:00:08.044668
22800	4	4	0.23	1	0:00:08.038145
22900	3	5	0.286	0	0:00:08.042421
23000	5	5	0.953	1	0:00:08.042396
23100	0	0	0.953	1	0:00:08.035545
23200	5	5	0.869	1	0:00:08.042226
23300	4	4	0.255	1	0:00:08.041345
23400	6	6	0.0913	1	0:00:08.043563
23500	1	1	0.611	1	0:00:08.049081
23600	4	2	0.363	0	0:00:08.044336
23700	3	3	0.0342	1	0:00:08.044496
23800	9	9	0.913	1	0:00:08.046933
23900	3	6	0.316	0	0:00:08.046627
24000	8	7	0.0247	0	0:00:08.046038
24100	7	7	0.953	1	0:00:08.047720
24200	4	4	0.513	1	0:00:08.043023
24300	8	8	0.953	1	0:00:08.047252
24400	3	6	0.395	0	0:00:08.048762
24500	3	5	0.289	0	0:00:08.049866
24600	4	4	0.338	1	0:00:08.051335
24700	6	-1	0.0	0	0:00:08.054022
24800	9	9	0.953	1	0:00:08.054396
24900	3	-1	0.0	0	0:00:08.054257
25000	7	7	0.953	1	0:00:08.055740
25100	3	3	0.935	1	0:00:08.053814
25200	3	3	0.953	1	0:00:08.052424
25300	9	9	0.953	1	0:00:08.055056
25400	9	9	0.922	1	0:00:08.053719
25500	8	8	0.462	1	0:00:08.054004
25600	6	-1	0.0	0	0:00:08.051919
25700	3	5	0.478	0	0:00:08.056691
25800	2	2	0.676	1	0:00:08.054590
25900	4	-1	0.0	0	0:00:08.053316
26000	8	8	0.49	1	0:00:08.055002
26100	1	1	0.675	1	0:00:08.057001
26200	3	3	0.81	1	0:00:08.059249
26300	1	1	0.953	1	0:00:08.059086
26400	0	0	0.694	1	0:00:08.057755
26500	7	6	0.451	0	0:00:08.057838
26600	7	7	0.953	1	0:00:08.062650
26700	6	6	0.953	1	0:00:08.058639
26800	6	6	0.524	1	0:00:08.057752
26900	3	3	0.935	1	0:00:08.063107
27000	2	0	0.0879	0	0:00:08.058739
27100	9	2	0.338	0	0:00:08.061676
27200	4	6	0.479	0	0:00:08.057722
27300	3	4	0.248	0	0:00:08.060096
27400	3	3	0.0859	1	0:00:08.061116
27500	6	6	0.953	1	0:00:08.061779
27600	8	9	0.564	0	0:00:08.059291
27700	6	6	0.953	1	0:00:08.058836
27800	0	0	0.953	1	0:00:08.056891
27900	0	2	0.224	0	0:00:08.060028
28000	9	9	0.953	1	0:00:08.058543
28100	6	2	0.764	0	0:00:08.060194
28200	3	6	0.0604	0	0:00:08.059203
28300	5	-1	0.0	0	0:00:08.055824
28400	0	0	0.491	1	0:00:08.055341
28500	4	4	0.953	1	0:00:08.055246
28600	3	5	0.545	0	0:00:08.058819
28700	3	3	0.814	1	0:00:08.056260
28800	0	0	0.953	1	0:00:08.054081
28900	2	4	0.47	0	0:00:08.054054
29000	8	8	0.953	1	0:00:08.056786
29100	9	9	0.0144	1	0:00:08.056252
29200	8	8	0.732	1	0:00:08.048964
29300	5	5	0.0815	1	0:00:08.053708
29400	6	6	0.953	1	0:00:08.050831
29500	9	9	0.953	1	0:00:08.055405
29600	8	8	0.625	1	0:00:08.048458
29700	0	0	0.953	1	0:00:08.048635
29800	1	1	0.953	1	0:00:08.055480
29900	8	8	0.953	1	0:00:08.048782
