idx	label	predict	radius	correct	time
20000	3	3	0.873	1	0:00:08.051286
20100	4	5	0.228	0	0:00:08.048930
20200	5	5	0.869	1	0:00:08.053830
20300	6	6	0.953	1	0:00:08.052170
20400	9	9	0.953	1	0:00:08.057620
20500	4	6	0.284	0	0:00:08.054908
20600	8	8	0.299	1	0:00:08.056681
20700	7	7	0.953	1	0:00:08.056803
20800	7	7	0.953	1	0:00:08.057080
20900	2	6	0.586	0	0:00:08.053381
21000	5	5	0.953	1	0:00:08.058001
21100	7	7	0.0547	1	0:00:08.060423
21200	8	8	0.286	1	0:00:08.059481
21300	4	3	0.587	0	0:00:08.053592
21400	5	5	0.467	1	0:00:08.056398
21500	1	1	0.953	1	0:00:08.062355
21600	8	9	0.0451	0	0:00:08.061007
21700	5	5	0.446	1	0:00:08.061439
21800	4	4	0.442	1	0:00:08.060708
21900	8	8	0.953	1	0:00:08.061276
22000	1	1	0.335	1	0:00:08.061735
22100	2	2	0.343	1	0:00:08.060463
22200	0	0	0.953	1	0:00:08.061260
22300	3	3	0.136	1	0:00:08.059300
22400	0	0	0.953	1	0:00:08.065099
22500	4	4	0.0465	1	0:00:08.062310
22600	8	8	0.953	1	0:00:08.066504
22700	9	9	0.186	1	0:00:08.067488
22800	4	4	0.144	1	0:00:08.061959
22900	3	5	0.341	0	0:00:08.064279
23000	5	5	0.953	1	0:00:08.065545
23100	0	0	0.953	1	0:00:08.058758
23200	5	5	0.935	1	0:00:08.065143
23300	4	4	0.00199	1	0:00:08.060606
23400	6	6	0.144	1	0:00:08.062003
23500	1	1	0.418	1	0:00:08.062902
23600	4	2	0.608	0	0:00:08.061471
23700	3	3	0.0821	1	0:00:08.063871
23800	9	9	0.652	1	0:00:08.061678
23900	3	6	0.293	0	0:00:08.061345
24000	8	9	0.192	0	0:00:08.059814
24100	7	7	0.953	1	0:00:08.062631
24200	4	4	0.419	1	0:00:08.056900
24300	8	8	0.953	1	0:00:08.059208
24400	3	6	0.341	0	0:00:08.054027
24500	3	5	0.413	0	0:00:08.055499
24600	4	4	0.393	1	0:00:08.057604
24700	6	-1	0.0	0	0:00:08.060356
24800	9	9	0.953	1	0:00:08.059152
24900	3	-1	0.0	0	0:00:08.055808
25000	7	7	0.953	1	0:00:08.056808
25100	3	3	0.953	1	0:00:08.055194
25200	3	3	0.953	1	0:00:08.054102
25300	9	9	0.953	1	0:00:08.055294
25400	9	9	0.913	1	0:00:08.050650
25500	8	8	0.375	1	0:00:08.050776
25600	6	-1	0.0	0	0:00:08.051678
25700	3	5	0.623	0	0:00:08.051123
25800	2	2	0.364	1	0:00:08.048645
25900	4	-1	0.0	0	0:00:08.047829
26000	8	8	0.664	1	0:00:08.049347
26100	1	1	0.271	1	0:00:08.051411
26200	3	3	0.913	1	0:00:08.050816
26300	1	1	0.524	1	0:00:08.047941
26400	0	0	0.137	1	0:00:08.050380
26500	7	6	0.622	0	0:00:08.046825
26600	7	7	0.953	1	0:00:08.051916
26700	6	6	0.922	1	0:00:08.047112
26800	6	6	0.477	1	0:00:08.043175
26900	3	3	0.715	1	0:00:08.048562
27000	2	0	0.146	0	0:00:08.045261
27100	9	2	0.552	0	0:00:08.049539
27200	4	6	0.535	0	0:00:08.044043
27300	3	4	0.209	0	0:00:08.046101
27400	3	3	0.308	1	0:00:08.046460
27500	6	6	0.953	1	0:00:08.048717
27600	8	9	0.61	0	0:00:08.044693
27700	6	6	0.953	1	0:00:08.043836
27800	0	0	0.935	1	0:00:08.041439
27900	0	2	0.187	0	0:00:08.046479
28000	9	9	0.953	1	0:00:08.048171
28100	6	2	0.799	0	0:00:08.048071
28200	3	6	0.138	0	0:00:08.047783
28300	5	-1	0.0	0	0:00:08.045404
28400	0	0	0.48	1	0:00:08.046594
28500	4	4	0.953	1	0:00:08.046497
28600	3	5	0.524	0	0:00:08.051637
28700	3	3	0.935	1	0:00:08.052381
28800	0	0	0.953	1	0:00:08.053330
28900	2	4	0.173	0	0:00:08.055145
29000	8	8	0.953	1	0:00:08.054497
29100	9	1	0.054	0	0:00:08.052157
29200	8	8	0.795	1	0:00:08.051815
29300	5	5	0.294	1	0:00:08.057181
29400	6	6	0.953	1	0:00:08.056864
29500	9	9	0.953	1	0:00:08.056710
29600	8	8	0.697	1	0:00:08.053259
29700	0	0	0.819	1	0:00:08.055476
29800	1	1	0.953	1	0:00:08.063683
29900	8	8	0.869	1	0:00:08.059135
