idx	label	predict	radius	correct	time
20000	3	3	0.739	1	0:00:08.017166
20100	4	5	0.256	0	0:00:08.012615
20200	5	5	0.935	1	0:00:08.020570
20300	6	6	0.953	1	0:00:08.021813
20400	9	9	0.953	1	0:00:08.020980
20500	4	6	0.398	0	0:00:08.017095
20600	8	8	0.469	1	0:00:08.017251
20700	7	7	0.953	1	0:00:08.019179
20800	7	7	0.953	1	0:00:08.019408
20900	2	6	0.658	0	0:00:08.016179
21000	5	5	0.953	1	0:00:08.021185
21100	7	7	0.094	1	0:00:08.023057
21200	8	8	0.548	1	0:00:08.021825
21300	4	3	0.659	0	0:00:08.015477
21400	5	5	0.412	1	0:00:08.020051
21500	1	1	0.953	1	0:00:08.025306
21600	8	9	0.138	0	0:00:08.021763
21700	5	5	0.608	1	0:00:08.022529
21800	4	4	0.356	1	0:00:08.024054
21900	8	8	0.953	1	0:00:08.024830
22000	1	1	0.405	1	0:00:08.024127
22100	2	2	0.307	1	0:00:08.026312
22200	0	0	0.953	1	0:00:08.028349
22300	3	-1	0.0	0	0:00:08.027215
22400	0	0	0.953	1	0:00:08.032350
22500	4	6	0.424	0	0:00:08.028770
22600	8	8	0.953	1	0:00:08.030734
22700	9	9	0.0608	1	0:00:08.035282
22800	4	4	0.137	1	0:00:08.029850
22900	3	5	0.304	0	0:00:08.033181
23000	5	5	0.953	1	0:00:08.033900
23100	0	0	0.953	1	0:00:08.026813
23200	5	5	0.935	1	0:00:08.033187
23300	4	4	0.188	1	0:00:08.030073
23400	6	-1	0.0	0	0:00:08.031824
23500	1	1	0.579	1	0:00:08.031967
23600	4	2	0.451	0	0:00:08.031765
23700	3	3	0.151	1	0:00:08.030514
23800	9	9	0.913	1	0:00:08.031715
23900	3	6	0.39	0	0:00:08.031793
24000	8	9	0.0311	0	0:00:08.030748
24100	7	7	0.953	1	0:00:08.033255
24200	4	4	0.407	1	0:00:08.024959
24300	8	8	0.953	1	0:00:08.027225
24400	3	6	0.475	0	0:00:08.025256
24500	3	5	0.473	0	0:00:08.030309
24600	4	4	0.354	1	0:00:08.031550
24700	6	6	0.0746	1	0:00:08.028624
24800	9	9	0.953	1	0:00:08.031752
24900	3	6	0.0336	0	0:00:08.029284
25000	7	7	0.953	1	0:00:08.030218
25100	3	3	0.953	1	0:00:08.027663
25200	3	3	0.953	1	0:00:08.029022
25300	9	9	0.953	1	0:00:08.036304
25400	9	9	0.935	1	0:00:08.024305
25500	8	8	0.547	1	0:00:08.023252
25600	6	-1	0.0	0	0:00:08.021890
25700	3	5	0.502	0	0:00:08.024580
25800	2	2	0.77	1	0:00:08.023214
25900	4	-1	0.0	0	0:00:08.019437
26000	8	8	0.616	1	0:00:08.023153
26100	1	1	0.618	1	0:00:08.024015
26200	3	3	0.862	1	0:00:08.023241
26300	1	1	0.953	1	0:00:08.023689
26400	0	0	0.592	1	0:00:08.018775
26500	7	6	0.574	0	0:00:08.018003
26600	7	7	0.953	1	0:00:08.023263
26700	6	6	0.953	1	0:00:08.020127
26800	6	6	0.372	1	0:00:08.020475
26900	3	3	0.886	1	0:00:08.024246
27000	2	0	0.013	0	0:00:08.018572
27100	9	2	0.222	0	0:00:08.023058
27200	4	6	0.49	0	0:00:08.017968
27300	3	4	0.309	0	0:00:08.019515
27400	3	3	0.248	1	0:00:08.020979
27500	6	6	0.953	1	0:00:08.023597
27600	8	9	0.741	0	0:00:08.016074
27700	6	6	0.953	1	0:00:08.016244
27800	0	0	0.953	1	0:00:08.014979
27900	0	2	0.178	0	0:00:08.018885
28000	9	9	0.953	1	0:00:08.016605
28100	6	2	0.898	0	0:00:08.016775
28200	3	6	0.0291	0	0:00:08.017554
28300	5	-1	0.0	0	0:00:08.014706
28400	0	0	0.533	1	0:00:08.015836
28500	4	4	0.953	1	0:00:08.014291
28600	3	5	0.498	0	0:00:08.017549
28700	3	3	0.807	1	0:00:08.015586
28800	0	0	0.953	1	0:00:08.015207
28900	2	4	0.214	0	0:00:08.013889
29000	8	8	0.953	1	0:00:08.017388
29100	9	1	0.0819	0	0:00:08.017931
29200	8	8	0.713	1	0:00:08.013935
29300	5	-1	0.0	0	0:00:08.017970
29400	6	6	0.953	1	0:00:08.017192
29500	9	9	0.953	1	0:00:08.017241
29600	8	8	0.6	1	0:00:08.013695
29700	0	0	0.842	1	0:00:08.014154
29800	1	1	0.953	1	0:00:08.020362
29900	8	8	0.953	1	0:00:08.019759
