idx	label	predict	radius	correct	time
20000	3	2	0.311	0	0:00:08.199402
20100	4	4	0.262	1	0:00:08.196890
20200	5	-1	0.0	0	0:00:08.201486
20300	6	6	0.142	1	0:00:08.201747
20400	9	6	0.47	0	0:00:08.204201
20500	4	4	0.115	1	0:00:08.202428
20600	8	4	0.105	0	0:00:08.201235
20700	7	4	0.383	0	0:00:08.201370
20800	7	7	0.194	1	0:00:08.200446
20900	2	4	0.47	0	0:00:08.196460
21000	5	5	0.34	1	0:00:08.197008
21100	7	8	0.396	0	0:00:08.197044
21200	8	0	0.751	0	0:00:08.197513
21300	4	3	0.953	0	0:00:08.193688
21400	5	2	0.198	0	0:00:08.198688
21500	1	4	0.19	0	0:00:08.198902
21600	8	4	0.0608	0	0:00:08.196956
21700	5	2	0.199	0	0:00:08.198085
21800	4	8	0.0252	0	0:00:08.197937
21900	8	8	0.869	1	0:00:08.200552
22000	1	6	0.194	0	0:00:08.199112
22100	2	4	0.0334	0	0:00:08.201993
22200	0	0	0.953	1	0:00:08.198543
22300	3	4	0.0331	0	0:00:08.199069
22400	0	0	0.953	1	0:00:08.203034
22500	4	2	0.0103	0	0:00:08.201333
22600	8	8	0.953	1	0:00:08.201681
22700	9	0	0.0787	0	0:00:08.207031
22800	4	4	0.277	1	0:00:08.203639
22900	3	2	0.423	0	0:00:08.205023
23000	5	-1	0.0	0	0:00:08.203168
23100	0	0	0.567	1	0:00:08.199032
23200	5	4	0.286	0	0:00:08.205848
23300	4	2	0.198	0	0:00:08.204289
23400	6	4	0.0393	0	0:00:08.204339
23500	1	4	0.382	0	0:00:08.206519
23600	4	2	0.283	0	0:00:08.204536
23700	3	4	0.223	0	0:00:08.202840
23800	9	2	0.115	0	0:00:08.202701
23900	3	6	0.00234	0	0:00:08.203573
24000	8	4	0.35	0	0:00:08.201622
24100	7	7	0.401	1	0:00:08.205048
24200	4	2	0.241	0	0:00:08.201408
24300	8	-1	0.0	0	0:00:08.203298
24400	3	4	0.209	0	0:00:08.203773
24500	3	6	0.585	0	0:00:08.202497
24600	4	4	0.877	1	0:00:08.205147
24700	6	6	0.141	1	0:00:08.202936
24800	9	-1	0.0	0	0:00:08.204611
24900	3	6	0.76	0	0:00:08.212121
25000	7	7	0.674	1	0:00:08.203869
25100	3	2	0.137	0	0:00:08.201821
25200	3	6	0.336	0	0:00:08.201684
25300	9	6	0.115	0	0:00:08.202174
25400	9	4	0.0143	0	0:00:08.200855
25500	8	8	0.213	1	0:00:08.201530
25600	6	4	0.543	0	0:00:08.198867
25700	3	2	0.0692	0	0:00:08.199095
25800	2	4	0.00177	0	0:00:08.200186
25900	4	-1	0.0	0	0:00:08.199993
26000	8	2	0.315	0	0:00:08.198855
26100	1	4	0.0125	0	0:00:08.199879
26200	3	-1	0.0	0	0:00:08.199122
26300	1	4	0.205	0	0:00:08.201113
26400	0	4	0.0838	0	0:00:08.202137
26500	7	4	0.0506	0	0:00:08.199951
26600	7	7	0.849	1	0:00:08.205110
26700	6	-1	0.0	0	0:00:08.199285
26800	6	4	0.418	0	0:00:08.200182
26900	3	4	0.0525	0	0:00:08.203624
27000	2	2	0.493	1	0:00:08.198089
27100	9	3	0.0911	0	0:00:08.203088
27200	4	2	0.235	0	0:00:08.199615
27300	3	4	0.227	0	0:00:08.201275
27400	3	3	0.855	1	0:00:08.206717
27500	6	6	0.731	1	0:00:08.203698
27600	8	2	0.0562	0	0:00:08.198719
27700	6	6	0.21	1	0:00:08.197757
27800	0	0	0.657	1	0:00:08.198174
27900	0	4	0.0593	0	0:00:08.200748
28000	9	-1	0.0	0	0:00:08.202031
28100	6	4	0.376	0	0:00:08.202983
28200	3	4	0.418	0	0:00:08.201263
28300	5	4	0.119	0	0:00:08.202915
28400	0	8	0.849	0	0:00:08.198500
28500	4	4	0.77	1	0:00:08.198125
28600	3	4	0.193	0	0:00:08.199738
28700	3	2	0.0359	0	0:00:08.200039
28800	0	0	0.953	1	0:00:08.200116
28900	2	4	0.289	0	0:00:08.205576
29000	8	0	0.176	0	0:00:08.202967
29100	9	-1	0.0	0	0:00:08.201193
29200	8	8	0.898	1	0:00:08.198729
29300	5	2	0.464	0	0:00:08.204334
29400	6	2	0.115	0	0:00:08.204040
29500	9	2	0.0728	0	0:00:08.201314
29600	8	8	0.953	1	0:00:08.202377
29700	0	0	0.592	1	0:00:08.199160
29800	1	1	0.654	1	0:00:08.201019
29900	8	8	0.0379	1	0:00:08.198820
