idx	label	predict	radius	correct	time
20000	3	3	0.444	1	0:00:08.179104
20100	4	5	0.0174	0	0:00:08.174737
20200	5	5	0.821	1	0:00:08.181927
20300	6	6	0.892	1	0:00:08.180896
20400	9	9	0.953	1	0:00:08.183143
20500	4	6	0.119	0	0:00:08.183597
20600	8	8	0.935	1	0:00:08.181346
20700	7	7	0.953	1	0:00:08.178466
20800	7	7	0.953	1	0:00:08.180797
20900	2	6	0.28	0	0:00:08.176471
21000	5	5	0.953	1	0:00:08.179658
21100	7	7	0.308	1	0:00:08.182617
21200	8	8	0.637	1	0:00:08.186376
21300	4	3	0.596	0	0:00:08.176869
21400	5	-1	0.0	0	0:00:08.176559
21500	1	1	0.953	1	0:00:08.187758
21600	8	9	0.0518	0	0:00:08.182979
21700	5	5	0.375	1	0:00:08.180031
21800	4	4	0.207	1	0:00:08.182339
21900	8	8	0.953	1	0:00:08.179483
22000	1	1	0.865	1	0:00:08.188968
22100	2	2	0.722	1	0:00:08.177612
22200	0	0	0.378	1	0:00:08.174982
22300	3	3	0.0763	1	0:00:08.176086
22400	0	0	0.953	1	0:00:08.178051
22500	4	4	0.185	1	0:00:08.175248
22600	8	8	0.953	1	0:00:08.176286
22700	9	9	0.319	1	0:00:08.182538
22800	4	4	0.421	1	0:00:08.177191
22900	3	5	0.254	0	0:00:08.180317
23000	5	5	0.953	1	0:00:08.179401
23100	0	0	0.935	1	0:00:08.169464
23200	5	5	0.456	1	0:00:08.178304
23300	4	4	0.255	1	0:00:08.177473
23400	6	4	0.527	0	0:00:08.175645
23500	1	1	0.509	1	0:00:08.182709
23600	4	2	0.358	0	0:00:08.178260
23700	3	3	0.953	1	0:00:08.181554
23800	9	9	0.733	1	0:00:08.182702
23900	3	6	0.291	0	0:00:08.179100
24000	8	0	0.154	0	0:00:08.181167
24100	7	7	0.953	1	0:00:08.183450
24200	4	4	0.27	1	0:00:08.176550
24300	8	8	0.953	1	0:00:08.179382
24400	3	3	0.0938	1	0:00:08.180998
24500	3	5	0.287	0	0:00:08.182224
24600	4	7	0.000996	0	0:00:08.184256
24700	6	-1	0.0	0	0:00:08.183006
24800	9	9	0.953	1	0:00:08.185331
24900	3	-1	0.0	0	0:00:08.184141
25000	7	7	0.953	1	0:00:08.186495
25100	3	3	0.935	1	0:00:08.183948
25200	3	3	0.814	1	0:00:08.182334
25300	9	9	0.953	1	0:00:08.184647
25400	9	9	0.913	1	0:00:08.179225
25500	8	8	0.524	1	0:00:08.179469
25600	6	6	0.0014	1	0:00:08.179140
25700	3	3	0.206	1	0:00:08.184690
25800	2	2	0.953	1	0:00:08.183108
25900	4	3	0.144	0	0:00:08.179250
26000	8	8	0.669	1	0:00:08.179982
26100	1	1	0.953	1	0:00:08.180568
26200	3	3	0.728	1	0:00:08.183666
26300	1	1	0.865	1	0:00:08.187863
26400	0	0	0.202	1	0:00:08.184566
26500	7	6	0.122	0	0:00:08.180492
26600	7	7	0.953	1	0:00:08.185078
26700	6	6	0.827	1	0:00:08.187740
26800	6	4	0.111	0	0:00:08.180589
26900	3	3	0.672	1	0:00:08.187992
27000	2	8	0.131	0	0:00:08.179789
27100	9	5	0.0838	0	0:00:08.185736
27200	4	-1	0.0	0	0:00:08.179467
27300	3	5	0.562	0	0:00:08.180586
27400	3	3	0.741	1	0:00:08.181580
27500	6	6	0.953	1	0:00:08.180395
27600	8	9	0.0927	0	0:00:08.176429
27700	6	6	0.953	1	0:00:08.176291
27800	0	0	0.913	1	0:00:08.171417
27900	0	-1	0.0	0	0:00:08.178561
28000	9	9	0.953	1	0:00:08.176261
28100	6	2	0.713	0	0:00:08.178655
28200	3	4	0.0644	0	0:00:08.184888
28300	5	-1	0.0	0	0:00:08.179708
28400	0	0	0.452	1	0:00:08.176674
28500	4	4	0.852	1	0:00:08.174890
28600	3	5	0.0475	0	0:00:08.180559
28700	3	3	0.818	1	0:00:08.177900
28800	0	0	0.602	1	0:00:08.178444
28900	2	2	0.799	1	0:00:08.177807
29000	8	8	0.953	1	0:00:08.182400
29100	9	-1	0.0	0	0:00:08.177552
29200	8	8	0.953	1	0:00:08.170838
29300	5	5	0.102	1	0:00:08.185487
29400	6	6	0.935	1	0:00:08.184758
29500	9	9	0.953	1	0:00:08.183058
29600	8	8	0.814	1	0:00:08.177898
29700	0	0	0.749	1	0:00:08.179623
29800	1	1	0.953	1	0:00:08.183681
29900	8	8	0.892	1	0:00:08.178940
