idx	label	predict	radius	correct	time
20000	3	3	0.465	1	0:00:08.175028
20100	4	4	0.07	1	0:00:08.169724
20200	5	5	0.898	1	0:00:08.175832
20300	6	6	0.953	1	0:00:08.173911
20400	9	9	0.953	1	0:00:08.177492
20500	4	6	0.0907	0	0:00:08.172576
20600	8	8	0.953	1	0:00:08.174649
20700	7	7	0.953	1	0:00:08.175408
20800	7	7	0.953	1	0:00:08.177301
20900	2	6	0.0609	0	0:00:08.168278
21000	5	5	0.953	1	0:00:08.172696
21100	7	8	0.354	0	0:00:08.171353
21200	8	8	0.564	1	0:00:08.173191
21300	4	3	0.203	0	0:00:08.169633
21400	5	3	0.311	0	0:00:08.171296
21500	1	1	0.631	1	0:00:08.177084
21600	8	9	0.0208	0	0:00:08.172434
21700	5	5	0.473	1	0:00:08.172099
21800	4	0	0.165	0	0:00:08.171945
21900	8	8	0.953	1	0:00:08.171988
22000	1	1	0.753	1	0:00:08.174061
22100	2	2	0.686	1	0:00:08.171070
22200	0	0	0.551	1	0:00:08.166836
22300	3	3	0.276	1	0:00:08.168030
22400	0	0	0.953	1	0:00:08.169396
22500	4	4	0.137	1	0:00:08.171315
22600	8	8	0.727	1	0:00:08.167942
22700	9	1	0.0887	0	0:00:08.167363
22800	4	4	0.69	1	0:00:08.163812
22900	3	5	0.438	0	0:00:08.172386
23000	5	5	0.847	1	0:00:08.170120
23100	0	0	0.953	1	0:00:08.160007
23200	5	5	0.289	1	0:00:08.165563
23300	4	3	0.0306	0	0:00:08.161238
23400	6	4	0.0551	0	0:00:08.168864
23500	1	1	0.414	1	0:00:08.167633
23600	4	2	0.36	0	0:00:08.168208
23700	3	3	0.905	1	0:00:08.165188
23800	9	9	0.657	1	0:00:08.169104
23900	3	6	0.337	0	0:00:08.166311
24000	8	4	0.0167	0	0:00:08.168703
24100	7	7	0.953	1	0:00:08.175862
24200	4	4	0.479	1	0:00:08.162663
24300	8	8	0.635	1	0:00:08.164043
24400	3	3	0.12	1	0:00:08.164131
24500	3	3	0.23	1	0:00:08.165198
24600	4	-1	0.0	0	0:00:08.168462
24700	6	5	0.388	0	0:00:08.168602
24800	9	9	0.953	1	0:00:08.172172
24900	3	0	0.284	0	0:00:08.168477
25000	7	7	0.953	1	0:00:08.173100
25100	3	3	0.819	1	0:00:08.172894
25200	3	3	0.241	1	0:00:08.169119
25300	9	9	0.953	1	0:00:08.169107
25400	9	9	0.935	1	0:00:08.166153
25500	8	8	0.681	1	0:00:08.168174
25600	6	-1	0.0	0	0:00:08.169761
25700	3	3	0.273	1	0:00:08.172225
25800	2	2	0.935	1	0:00:08.169809
25900	4	3	0.733	0	0:00:08.165719
26000	8	8	0.499	1	0:00:08.168492
26100	1	1	0.953	1	0:00:08.172100
26200	3	3	0.309	1	0:00:08.168217
26300	1	1	0.691	1	0:00:08.169040
26400	0	8	0.0135	0	0:00:08.169794
26500	7	-1	0.0	0	0:00:08.168803
26600	7	7	0.953	1	0:00:08.171957
26700	6	6	0.711	1	0:00:08.171494
26800	6	6	0.372	1	0:00:08.169882
26900	3	3	0.597	1	0:00:08.176368
27000	2	0	0.000933	0	0:00:08.171529
27100	9	9	0.115	1	0:00:08.177254
27200	4	4	0.154	1	0:00:08.169897
27300	3	5	0.312	0	0:00:08.169671
27400	3	3	0.64	1	0:00:08.168234
27500	6	6	0.953	1	0:00:08.169109
27600	8	9	0.757	0	0:00:08.169592
27700	6	6	0.953	1	0:00:08.168847
27800	0	0	0.294	1	0:00:08.163309
27900	0	0	0.387	1	0:00:08.167755
28000	9	9	0.776	1	0:00:08.166059
28100	6	2	0.521	0	0:00:08.168600
28200	3	7	0.0488	0	0:00:08.169923
28300	5	2	0.0877	0	0:00:08.165619
28400	0	0	0.268	1	0:00:08.168929
28500	4	4	0.453	1	0:00:08.167806
28600	3	5	0.0112	0	0:00:08.173069
28700	3	3	0.905	1	0:00:08.171245
28800	0	0	0.584	1	0:00:08.171120
28900	2	2	0.659	1	0:00:08.172426
29000	8	8	0.953	1	0:00:08.175027
29100	9	1	0.0268	0	0:00:08.172442
29200	8	0	0.0659	0	0:00:08.168401
29300	5	3	0.169	0	0:00:08.172874
29400	6	6	0.953	1	0:00:08.171420
29500	9	9	0.953	1	0:00:08.172904
29600	8	8	0.455	1	0:00:08.169210
29700	0	0	0.643	1	0:00:08.168782
29800	1	1	0.953	1	0:00:08.173339
29900	8	8	0.865	1	0:00:08.167877
