idx	label	predict	radius	correct	time
20000	3	3	0.326	1	0:00:07.979279
20100	4	4	0.245	1	0:00:07.974952
20200	5	3	0.0294	0	0:00:07.977157
20300	6	6	0.953	1	0:00:07.976940
20400	9	9	0.953	1	0:00:07.979467
20500	4	6	0.0525	0	0:00:07.977218
20600	8	8	0.38	1	0:00:07.980026
20700	7	7	0.953	1	0:00:07.979124
20800	7	7	0.953	1	0:00:07.981771
20900	2	6	0.3	0	0:00:07.978099
21000	5	5	0.303	1	0:00:07.979759
21100	7	-1	0.0	0	0:00:07.981261
21200	8	8	0.393	1	0:00:07.982445
21300	4	3	0.354	0	0:00:07.975461
21400	5	6	0.299	0	0:00:07.977627
21500	1	1	0.619	1	0:00:07.983157
21600	8	9	0.0692	0	0:00:07.981174
21700	5	-1	0.0	0	0:00:07.981898
21800	4	4	0.296	1	0:00:07.983414
21900	8	8	0.877	1	0:00:07.983100
22000	1	1	0.285	1	0:00:07.983120
22100	2	7	0.217	0	0:00:07.982057
22200	0	0	0.181	1	0:00:07.982970
22300	3	6	0.0691	0	0:00:07.980118
22400	0	0	0.935	1	0:00:07.982444
22500	4	6	0.541	0	0:00:07.979798
22600	8	8	0.585	1	0:00:07.982313
22700	9	9	0.224	1	0:00:07.988549
22800	4	4	0.205	1	0:00:07.980488
22900	3	-1	0.0	0	0:00:07.981423
23000	5	5	0.193	1	0:00:07.981601
23100	0	-1	0.0	0	0:00:07.981207
23200	5	5	0.406	1	0:00:07.981531
23300	4	4	0.397	1	0:00:07.979616
23400	6	4	0.178	0	0:00:07.979486
23500	1	1	0.164	1	0:00:07.985074
23600	4	2	0.157	0	0:00:07.982228
23700	3	3	0.257	1	0:00:07.980170
23800	9	9	0.665	1	0:00:07.983359
23900	3	3	0.184	1	0:00:07.981803
24000	8	4	0.14	0	0:00:07.981395
24100	7	7	0.731	1	0:00:07.981979
24200	4	6	0.0527	0	0:00:07.977836
24300	8	9	0.00458	0	0:00:07.981045
24400	3	6	0.239	0	0:00:07.980182
24500	3	5	0.0917	0	0:00:07.983225
24600	4	4	0.744	1	0:00:07.983781
24700	6	-1	0.0	0	0:00:07.982221
24800	9	9	0.953	1	0:00:07.985508
24900	3	-1	0.0	0	0:00:07.984524
25000	7	7	0.953	1	0:00:07.984611
25100	3	3	0.271	1	0:00:07.982898
25200	3	6	0.0428	0	0:00:07.982217
25300	9	9	0.747	1	0:00:07.982221
25400	9	9	0.356	1	0:00:07.982887
25500	8	-1	0.0	0	0:00:07.981281
25600	6	6	0.703	1	0:00:07.982105
25700	3	-1	0.0	0	0:00:07.981985
25800	2	2	0.332	1	0:00:07.981035
25900	4	6	0.167	0	0:00:07.986020
26000	8	9	0.0531	0	0:00:07.981166
26100	1	1	0.766	1	0:00:07.982456
26200	3	3	0.109	1	0:00:07.981418
26300	1	1	0.448	1	0:00:07.990284
26400	0	-1	0.0	0	0:00:07.981491
26500	7	4	0.0251	0	0:00:07.980784
26600	7	7	0.953	1	0:00:07.983763
26700	6	6	0.789	1	0:00:07.980996
26800	6	6	0.585	1	0:00:07.980615
26900	3	3	0.849	1	0:00:07.982650
27000	2	2	0.0978	1	0:00:07.980323
27100	9	5	0.212	0	0:00:07.981017
27200	4	6	0.04	0	0:00:07.991584
27300	3	5	0.0741	0	0:00:07.981205
27400	3	9	0.21	0	0:00:07.979254
27500	6	6	0.953	1	0:00:07.980835
27600	8	9	0.0734	0	0:00:07.979008
27700	6	6	0.953	1	0:00:07.977158
27800	0	0	0.646	1	0:00:07.979620
27900	0	0	0.0784	1	0:00:07.982942
28000	9	9	0.849	1	0:00:07.979617
28100	6	6	0.0671	1	0:00:07.979024
28200	3	6	0.226	0	0:00:07.979167
28300	5	6	0.311	0	0:00:07.978316
28400	0	0	0.467	1	0:00:07.978420
28500	4	4	0.696	1	0:00:07.977012
28600	3	3	0.000137	1	0:00:07.979983
28700	3	3	0.383	1	0:00:07.987606
28800	0	0	0.32	1	0:00:07.981519
28900	2	4	0.116	0	0:00:07.978763
29000	8	8	0.953	1	0:00:07.982874
29100	9	9	0.252	1	0:00:07.980858
29200	8	0	0.0322	0	0:00:07.981489
29300	5	3	0.144	0	0:00:07.981687
29400	6	6	0.953	1	0:00:07.979759
29500	9	9	0.935	1	0:00:07.981542
29600	8	0	0.0274	0	0:00:07.980323
29700	0	0	0.23	1	0:00:07.980188
29800	1	1	0.858	1	0:00:07.980567
29900	8	8	0.807	1	0:00:07.979372
