idx	label	predict	radius	correct	time
30000	3	3	0.953	1	0:00:08.107952
30100	4	4	0.17	1	0:00:08.108495
30200	5	5	0.804	1	0:00:08.107099
30300	6	6	0.922	1	0:00:08.108122
30400	9	9	0.953	1	0:00:08.111902
30500	4	-1	0.0	0	0:00:08.108266
30600	8	8	0.765	1	0:00:08.108562
30700	7	7	0.953	1	0:00:08.110931
30800	7	7	0.953	1	0:00:08.108522
30900	2	6	0.256	0	0:00:08.103476
31000	5	5	0.953	1	0:00:08.109805
31100	7	7	0.33	1	0:00:08.106838
31200	8	8	0.819	1	0:00:08.105772
31300	4	3	0.0986	0	0:00:08.107806
31400	5	5	0.344	1	0:00:08.101891
31500	1	1	0.953	1	0:00:08.109094
31600	8	4	0.0448	0	0:00:08.107597
31700	5	5	0.017	1	0:00:08.104450
31800	4	4	0.362	1	0:00:08.103311
31900	8	8	0.953	1	0:00:08.106381
32000	1	1	0.237	1	0:00:08.108621
32100	2	2	0.724	1	0:00:08.109949
32200	0	0	0.407	1	0:00:08.106986
32300	3	3	0.177	1	0:00:08.104525
32400	0	0	0.953	1	0:00:08.116414
32500	4	4	0.289	1	0:00:08.108374
32600	8	8	0.953	1	0:00:08.110327
32700	9	9	0.311	1	0:00:08.114597
32800	4	4	0.145	1	0:00:08.110579
32900	3	5	0.542	0	0:00:08.112545
33000	5	5	0.953	1	0:00:08.115260
33100	0	0	0.953	1	0:00:08.109034
33200	5	-1	0.0	0	0:00:08.120517
33300	4	4	0.373	1	0:00:08.113222
33400	6	4	0.325	0	0:00:08.124502
33500	1	1	0.362	1	0:00:08.121965
33600	4	2	0.0345	0	0:00:08.118016
33700	3	3	0.953	1	0:00:08.116310
33800	9	9	0.803	1	0:00:08.117891
33900	3	6	0.671	0	0:00:08.120986
34000	8	4	0.111	0	0:00:08.116668
34100	7	7	0.953	1	0:00:08.121198
34200	4	4	0.171	1	0:00:08.115906
34300	8	8	0.953	1	0:00:08.119601
34400	3	4	0.188	0	0:00:08.118488
34500	3	3	0.101	1	0:00:08.124257
34600	4	4	0.182	1	0:00:08.121989
34700	6	6	0.244	1	0:00:08.122498
34800	9	9	0.953	1	0:00:08.124231
34900	3	1	0.0995	0	0:00:08.130650
35000	7	7	0.953	1	0:00:08.125186
35100	3	3	0.953	1	0:00:08.124479
35200	3	3	0.953	1	0:00:08.121871
35300	9	9	0.65	1	0:00:08.124954
35400	9	9	0.458	1	0:00:08.120108
35500	8	8	0.073	1	0:00:08.122103
35600	6	-1	0.0	0	0:00:08.121093
35700	3	3	0.0243	1	0:00:08.123093
35800	2	2	0.855	1	0:00:08.123388
35900	4	3	0.0563	0	0:00:08.117470
36000	8	8	0.795	1	0:00:08.120808
36100	1	1	0.668	1	0:00:08.121534
36200	3	3	0.0903	1	0:00:08.119128
36300	1	1	0.504	1	0:00:08.120758
36400	0	0	0.252	1	0:00:08.114923
36500	7	0	0.0151	0	0:00:08.116633
36600	7	7	0.953	1	0:00:08.122603
36700	6	6	0.55	1	0:00:08.117927
36800	6	6	0.385	1	0:00:08.115361
36900	3	3	0.719	1	0:00:08.118898
37000	2	0	0.466	0	0:00:08.112339
37100	9	3	0.596	0	0:00:08.118656
37200	4	4	0.278	1	0:00:08.109641
37300	3	5	0.639	0	0:00:08.120999
37400	3	3	0.566	1	0:00:08.117153
37500	6	6	0.953	1	0:00:08.117524
37600	8	9	0.447	0	0:00:08.110125
37700	6	6	0.935	1	0:00:08.109613
37800	0	0	0.953	1	0:00:08.108346
37900	0	4	0.232	0	0:00:08.112815
38000	9	9	0.793	1	0:00:08.112267
38100	6	6	0.0381	1	0:00:08.114592
38200	3	6	0.0183	0	0:00:08.110486
38300	5	-1	0.0	0	0:00:08.110027
38400	0	0	0.585	1	0:00:08.108762
38500	4	4	0.953	1	0:00:08.105178
38600	3	3	0.0386	1	0:00:08.109549
38700	3	3	0.638	1	0:00:08.109696
38800	0	0	0.953	1	0:00:08.108992
38900	2	2	0.18	1	0:00:08.112149
39000	8	8	0.953	1	0:00:08.112875
39100	9	1	0.44	0	0:00:08.112979
39200	8	8	0.953	1	0:00:08.108583
39300	5	5	0.159	1	0:00:08.115335
39400	6	6	0.363	1	0:00:08.114066
39500	9	9	0.47	1	0:00:08.114158
39600	8	8	0.833	1	0:00:08.117879
39700	0	0	0.953	1	0:00:08.117368
39800	1	1	0.953	1	0:00:08.123146
39900	8	8	0.167	1	0:00:08.118366
