idx	label	predict	radius	correct	time
30000	3	2	0.0186	0	0:00:08.123066
30100	4	4	0.0824	1	0:00:08.118243
30200	5	5	0.0824	1	0:00:08.120907
30300	6	6	0.149	1	0:00:08.118786
30400	9	-1	0.0	0	0:00:08.125781
30500	4	4	0.496	1	0:00:08.120595
30600	8	4	0.153	0	0:00:08.118854
30700	7	4	0.0584	0	0:00:08.122840
30800	7	-1	0.0	0	0:00:08.117132
30900	2	4	0.8	0	0:00:08.116041
31000	5	5	0.953	1	0:00:08.119062
31100	7	8	0.594	0	0:00:08.117674
31200	8	4	0.0538	0	0:00:08.115723
31300	4	3	0.0764	0	0:00:08.109388
31400	5	4	0.387	0	0:00:08.110872
31500	1	1	0.749	1	0:00:08.116431
31600	8	4	0.371	0	0:00:08.116027
31700	5	2	0.148	0	0:00:08.108927
31800	4	8	0.0307	0	0:00:08.112678
31900	8	8	0.855	1	0:00:08.115171
32000	1	6	0.683	0	0:00:08.109676
32100	2	4	0.5	0	0:00:08.109995
32200	0	0	0.865	1	0:00:08.110883
32300	3	4	0.354	0	0:00:08.110142
32400	0	0	0.71	1	0:00:08.113055
32500	4	4	0.163	1	0:00:08.112201
32600	8	8	0.633	1	0:00:08.109517
32700	9	3	0.303	0	0:00:08.112746
32800	4	4	0.606	1	0:00:08.107425
32900	3	5	0.0968	0	0:00:08.113445
33000	5	5	0.433	1	0:00:08.110115
33100	0	8	0.248	0	0:00:08.108539
33200	5	5	0.596	1	0:00:08.113006
33300	4	2	0.272	0	0:00:08.110663
33400	6	4	0.339	0	0:00:08.109990
33500	1	4	0.748	0	0:00:08.113318
33600	4	2	0.004	0	0:00:08.109444
33700	3	3	0.434	1	0:00:08.110682
33800	9	3	0.533	0	0:00:08.111965
33900	3	6	0.0715	0	0:00:08.112611
34000	8	4	0.379	0	0:00:08.109081
34100	7	7	0.552	1	0:00:08.111340
34200	4	4	0.394	1	0:00:08.105925
34300	8	8	0.658	1	0:00:08.111927
34400	3	3	0.0461	1	0:00:08.109061
34500	3	4	0.473	0	0:00:08.122152
34600	4	4	0.599	1	0:00:08.116642
34700	6	6	0.00578	1	0:00:08.115000
34800	9	5	0.184	0	0:00:08.122367
34900	3	6	0.774	0	0:00:08.118334
35000	7	7	0.953	1	0:00:08.121849
35100	3	3	0.275	1	0:00:08.116785
35200	3	6	0.528	0	0:00:08.117355
35300	9	9	0.205	1	0:00:08.121808
35400	9	9	0.418	1	0:00:08.121155
35500	8	5	0.258	0	0:00:08.121889
35600	6	4	0.346	0	0:00:08.117272
35700	3	2	0.0375	0	0:00:08.121824
35800	2	2	0.0519	1	0:00:08.123850
35900	4	4	0.72	1	0:00:08.121213
36000	8	8	0.00175	1	0:00:08.123184
36100	1	8	0.282	0	0:00:08.123345
36200	3	0	0.0476	0	0:00:08.129047
36300	1	2	0.0103	0	0:00:08.127696
36400	0	4	0.444	0	0:00:08.122670
36500	7	6	0.502	0	0:00:08.126420
36600	7	7	0.953	1	0:00:08.129645
36700	6	6	0.286	1	0:00:08.125711
36800	6	4	0.338	0	0:00:08.123334
36900	3	4	0.233	0	0:00:08.129274
37000	2	2	0.0885	1	0:00:08.126606
37100	9	-1	0.0	0	0:00:08.130912
37200	4	4	0.391	1	0:00:08.125174
37300	3	4	0.302	0	0:00:08.124756
37400	3	3	0.603	1	0:00:08.128271
37500	6	6	0.852	1	0:00:08.132892
37600	8	2	0.411	0	0:00:08.123144
37700	6	4	0.628	0	0:00:08.120539
37800	0	0	0.0217	1	0:00:08.127210
37900	0	-1	0.0	0	0:00:08.127649
38000	9	2	0.0265	0	0:00:08.121274
38100	6	2	0.0452	0	0:00:08.122045
38200	3	-1	0.0	0	0:00:08.119443
38300	5	2	0.013	0	0:00:08.124226
38400	0	8	0.119	0	0:00:08.121060
38500	4	4	0.64	1	0:00:08.116559
38600	3	4	0.552	0	0:00:08.119475
38700	3	3	0.48	1	0:00:08.117052
38800	0	0	0.953	1	0:00:08.116441
38900	2	4	0.432	0	0:00:08.116647
39000	8	8	0.953	1	0:00:08.116354
39100	9	4	0.134	0	0:00:08.116655
39200	8	8	0.953	1	0:00:08.112339
39300	5	2	0.108	0	0:00:08.117936
39400	6	6	0.413	1	0:00:08.112960
39500	9	3	0.431	0	0:00:08.117751
39600	8	8	0.386	1	0:00:08.110937
39700	0	0	0.49	1	0:00:08.111568
39800	1	1	0.0184	1	0:00:08.117359
39900	8	8	0.278	1	0:00:08.110796
