idx	label	predict	radius	correct	time
30000	3	3	0.877	1	0:00:08.112401
30100	4	4	0.174	1	0:00:08.108880
30200	5	5	0.545	1	0:00:08.118342
30300	6	6	0.722	1	0:00:08.115267
30400	9	9	0.953	1	0:00:08.121140
30500	4	-1	0.0	0	0:00:08.115537
30600	8	8	0.666	1	0:00:08.115687
30700	7	7	0.953	1	0:00:08.119779
30800	7	7	0.953	1	0:00:08.119304
30900	2	6	0.255	0	0:00:08.117539
31000	5	5	0.953	1	0:00:08.121254
31100	7	7	0.291	1	0:00:08.121026
31200	8	8	0.712	1	0:00:08.126370
31300	4	3	0.103	0	0:00:08.116566
31400	5	5	0.192	1	0:00:08.116510
31500	1	1	0.881	1	0:00:08.124032
31600	8	9	0.369	0	0:00:08.123527
31700	5	5	0.312	1	0:00:08.122096
31800	4	4	0.356	1	0:00:08.121470
31900	8	8	0.953	1	0:00:08.123425
32000	1	1	0.406	1	0:00:08.131312
32100	2	2	0.559	1	0:00:08.124582
32200	0	0	0.274	1	0:00:08.125278
32300	3	3	0.337	1	0:00:08.121493
32400	0	0	0.953	1	0:00:08.128409
32500	4	4	0.382	1	0:00:08.123420
32600	8	8	0.953	1	0:00:08.127588
32700	9	9	0.666	1	0:00:08.133664
32800	4	4	0.386	1	0:00:08.126007
32900	3	5	0.663	0	0:00:08.128203
33000	5	5	0.953	1	0:00:08.138702
33100	0	0	0.953	1	0:00:08.121191
33200	5	5	0.653	1	0:00:08.129042
33300	4	4	0.531	1	0:00:08.125653
33400	6	4	0.655	0	0:00:08.128347
33500	1	1	0.796	1	0:00:08.137222
33600	4	2	0.61	0	0:00:08.126665
33700	3	3	0.79	1	0:00:08.125823
33800	9	9	0.886	1	0:00:08.125684
33900	3	6	0.438	0	0:00:08.125162
34000	8	7	0.015	0	0:00:08.122595
34100	7	7	0.953	1	0:00:08.132080
34200	4	4	0.628	1	0:00:08.119287
34300	8	8	0.953	1	0:00:08.119252
34400	3	4	0.375	0	0:00:08.123318
34500	3	5	0.303	0	0:00:08.124142
34600	4	4	0.195	1	0:00:08.125597
34700	6	6	0.185	1	0:00:08.123036
34800	9	9	0.953	1	0:00:08.122782
34900	3	3	0.0821	1	0:00:08.122159
35000	7	7	0.953	1	0:00:08.123007
35100	3	3	0.953	1	0:00:08.118768
35200	3	3	0.935	1	0:00:08.116424
35300	9	9	0.24	1	0:00:08.116515
35400	9	9	0.561	1	0:00:08.113980
35500	8	8	0.566	1	0:00:08.114625
35600	6	-1	0.0	0	0:00:08.115310
35700	3	3	0.277	1	0:00:08.117550
35800	2	2	0.623	1	0:00:08.111761
35900	4	-1	0.0	0	0:00:08.112591
36000	8	8	0.71	1	0:00:08.113086
36100	1	1	0.651	1	0:00:08.115252
36200	3	3	0.862	1	0:00:08.115615
36300	1	1	0.578	1	0:00:08.115281
36400	0	8	0.111	0	0:00:08.114416
36500	7	6	0.433	0	0:00:08.111018
36600	7	7	0.953	1	0:00:08.124647
36700	6	6	0.704	1	0:00:08.111758
36800	6	6	0.443	1	0:00:08.109264
36900	3	3	0.681	1	0:00:08.116671
37000	2	8	0.0754	0	0:00:08.108848
37100	9	3	0.722	0	0:00:08.111041
37200	4	6	0.0965	0	0:00:08.108272
37300	3	5	0.402	0	0:00:08.115120
37400	3	3	0.298	1	0:00:08.111519
37500	6	6	0.953	1	0:00:08.115552
37600	8	9	0.284	0	0:00:08.109913
37700	6	6	0.953	1	0:00:08.106854
37800	0	0	0.935	1	0:00:08.106835
37900	0	-1	0.0	0	0:00:08.112585
38000	9	9	0.953	1	0:00:08.114722
38100	6	2	0.0801	0	0:00:08.116169
38200	3	-1	0.0	0	0:00:08.112852
38300	5	-1	0.0	0	0:00:08.116621
38400	0	0	0.619	1	0:00:08.111823
38500	4	4	0.935	1	0:00:08.112185
38600	3	4	0.138	0	0:00:08.116969
38700	3	3	0.873	1	0:00:08.117265
38800	0	0	0.953	1	0:00:08.117262
38900	2	2	0.158	1	0:00:08.114839
39000	8	8	0.953	1	0:00:08.119032
39100	9	1	0.237	0	0:00:08.116754
39200	8	8	0.953	1	0:00:08.115891
39300	5	5	0.353	1	0:00:08.126228
39400	6	6	0.953	1	0:00:08.120190
39500	9	9	0.869	1	0:00:08.123873
39600	8	8	0.642	1	0:00:08.119481
39700	0	0	0.953	1	0:00:08.121070
39800	1	1	0.953	1	0:00:08.130019
39900	8	0	0.313	0	0:00:08.126193
