idx	label	predict	radius	correct	time
30000	3	3	0.401	1	0:00:08.131727
30100	4	4	0.411	1	0:00:08.126518
30200	5	5	0.877	1	0:00:08.131602
30300	6	6	0.953	1	0:00:08.129839
30400	9	9	0.953	1	0:00:08.133094
30500	4	6	0.264	0	0:00:08.130715
30600	8	8	0.847	1	0:00:08.132617
30700	7	7	0.953	1	0:00:08.133425
30800	7	7	0.953	1	0:00:08.136668
30900	2	6	0.0632	0	0:00:08.129451
31000	5	5	0.953	1	0:00:08.131549
31100	7	7	0.137	1	0:00:08.131411
31200	8	8	0.821	1	0:00:08.130137
31300	4	3	0.13	0	0:00:08.124652
31400	5	5	0.168	1	0:00:08.129435
31500	1	1	0.953	1	0:00:08.136878
31600	8	9	0.57	0	0:00:08.130394
31700	5	5	0.44	1	0:00:08.134520
31800	4	4	0.485	1	0:00:08.125496
31900	8	8	0.953	1	0:00:08.128558
32000	1	1	0.413	1	0:00:08.127862
32100	2	2	0.451	1	0:00:08.122823
32200	0	0	0.847	1	0:00:08.122160
32300	3	-1	0.0	0	0:00:08.132545
32400	0	0	0.892	1	0:00:08.127939
32500	4	4	0.0649	1	0:00:08.119087
32600	8	8	0.953	1	0:00:08.124023
32700	9	9	0.32	1	0:00:08.121991
32800	4	4	0.237	1	0:00:08.119871
32900	3	5	0.892	0	0:00:08.119543
33000	5	5	0.953	1	0:00:08.118066
33100	0	0	0.953	1	0:00:08.110762
33200	5	5	0.428	1	0:00:08.119623
33300	4	4	0.345	1	0:00:08.117109
33400	6	4	0.452	0	0:00:08.114958
33500	1	1	0.709	1	0:00:08.118599
33600	4	2	0.627	0	0:00:08.114611
33700	3	3	0.76	1	0:00:08.109747
33800	9	9	0.953	1	0:00:08.117274
33900	3	6	0.739	0	0:00:08.112070
34000	8	0	0.0546	0	0:00:08.108708
34100	7	7	0.953	1	0:00:08.111379
34200	4	4	0.66	1	0:00:08.104656
34300	8	8	0.953	1	0:00:08.106207
34400	3	4	0.206	0	0:00:08.110306
34500	3	3	0.0675	1	0:00:08.112171
34600	4	4	0.801	1	0:00:08.114524
34700	6	6	0.508	1	0:00:08.111315
34800	9	9	0.953	1	0:00:08.113967
34900	3	-1	0.0	0	0:00:08.114132
35000	7	7	0.953	1	0:00:08.112070
35100	3	3	0.953	1	0:00:08.110107
35200	3	3	0.881	1	0:00:08.110936
35300	9	9	0.881	1	0:00:08.118602
35400	9	9	0.953	1	0:00:08.111172
35500	8	8	0.6	1	0:00:08.110683
35600	6	6	0.0219	1	0:00:08.111155
35700	3	3	0.149	1	0:00:08.112991
35800	2	2	0.759	1	0:00:08.113771
35900	4	4	0.093	1	0:00:08.110514
36000	8	8	0.371	1	0:00:08.114507
36100	1	1	0.953	1	0:00:08.117360
36200	3	3	0.631	1	0:00:08.120004
36300	1	1	0.953	1	0:00:08.122078
36400	0	0	0.514	1	0:00:08.120456
36500	7	6	0.22	0	0:00:08.118673
36600	7	7	0.953	1	0:00:08.128830
36700	6	6	0.788	1	0:00:08.126235
36800	6	6	0.455	1	0:00:08.123390
36900	3	3	0.922	1	0:00:08.125935
37000	2	8	0.0505	0	0:00:08.121043
37100	9	3	0.173	0	0:00:08.127081
37200	4	-1	0.0	0	0:00:08.122529
37300	3	5	0.291	0	0:00:08.125983
37400	3	3	0.256	1	0:00:08.126652
37500	6	6	0.953	1	0:00:08.133066
37600	8	9	0.525	0	0:00:08.124701
37700	6	6	0.953	1	0:00:08.122684
37800	0	0	0.953	1	0:00:08.119854
37900	0	-1	0.0	0	0:00:08.130512
38000	9	9	0.953	1	0:00:08.128756
38100	6	6	0.183	1	0:00:08.131043
38200	3	6	0.0916	0	0:00:08.126426
38300	5	-1	0.0	0	0:00:08.128149
38400	0	0	0.521	1	0:00:08.134158
38500	4	4	0.953	1	0:00:08.129025
38600	3	4	0.287	0	0:00:08.138101
38700	3	3	0.682	1	0:00:08.125969
38800	0	0	0.953	1	0:00:08.133118
38900	2	2	0.275	1	0:00:08.125667
39000	8	8	0.953	1	0:00:08.131962
39100	9	1	0.394	0	0:00:08.134150
39200	8	8	0.953	1	0:00:08.127049
39300	5	5	0.127	1	0:00:08.129119
39400	6	6	0.953	1	0:00:08.128658
39500	9	9	0.922	1	0:00:08.132707
39600	8	8	0.698	1	0:00:08.126649
39700	0	0	0.953	1	0:00:08.127380
39800	1	1	0.953	1	0:00:08.137010
39900	8	8	0.754	1	0:00:08.128200
