idx	label	predict	radius	correct	time
30000	3	2	0.0161	0	0:00:08.129940
30100	4	4	0.0829	1	0:00:08.129187
30200	5	-1	0.0	0	0:00:08.128957
30300	6	6	0.198	1	0:00:08.129706
30400	9	-1	0.0	0	0:00:08.130595
30500	4	4	0.354	1	0:00:08.127875
30600	8	-1	0.0	0	0:00:08.128586
30700	7	4	0.339	0	0:00:08.124977
30800	7	-1	0.0	0	0:00:08.126340
30900	2	4	0.258	0	0:00:08.127111
31000	5	4	0.0229	0	0:00:08.126791
31100	7	8	0.162	0	0:00:08.124586
31200	8	0	0.178	0	0:00:08.125186
31300	4	3	0.631	0	0:00:08.125037
31400	5	4	0.0167	0	0:00:08.123430
31500	1	4	0.155	0	0:00:08.127152
31600	8	4	0.164	0	0:00:08.126292
31700	5	4	0.0179	0	0:00:08.123570
31800	4	8	0.0965	0	0:00:08.123255
31900	8	8	0.666	1	0:00:08.120190
32000	1	6	0.056	0	0:00:08.123590
32100	2	-1	0.0	0	0:00:08.122319
32200	0	0	0.0309	1	0:00:08.121529
32300	3	4	0.223	0	0:00:08.124123
32400	0	0	0.506	1	0:00:08.122054
32500	4	4	0.17	1	0:00:08.123947
32600	8	8	0.505	1	0:00:08.123190
32700	9	0	0.0684	0	0:00:08.126593
32800	4	4	0.178	1	0:00:08.129600
32900	3	2	0.167	0	0:00:08.130925
33000	5	-1	0.0	0	0:00:08.129112
33100	0	0	0.102	1	0:00:08.131599
33200	5	4	0.233	0	0:00:08.133061
33300	4	-1	0.0	0	0:00:08.130589
33400	6	4	0.038	0	0:00:08.131984
33500	1	4	0.282	0	0:00:08.133324
33600	4	2	0.0547	0	0:00:08.134367
33700	3	-1	0.0	0	0:00:08.134426
33800	9	4	0.0967	0	0:00:08.136553
33900	3	3	0.106	1	0:00:08.133924
34000	8	4	0.252	0	0:00:08.136575
34100	7	4	0.158	0	0:00:08.139126
34200	4	4	0.229	1	0:00:08.138046
34300	8	8	0.179	1	0:00:08.139756
34400	3	4	0.215	0	0:00:08.137479
34500	3	6	0.179	0	0:00:08.139950
34600	4	4	0.232	1	0:00:08.145186
34700	6	-1	0.0	0	0:00:08.141327
34800	9	-1	0.0	0	0:00:08.145474
34900	3	-1	0.0	0	0:00:08.143418
35000	7	7	0.0421	1	0:00:08.145145
35100	3	-1	0.0	0	0:00:08.145760
35200	3	3	0.168	1	0:00:08.142590
35300	9	4	0.0161	0	0:00:08.145367
35400	9	-1	0.0	0	0:00:08.146688
35500	8	-1	0.0	0	0:00:08.146871
35600	6	4	0.378	0	0:00:08.146068
35700	3	-1	0.0	0	0:00:08.148458
35800	2	4	0.0678	0	0:00:08.147153
35900	4	0	0.025	0	0:00:08.149261
36000	8	-1	0.0	0	0:00:08.148763
36100	1	4	0.107	0	0:00:08.151138
36200	3	8	0.211	0	0:00:08.148732
36300	1	4	0.208	0	0:00:08.150775
36400	0	4	0.141	0	0:00:08.151442
36500	7	-1	0.0	0	0:00:08.150529
36600	7	7	0.254	1	0:00:08.153041
36700	6	-1	0.0	0	0:00:08.151762
36800	6	4	0.165	0	0:00:08.152023
36900	3	4	0.0858	0	0:00:08.154029
37000	2	0	0.0789	0	0:00:08.151843
37100	9	-1	0.0	0	0:00:08.152246
37200	4	2	0.0803	0	0:00:08.150354
37300	3	4	0.109	0	0:00:08.150401
37400	3	3	0.325	1	0:00:08.150171
37500	6	6	0.0951	1	0:00:08.150106
37600	8	4	0.109	0	0:00:08.148997
37700	6	6	0.0174	1	0:00:08.150458
37800	0	8	0.129	0	0:00:08.147231
37900	0	4	0.108	0	0:00:08.148497
38000	9	4	0.0143	0	0:00:08.148105
38100	6	4	0.304	0	0:00:08.150233
38200	3	4	0.316	0	0:00:08.148682
38300	5	4	0.167	0	0:00:08.144339
38400	0	8	0.515	0	0:00:08.146896
38500	4	4	0.59	1	0:00:08.145227
38600	3	4	0.144	0	0:00:08.143894
38700	3	-1	0.0	0	0:00:08.142560
38800	0	0	0.66	1	0:00:08.140946
38900	2	4	0.14	0	0:00:08.141485
39000	8	0	0.347	0	0:00:08.140992
39100	9	4	0.0251	0	0:00:08.140064
39200	8	8	0.515	1	0:00:08.139809
39300	5	2	0.224	0	0:00:08.141898
39400	6	4	0.0016	0	0:00:08.140694
39500	9	6	0.0243	0	0:00:08.140175
39600	8	8	0.581	1	0:00:08.136522
39700	0	8	0.126	0	0:00:08.135191
39800	1	3	0.0162	0	0:00:08.141526
39900	8	8	0.282	1	0:00:08.137262
