idx	label	predict	radius	correct	time
30000	3	3	0.497	1	0:00:08.143023
30100	4	5	0.0572	0	0:00:08.141853
30200	5	5	0.282	1	0:00:08.151072
30300	6	6	0.736	1	0:00:08.150686
30400	9	9	0.495	1	0:00:08.153085
30500	4	3	0.094	0	0:00:08.150929
30600	8	8	0.243	1	0:00:08.151705
30700	7	7	0.636	1	0:00:08.152550
30800	7	7	0.953	1	0:00:08.152999
30900	2	6	0.0441	0	0:00:08.153836
31000	5	5	0.825	1	0:00:08.156427
31100	7	0	0.117	0	0:00:08.154667
31200	8	8	0.197	1	0:00:08.158476
31300	4	3	0.359	0	0:00:08.148795
31400	5	-1	0.0	0	0:00:08.150278
31500	1	1	0.726	1	0:00:08.156372
31600	8	-1	0.0	0	0:00:08.154976
31700	5	5	0.0331	1	0:00:08.156121
31800	4	4	0.49	1	0:00:08.154757
31900	8	8	0.935	1	0:00:08.153216
32000	1	1	0.505	1	0:00:08.155189
32100	2	2	0.431	1	0:00:08.154263
32200	0	0	0.0867	1	0:00:08.153454
32300	3	-1	0.0	0	0:00:08.152637
32400	0	0	0.953	1	0:00:08.150584
32500	4	4	0.312	1	0:00:08.151965
32600	8	8	0.852	1	0:00:08.152369
32700	9	1	0.179	0	0:00:08.153607
32800	4	4	0.273	1	0:00:08.149473
32900	3	-1	0.0	0	0:00:08.150130
33000	5	5	0.687	1	0:00:08.148093
33100	0	0	0.662	1	0:00:08.143165
33200	5	5	0.456	1	0:00:08.148467
33300	4	4	0.169	1	0:00:08.145490
33400	6	4	0.695	0	0:00:08.146595
33500	1	-1	0.0	0	0:00:08.146613
33600	4	2	0.58	0	0:00:08.146419
33700	3	3	0.717	1	0:00:08.142898
33800	9	9	0.279	1	0:00:08.144826
33900	3	6	0.142	0	0:00:08.140262
34000	8	-1	0.0	0	0:00:08.142130
34100	7	7	0.905	1	0:00:08.144408
34200	4	4	0.194	1	0:00:08.139315
34300	8	8	0.669	1	0:00:08.141324
34400	3	-1	0.0	0	0:00:08.140313
34500	3	5	0.106	0	0:00:08.141812
34600	4	4	0.507	1	0:00:08.142999
34700	6	5	0.205	0	0:00:08.141397
34800	9	9	0.953	1	0:00:08.142864
34900	3	3	0.591	1	0:00:08.140194
35000	7	7	0.935	1	0:00:08.141689
35100	3	3	0.692	1	0:00:08.139691
35200	3	3	0.68	1	0:00:08.135766
35300	9	9	0.412	1	0:00:08.138433
35400	9	9	0.673	1	0:00:08.135197
35500	8	8	0.441	1	0:00:08.133996
35600	6	-1	0.0	0	0:00:08.132177
35700	3	3	0.692	1	0:00:08.134593
35800	2	2	0.611	1	0:00:08.133100
35900	4	3	0.12	0	0:00:08.132367
36000	8	8	0.438	1	0:00:08.130643
36100	1	1	0.668	1	0:00:08.134793
36200	3	3	0.171	1	0:00:08.133583
36300	1	1	0.327	1	0:00:08.135497
36400	0	0	0.211	1	0:00:08.135189
36500	7	6	0.0342	0	0:00:08.131884
36600	7	7	0.881	1	0:00:08.135704
36700	6	6	0.386	1	0:00:08.136648
36800	6	-1	0.0	0	0:00:08.133936
36900	3	3	0.445	1	0:00:08.137605
37000	2	0	0.0968	0	0:00:08.133609
37100	9	3	0.405	0	0:00:08.135571
37200	4	-1	0.0	0	0:00:08.134097
37300	3	5	0.0537	0	0:00:08.133391
37400	3	5	0.208	0	0:00:08.135312
37500	6	6	0.953	1	0:00:08.138876
37600	8	2	0.133	0	0:00:08.133774
37700	6	6	0.603	1	0:00:08.132372
37800	0	0	0.522	1	0:00:08.132493
37900	0	4	0.0896	0	0:00:08.136313
38000	9	9	0.555	1	0:00:08.137256
38100	6	2	0.0446	0	0:00:08.140501
38200	3	6	0.101	0	0:00:08.141928
38300	5	-1	0.0	0	0:00:08.140401
38400	0	0	0.204	1	0:00:08.141439
38500	4	4	0.593	1	0:00:08.142848
38600	3	2	0.0261	0	0:00:08.143794
38700	3	3	0.69	1	0:00:08.146791
38800	0	0	0.953	1	0:00:08.143278
38900	2	4	0.18	0	0:00:08.145954
39000	8	8	0.801	1	0:00:08.146567
39100	9	1	0.27	0	0:00:08.147766
39200	8	8	0.877	1	0:00:08.144565
39300	5	2	0.0144	0	0:00:08.150551
39400	6	6	0.516	1	0:00:08.149636
39500	9	9	0.354	1	0:00:08.152554
39600	8	8	0.42	1	0:00:08.145617
39700	0	0	0.49	1	0:00:08.148283
39800	1	1	0.953	1	0:00:08.150623
39900	8	8	0.575	1	0:00:08.148655
