idx	label	predict	radius	correct	time
30000	3	3	0.492	1	0:00:08.134593
30100	4	5	0.0388	0	0:00:08.130713
30200	5	5	0.417	1	0:00:08.134782
30300	6	6	0.695	1	0:00:08.133467
30400	9	9	0.255	1	0:00:08.139619
30500	4	-1	0.0	0	0:00:08.133579
30600	8	8	0.496	1	0:00:08.134199
30700	7	7	0.375	1	0:00:08.132116
30800	7	7	0.953	1	0:00:08.135585
30900	2	6	0.137	0	0:00:08.133521
31000	5	5	0.743	1	0:00:08.133313
31100	7	0	0.333	0	0:00:08.135631
31200	8	8	0.228	1	0:00:08.133683
31300	4	3	0.349	0	0:00:08.136917
31400	5	5	0.0733	1	0:00:08.134787
31500	1	1	0.707	1	0:00:08.137452
31600	8	-1	0.0	0	0:00:08.136810
31700	5	-1	0.0	0	0:00:08.138448
31800	4	4	0.36	1	0:00:08.138893
31900	8	8	0.705	1	0:00:08.136988
32000	1	1	0.235	1	0:00:08.143385
32100	2	2	0.427	1	0:00:08.143575
32200	0	0	0.0388	1	0:00:08.139903
32300	3	-1	0.0	0	0:00:08.141469
32400	0	0	0.953	1	0:00:08.140986
32500	4	4	0.0636	1	0:00:08.145043
32600	8	8	0.592	1	0:00:08.143592
32700	9	1	0.062	0	0:00:08.146808
32800	4	4	0.231	1	0:00:08.145970
32900	3	-1	0.0	0	0:00:08.150785
33000	5	5	0.671	1	0:00:08.148433
33100	0	0	0.667	1	0:00:08.144067
33200	5	5	0.306	1	0:00:08.152464
33300	4	4	0.0809	1	0:00:08.148540
33400	6	4	0.489	0	0:00:08.149227
33500	1	7	0.00412	0	0:00:08.154279
33600	4	2	0.362	0	0:00:08.152310
33700	3	3	0.657	1	0:00:08.150011
33800	9	9	0.229	1	0:00:08.152408
33900	3	-1	0.0	0	0:00:08.150745
34000	8	4	0.124	0	0:00:08.153818
34100	7	7	0.935	1	0:00:08.155237
34200	4	4	0.113	1	0:00:08.149716
34300	8	8	0.566	1	0:00:08.149131
34400	3	-1	0.0	0	0:00:08.148034
34500	3	5	0.179	0	0:00:08.150738
34600	4	7	0.254	0	0:00:08.152272
34700	6	5	0.318	0	0:00:08.148140
34800	9	9	0.953	1	0:00:08.148649
34900	3	3	0.312	1	0:00:08.148786
35000	7	7	0.913	1	0:00:08.149544
35100	3	3	0.327	1	0:00:08.149097
35200	3	3	0.786	1	0:00:08.144709
35300	9	9	0.347	1	0:00:08.146960
35400	9	9	0.573	1	0:00:08.148871
35500	8	8	0.254	1	0:00:08.149686
35600	6	-1	0.0	0	0:00:08.147897
35700	3	3	0.404	1	0:00:08.149865
35800	2	2	0.605	1	0:00:08.148312
35900	4	3	0.0319	0	0:00:08.145363
36000	8	8	0.425	1	0:00:08.146700
36100	1	1	0.392	1	0:00:08.146893
36200	3	-1	0.0	0	0:00:08.146297
36300	1	1	0.225	1	0:00:08.147092
36400	0	0	0.314	1	0:00:08.144178
36500	7	-1	0.0	0	0:00:08.137832
36600	7	7	0.913	1	0:00:08.145348
36700	6	6	0.32	1	0:00:08.140286
36800	6	-1	0.0	0	0:00:08.137218
36900	3	3	0.217	1	0:00:08.140311
37000	2	0	0.273	0	0:00:08.136755
37100	9	3	0.591	0	0:00:08.138668
37200	4	4	0.105	1	0:00:08.135243
37300	3	5	0.135	0	0:00:08.145573
37400	3	5	0.206	0	0:00:08.145748
37500	6	6	0.953	1	0:00:08.147425
37600	8	2	0.0478	0	0:00:08.145822
37700	6	6	0.501	1	0:00:08.143051
37800	0	0	0.608	1	0:00:08.141011
37900	0	4	0.0693	0	0:00:08.149779
38000	9	9	0.4	1	0:00:08.146576
38100	6	2	0.201	0	0:00:08.149637
38200	3	6	0.0906	0	0:00:08.149349
38300	5	-1	0.0	0	0:00:08.144698
38400	0	0	0.186	1	0:00:08.145288
38500	4	4	0.518	1	0:00:08.146908
38600	3	3	0.102	1	0:00:08.149596
38700	3	3	0.69	1	0:00:08.149209
38800	0	0	0.935	1	0:00:08.149285
38900	2	4	0.166	0	0:00:08.150507
39000	8	8	0.922	1	0:00:08.152714
39100	9	1	0.346	0	0:00:08.154274
39200	8	8	0.795	1	0:00:08.149916
39300	5	-1	0.0	0	0:00:08.156616
39400	6	6	0.454	1	0:00:08.155652
39500	9	9	0.0777	1	0:00:08.159019
39600	8	8	0.356	1	0:00:08.154492
39700	0	0	0.485	1	0:00:08.154352
39800	1	1	0.922	1	0:00:08.159424
39900	8	8	0.319	1	0:00:08.157940
