idx	label	predict	radius	correct	time
30000	3	3	0.531	1	0:00:08.143284
30100	4	5	0.0145	0	0:00:08.139730
30200	5	5	0.444	1	0:00:08.143973
30300	6	6	0.697	1	0:00:08.145146
30400	9	9	0.42	1	0:00:08.145152
30500	4	6	0.088	0	0:00:08.143377
30600	8	8	0.141	1	0:00:08.145008
30700	7	7	0.579	1	0:00:08.145068
30800	7	7	0.953	1	0:00:08.144063
30900	2	6	0.129	0	0:00:08.144261
31000	5	5	0.654	1	0:00:08.145807
31100	7	0	0.0927	0	0:00:08.145957
31200	8	8	0.159	1	0:00:08.145977
31300	4	3	0.38	0	0:00:08.140769
31400	5	3	0.0534	0	0:00:08.142652
31500	1	1	0.338	1	0:00:08.150604
31600	8	-1	0.0	0	0:00:08.146549
31700	5	5	0.107	1	0:00:08.148406
31800	4	4	0.326	1	0:00:08.147124
31900	8	8	0.721	1	0:00:08.145819
32000	1	1	0.408	1	0:00:08.150292
32100	2	2	0.468	1	0:00:08.149368
32200	0	0	0.0657	1	0:00:08.148790
32300	3	-1	0.0	0	0:00:08.150540
32400	0	0	0.771	1	0:00:08.149010
32500	4	4	0.179	1	0:00:08.151152
32600	8	8	0.759	1	0:00:08.150551
32700	9	9	0.0545	1	0:00:08.153570
32800	4	4	0.25	1	0:00:08.151747
32900	3	-1	0.0	0	0:00:08.155201
33000	5	5	0.509	1	0:00:08.153033
33100	0	0	0.568	1	0:00:08.147524
33200	5	5	0.507	1	0:00:08.155114
33300	4	4	0.253	1	0:00:08.153589
33400	6	4	0.474	0	0:00:08.153109
33500	1	-1	0.0	0	0:00:08.155555
33600	4	2	0.241	0	0:00:08.155113
33700	3	3	0.65	1	0:00:08.151985
33800	9	9	0.585	1	0:00:08.153097
33900	3	-1	0.0	0	0:00:08.148814
34000	8	-1	0.0	0	0:00:08.152373
34100	7	7	0.905	1	0:00:08.158024
34200	4	4	0.341	1	0:00:08.149029
34300	8	8	0.772	1	0:00:08.148878
34400	3	-1	0.0	0	0:00:08.147003
34500	3	-1	0.0	0	0:00:08.149145
34600	4	4	0.14	1	0:00:08.155942
34700	6	4	0.0622	0	0:00:08.153769
34800	9	9	0.953	1	0:00:08.154971
34900	3	3	0.489	1	0:00:08.151401
35000	7	7	0.881	1	0:00:08.154987
35100	3	3	0.542	1	0:00:08.152554
35200	3	3	0.361	1	0:00:08.149413
35300	9	9	0.331	1	0:00:08.151566
35400	9	9	0.55	1	0:00:08.150866
35500	8	8	0.126	1	0:00:08.149421
35600	6	6	0.145	1	0:00:08.148984
35700	3	3	0.31	1	0:00:08.148694
35800	2	2	0.342	1	0:00:08.145761
35900	4	3	0.0846	0	0:00:08.144557
36000	8	8	0.437	1	0:00:08.146742
36100	1	1	0.661	1	0:00:08.147341
36200	3	3	0.22	1	0:00:08.144027
36300	1	1	0.22	1	0:00:08.148158
36400	0	0	0.212	1	0:00:08.146824
36500	7	6	0.0373	0	0:00:08.142662
36600	7	7	0.789	1	0:00:08.145187
36700	6	6	0.367	1	0:00:08.141709
36800	6	6	0.0952	1	0:00:08.146812
36900	3	5	0.0136	0	0:00:08.143239
37000	2	0	0.266	0	0:00:08.139251
37100	9	3	0.106	0	0:00:08.142315
37200	4	-1	0.0	0	0:00:08.144079
37300	3	5	0.0649	0	0:00:08.144588
37400	3	5	0.388	0	0:00:08.144163
37500	6	6	0.953	1	0:00:08.145000
37600	8	2	0.0285	0	0:00:08.145932
37700	6	6	0.72	1	0:00:08.142522
37800	0	0	0.502	1	0:00:08.136178
37900	0	-1	0.0	0	0:00:08.136307
38000	9	9	0.788	1	0:00:08.137947
38100	6	2	0.126	0	0:00:08.142828
38200	3	6	0.124	0	0:00:08.140710
38300	5	-1	0.0	0	0:00:08.136108
38400	0	0	0.242	1	0:00:08.142148
38500	4	4	0.401	1	0:00:08.135394
38600	3	-1	0.0	0	0:00:08.140355
38700	3	3	0.476	1	0:00:08.139704
38800	0	0	0.953	1	0:00:08.139534
38900	2	4	0.3	0	0:00:08.140954
39000	8	8	0.749	1	0:00:08.142149
39100	9	1	0.212	0	0:00:08.142481
39200	8	8	0.823	1	0:00:08.140296
39300	5	-1	0.0	0	0:00:08.147531
39400	6	6	0.922	1	0:00:08.145714
39500	9	9	0.67	1	0:00:08.146640
39600	8	0	0.0508	0	0:00:08.143155
39700	0	0	0.355	1	0:00:08.145354
39800	1	1	0.48	1	0:00:08.150737
39900	8	0	0.377	0	0:00:08.151410
