idx	label	predict	radius	correct	time
30000	3	3	0.403	1	0:00:08.154589
30100	4	-1	0.0	0	0:00:08.152817
30200	5	5	0.338	1	0:00:08.157304
30300	6	6	0.835	1	0:00:08.154688
30400	9	9	0.715	1	0:00:08.155452
30500	4	3	0.066	0	0:00:08.152247
30600	8	8	0.421	1	0:00:08.152403
30700	7	7	0.862	1	0:00:08.149527
30800	7	7	0.953	1	0:00:08.149225
30900	2	6	0.083	0	0:00:08.149122
31000	5	5	0.905	1	0:00:08.146469
31100	7	0	0.217	0	0:00:08.147906
31200	8	8	0.343	1	0:00:08.146478
31300	4	3	0.355	0	0:00:08.140750
31400	5	-1	0.0	0	0:00:08.141879
31500	1	1	0.572	1	0:00:08.146818
31600	8	-1	0.0	0	0:00:08.142877
31700	5	5	0.114	1	0:00:08.143748
31800	4	4	0.478	1	0:00:08.140614
31900	8	8	0.953	1	0:00:08.136084
32000	1	1	0.616	1	0:00:08.139301
32100	2	2	0.393	1	0:00:08.139084
32200	0	0	0.135	1	0:00:08.138310
32300	3	-1	0.0	0	0:00:08.137931
32400	0	0	0.953	1	0:00:08.138510
32500	4	4	0.256	1	0:00:08.137441
32600	8	8	0.842	1	0:00:08.138670
32700	9	1	0.183	0	0:00:08.141488
32800	4	4	0.349	1	0:00:08.138337
32900	3	7	0.0549	0	0:00:08.143164
33000	5	5	0.7	1	0:00:08.141669
33100	0	0	0.636	1	0:00:08.134757
33200	5	5	0.369	1	0:00:08.144355
33300	4	4	0.223	1	0:00:08.140920
33400	6	4	0.721	0	0:00:08.145090
33500	1	9	0.0283	0	0:00:08.146827
33600	4	2	0.535	0	0:00:08.145647
33700	3	3	0.737	1	0:00:08.145096
33800	9	9	0.524	1	0:00:08.147574
33900	3	6	0.08	0	0:00:08.145780
34000	8	-1	0.0	0	0:00:08.150726
34100	7	7	0.935	1	0:00:08.149716
34200	4	4	0.181	1	0:00:08.145606
34300	8	8	0.652	1	0:00:08.146227
34400	3	-1	0.0	0	0:00:08.147470
34500	3	-1	0.0	0	0:00:08.149336
34600	4	4	0.513	1	0:00:08.152916
34700	6	5	0.223	0	0:00:08.151806
34800	9	9	0.953	1	0:00:08.153643
34900	3	3	0.607	1	0:00:08.154707
35000	7	7	0.953	1	0:00:08.155538
35100	3	3	0.66	1	0:00:08.153962
35200	3	3	0.563	1	0:00:08.152158
35300	9	9	0.567	1	0:00:08.155702
35400	9	9	0.666	1	0:00:08.152074
35500	8	8	0.328	1	0:00:08.153244
35600	6	6	0.0519	1	0:00:08.154722
35700	3	3	0.665	1	0:00:08.156774
35800	2	2	0.481	1	0:00:08.154844
35900	4	3	0.0767	0	0:00:08.151553
36000	8	8	0.508	1	0:00:08.154601
36100	1	1	0.766	1	0:00:08.156344
36200	3	3	0.239	1	0:00:08.157284
36300	1	1	0.513	1	0:00:08.158962
36400	0	0	0.333	1	0:00:08.157917
36500	7	-1	0.0	0	0:00:08.155034
36600	7	7	0.953	1	0:00:08.160694
36700	6	6	0.484	1	0:00:08.160487
36800	6	-1	0.0	0	0:00:08.160039
36900	3	3	0.482	1	0:00:08.162507
37000	2	-1	0.0	0	0:00:08.160583
37100	9	3	0.143	0	0:00:08.160686
37200	4	-1	0.0	0	0:00:08.158707
37300	3	4	0.0321	0	0:00:08.161575
37400	3	5	0.282	0	0:00:08.160526
37500	6	6	0.953	1	0:00:08.161523
37600	8	2	0.0935	0	0:00:08.160681
37700	6	6	0.702	1	0:00:08.165713
37800	0	0	0.647	1	0:00:08.159281
37900	0	-1	0.0	0	0:00:08.160147
38000	9	9	0.679	1	0:00:08.159200
38100	6	2	0.0243	0	0:00:08.162605
38200	3	-1	0.0	0	0:00:08.160345
38300	5	-1	0.0	0	0:00:08.155673
38400	0	0	0.256	1	0:00:08.157222
38500	4	4	0.594	1	0:00:08.162431
38600	3	2	0.0424	0	0:00:08.158694
38700	3	3	0.674	1	0:00:08.159626
38800	0	0	0.922	1	0:00:08.155902
38900	2	4	0.222	0	0:00:08.159090
39000	8	8	0.935	1	0:00:08.157563
39100	9	1	0.208	0	0:00:08.155812
39200	8	8	0.862	1	0:00:08.152089
39300	5	-1	0.0	0	0:00:08.157327
39400	6	6	0.789	1	0:00:08.155751
39500	9	9	0.468	1	0:00:08.158123
39600	8	8	0.38	1	0:00:08.151159
39700	0	0	0.57	1	0:00:08.150898
39800	1	1	0.953	1	0:00:08.156245
39900	8	8	0.886	1	0:00:08.152677
