idx	label	predict	radius	correct	time
30000	3	3	0.444	1	0:00:08.137877
30100	4	-1	0.0	0	0:00:08.135152
30200	5	5	0.0966	1	0:00:08.138252
30300	6	6	0.818	1	0:00:08.139784
30400	9	9	0.881	1	0:00:08.148992
30500	4	3	0.151	0	0:00:08.153095
30600	8	8	0.583	1	0:00:08.152124
30700	7	7	0.862	1	0:00:08.151293
30800	7	7	0.953	1	0:00:08.157220
30900	2	-1	0.0	0	0:00:08.153557
31000	5	5	0.729	1	0:00:08.151475
31100	7	0	0.123	0	0:00:08.152065
31200	8	8	0.322	1	0:00:08.156018
31300	4	-1	0.0	0	0:00:08.153815
31400	5	5	0.126	1	0:00:08.154214
31500	1	9	0.0751	0	0:00:08.161335
31600	8	3	0.11	0	0:00:08.158918
31700	5	3	0.216	0	0:00:08.158890
31800	4	4	0.0677	1	0:00:08.159720
31900	8	8	0.549	1	0:00:08.155059
32000	1	1	0.319	1	0:00:08.162334
32100	2	2	0.459	1	0:00:08.161705
32200	0	0	0.265	1	0:00:08.160222
32300	3	-1	0.0	0	0:00:08.160238
32400	0	0	0.953	1	0:00:08.156904
32500	4	6	0.194	0	0:00:08.163027
32600	8	8	0.0162	1	0:00:08.163094
32700	9	1	0.0742	0	0:00:08.165455
32800	4	4	0.174	1	0:00:08.163561
32900	3	3	0.0296	1	0:00:08.166184
33000	5	5	0.0877	1	0:00:08.156546
33100	0	0	0.412	1	0:00:08.158555
33200	5	5	0.0192	1	0:00:08.164318
33300	4	-1	0.0	0	0:00:08.157937
33400	6	4	0.0268	0	0:00:08.164359
33500	1	9	0.337	0	0:00:08.163239
33600	4	2	0.129	0	0:00:08.161408
33700	3	3	0.362	1	0:00:08.160319
33800	9	9	0.499	1	0:00:08.161289
33900	3	3	0.734	1	0:00:08.157428
34000	8	0	0.0333	0	0:00:08.160295
34100	7	7	0.953	1	0:00:08.161019
34200	4	4	0.242	1	0:00:08.153879
34300	8	8	0.134	1	0:00:08.158408
34400	3	5	0.0627	0	0:00:08.155933
34500	3	3	0.435	1	0:00:08.157751
34600	4	4	0.0675	1	0:00:08.157889
34700	6	5	0.318	0	0:00:08.153978
34800	9	9	0.953	1	0:00:08.156659
34900	3	3	0.683	1	0:00:08.156175
35000	7	7	0.953	1	0:00:08.156948
35100	3	3	0.426	1	0:00:08.154715
35200	3	3	0.17	1	0:00:08.153376
35300	9	9	0.557	1	0:00:08.157039
35400	9	9	0.617	1	0:00:08.152781
35500	8	0	0.175	0	0:00:08.153332
35600	6	6	0.0164	1	0:00:08.151032
35700	3	3	0.634	1	0:00:08.152518
35800	2	2	0.229	1	0:00:08.151224
35900	4	3	0.404	0	0:00:08.146773
36000	8	8	0.408	1	0:00:08.147629
36100	1	1	0.577	1	0:00:08.147140
36200	3	3	0.241	1	0:00:08.146685
36300	1	1	0.208	1	0:00:08.149514
36400	0	0	0.42	1	0:00:08.148347
36500	7	5	0.101	0	0:00:08.144498
36600	7	7	0.704	1	0:00:08.149530
36700	6	6	0.483	1	0:00:08.151151
36800	6	6	0.0543	1	0:00:08.151149
36900	3	3	0.353	1	0:00:08.153014
37000	2	3	0.315	0	0:00:08.149987
37100	9	-1	0.0	0	0:00:08.151039
37200	4	-1	0.0	0	0:00:08.149992
37300	3	4	0.342	0	0:00:08.149791
37400	3	5	0.406	0	0:00:08.157294
37500	6	6	0.818	1	0:00:08.156577
37600	8	-1	0.0	0	0:00:08.154005
37700	6	6	0.625	1	0:00:08.154521
37800	0	0	0.701	1	0:00:08.148129
37900	0	0	0.376	1	0:00:08.155019
38000	9	9	0.385	1	0:00:08.153455
38100	6	2	0.271	0	0:00:08.154642
38200	3	0	0.0397	0	0:00:08.159040
38300	5	5	0.0952	1	0:00:08.157562
38400	0	0	0.515	1	0:00:08.154884
38500	4	4	0.388	1	0:00:08.155628
38600	3	3	0.284	1	0:00:08.161591
38700	3	3	0.221	1	0:00:08.161110
38800	0	0	0.922	1	0:00:08.155168
38900	2	4	0.115	0	0:00:08.159885
39000	8	8	0.396	1	0:00:08.159500
39100	9	1	0.222	0	0:00:08.167869
39200	8	8	0.453	1	0:00:08.158137
39300	5	-1	0.0	0	0:00:08.164654
39400	6	6	0.922	1	0:00:08.164088
39500	9	9	0.179	1	0:00:08.164214
39600	8	8	0.29	1	0:00:08.158849
39700	0	0	0.412	1	0:00:08.156204
39800	1	1	0.953	1	0:00:08.171459
39900	8	8	0.873	1	0:00:08.161090
