idx	label	predict	radius	correct	time
30000	3	3	0.913	1	0:00:08.079992
30100	4	5	0.0309	0	0:00:08.076398
30200	5	5	0.482	1	0:00:08.076287
30300	6	6	0.953	1	0:00:08.078098
30400	9	9	0.953	1	0:00:08.077837
30500	4	6	0.15	0	0:00:08.075907
30600	8	8	0.7	1	0:00:08.077573
30700	7	7	0.953	1	0:00:08.078833
30800	7	7	0.953	1	0:00:08.082338
30900	2	6	0.0721	0	0:00:08.075751
31000	5	5	0.953	1	0:00:08.079553
31100	7	8	0.127	0	0:00:08.078104
31200	8	0	0.114	0	0:00:08.078502
31300	4	4	0.355	1	0:00:08.069434
31400	5	5	0.251	1	0:00:08.076055
31500	1	1	0.642	1	0:00:08.085026
31600	8	9	0.0722	0	0:00:08.081230
31700	5	5	0.0114	1	0:00:08.081190
31800	4	4	0.282	1	0:00:08.077618
31900	8	8	0.953	1	0:00:08.076200
32000	1	1	0.286	1	0:00:08.079647
32100	2	2	0.953	1	0:00:08.076951
32200	0	0	0.145	1	0:00:08.077691
32300	3	3	0.0108	1	0:00:08.076573
32400	0	0	0.953	1	0:00:08.077343
32500	4	4	0.728	1	0:00:08.074784
32600	8	8	0.953	1	0:00:08.077039
32700	9	9	0.347	1	0:00:08.081258
32800	4	4	0.523	1	0:00:08.075473
32900	3	5	0.743	0	0:00:08.077255
33000	5	5	0.953	1	0:00:08.076066
33100	0	0	0.935	1	0:00:08.071469
33200	5	5	0.935	1	0:00:08.075165
33300	4	4	0.277	1	0:00:08.074267
33400	6	4	0.522	0	0:00:08.072688
33500	1	1	0.432	1	0:00:08.078368
33600	4	2	0.256	0	0:00:08.075961
33700	3	3	0.837	1	0:00:08.072778
33800	9	9	0.869	1	0:00:08.076375
33900	3	3	0.266	1	0:00:08.073297
34000	8	0	0.185	0	0:00:08.074014
34100	7	7	0.953	1	0:00:08.075846
34200	4	4	0.813	1	0:00:08.069425
34300	8	8	0.719	1	0:00:08.076254
34400	3	3	0.362	1	0:00:08.072289
34500	3	3	0.707	1	0:00:08.076892
34600	4	7	0.614	0	0:00:08.079901
34700	6	5	0.158	0	0:00:08.074306
34800	9	9	0.953	1	0:00:08.074953
34900	3	3	0.14	1	0:00:08.073981
35000	7	7	0.953	1	0:00:08.077149
35100	3	3	0.905	1	0:00:08.074905
35200	3	3	0.898	1	0:00:08.071068
35300	9	9	0.953	1	0:00:08.073759
35400	9	0	0.227	0	0:00:08.075988
35500	8	8	0.953	1	0:00:08.073100
35600	6	0	0.221	0	0:00:08.071379
35700	3	5	0.0199	0	0:00:08.073406
35800	2	2	0.953	1	0:00:08.071105
35900	4	0	0.0304	0	0:00:08.070224
36000	8	8	0.608	1	0:00:08.072501
36100	1	1	0.865	1	0:00:08.078650
36200	3	3	0.234	1	0:00:08.076683
36300	1	1	0.559	1	0:00:08.076332
36400	0	0	0.114	1	0:00:08.071101
36500	7	0	0.194	0	0:00:08.071632
36600	7	7	0.953	1	0:00:08.072899
36700	6	6	0.677	1	0:00:08.073951
36800	6	6	0.284	1	0:00:08.067971
36900	3	3	0.695	1	0:00:08.079658
37000	2	0	0.516	0	0:00:08.065840
37100	9	9	0.726	1	0:00:08.070359
37200	4	3	0.685	0	0:00:08.067005
37300	3	5	0.6	0	0:00:08.070569
37400	3	3	0.0367	1	0:00:08.070994
37500	6	6	0.953	1	0:00:08.071753
37600	8	9	0.109	0	0:00:08.071260
37700	6	6	0.953	1	0:00:08.071434
37800	0	0	0.953	1	0:00:08.066676
37900	0	0	0.186	1	0:00:08.071209
38000	9	9	0.953	1	0:00:08.070879
38100	6	2	0.233	0	0:00:08.070409
38200	3	0	0.437	0	0:00:08.072399
38300	5	5	0.305	1	0:00:08.069572
38400	0	0	0.459	1	0:00:08.072223
38500	4	4	0.681	1	0:00:08.068278
38600	3	3	0.362	1	0:00:08.072763
38700	3	3	0.473	1	0:00:08.069816
38800	0	0	0.922	1	0:00:08.070316
38900	2	2	0.0232	1	0:00:08.069364
39000	8	8	0.953	1	0:00:08.072592
39100	9	1	0.532	0	0:00:08.073731
39200	8	8	0.471	1	0:00:08.067581
39300	5	5	0.166	1	0:00:08.071952
39400	6	6	0.587	1	0:00:08.072157
39500	9	9	0.953	1	0:00:08.072188
39600	8	8	0.673	1	0:00:08.066144
39700	0	0	0.464	1	0:00:08.067214
39800	1	1	0.953	1	0:00:08.073218
39900	8	8	0.953	1	0:00:08.069350
