idx	label	predict	radius	correct	time
30000	3	3	0.886	1	0:00:08.050139
30100	4	-1	0.0	0	0:00:08.049919
30200	5	5	0.825	1	0:00:08.052574
30300	6	6	0.953	1	0:00:08.051083
30400	9	9	0.953	1	0:00:08.054314
30500	4	6	0.554	0	0:00:08.051238
30600	8	8	0.655	1	0:00:08.052424
30700	7	7	0.953	1	0:00:08.054620
30800	7	7	0.953	1	0:00:08.052833
30900	2	6	0.408	0	0:00:08.049122
31000	5	5	0.953	1	0:00:08.051780
31100	7	8	0.0287	0	0:00:08.052633
31200	8	8	0.269	1	0:00:08.053514
31300	4	3	0.78	0	0:00:08.043824
31400	5	3	0.23	0	0:00:08.049021
31500	1	1	0.865	1	0:00:08.053747
31600	8	9	0.479	0	0:00:08.050382
31700	5	3	0.175	0	0:00:08.052712
31800	4	0	0.000877	0	0:00:08.053460
31900	8	8	0.953	1	0:00:08.053160
32000	1	1	0.61	1	0:00:08.052145
32100	2	2	0.734	1	0:00:08.049266
32200	0	2	0.154	0	0:00:08.050530
32300	3	4	0.0278	0	0:00:08.050076
32400	0	0	0.953	1	0:00:08.053269
32500	4	4	0.171	1	0:00:08.051204
32600	8	8	0.953	1	0:00:08.052320
32700	9	9	0.504	1	0:00:08.053781
32800	4	4	0.362	1	0:00:08.048147
32900	3	5	0.15	0	0:00:08.050459
33000	5	5	0.953	1	0:00:08.051092
33100	0	0	0.953	1	0:00:08.046198
33200	5	5	0.792	1	0:00:08.050795
33300	4	4	0.426	1	0:00:08.049336
33400	6	4	0.644	0	0:00:08.048352
33500	1	1	0.481	1	0:00:08.052387
33600	4	2	0.543	0	0:00:08.051479
33700	3	3	0.922	1	0:00:08.054122
33800	9	9	0.892	1	0:00:08.051991
33900	3	3	0.37	1	0:00:08.051430
34000	8	0	0.131	0	0:00:08.050403
34100	7	7	0.953	1	0:00:08.052300
34200	4	4	0.602	1	0:00:08.049120
34300	8	8	0.953	1	0:00:08.049656
34400	3	-1	0.0	0	0:00:08.048769
34500	3	-1	0.0	0	0:00:08.051924
34600	4	7	0.467	0	0:00:08.052406
34700	6	5	0.0525	0	0:00:08.052478
34800	9	9	0.953	1	0:00:08.053413
34900	3	3	0.409	1	0:00:08.052509
35000	7	7	0.953	1	0:00:08.051286
35100	3	3	0.953	1	0:00:08.049368
35200	3	3	0.953	1	0:00:08.049529
35300	9	9	0.935	1	0:00:08.051782
35400	9	9	0.518	1	0:00:08.050825
35500	8	8	0.855	1	0:00:08.050317
35600	6	5	0.0638	0	0:00:08.049077
35700	3	5	0.417	0	0:00:08.051413
35800	2	2	0.823	1	0:00:08.050541
35900	4	3	0.216	0	0:00:08.047075
36000	8	8	0.669	1	0:00:08.050926
36100	1	1	0.953	1	0:00:08.052298
36200	3	3	0.675	1	0:00:08.052716
36300	1	1	0.953	1	0:00:08.052827
36400	0	0	0.314	1	0:00:08.050509
36500	7	6	0.295	0	0:00:08.051070
36600	7	7	0.953	1	0:00:08.053404
36700	6	6	0.935	1	0:00:08.051117
36800	6	6	0.311	1	0:00:08.051790
36900	3	3	0.953	1	0:00:08.054973
37000	2	8	0.161	0	0:00:08.048470
37100	9	3	0.00839	0	0:00:08.053365
37200	4	4	0.0545	1	0:00:08.052596
37300	3	5	0.194	0	0:00:08.056176
37400	3	5	0.0967	0	0:00:08.057817
37500	6	6	0.953	1	0:00:08.056612
37600	8	9	0.446	0	0:00:08.051758
37700	6	6	0.953	1	0:00:08.055291
37800	0	0	0.953	1	0:00:08.052420
37900	0	8	0.456	0	0:00:08.054431
38000	9	9	0.953	1	0:00:08.054752
38100	6	2	0.594	0	0:00:08.056506
38200	3	-1	0.0	0	0:00:08.069669
38300	5	2	0.101	0	0:00:08.055532
38400	0	0	0.426	1	0:00:08.053955
38500	4	4	0.953	1	0:00:08.051816
38600	3	3	0.499	1	0:00:08.055334
38700	3	3	0.288	1	0:00:08.058474
38800	0	0	0.953	1	0:00:08.055700
38900	2	-1	0.0	0	0:00:08.054788
39000	8	8	0.953	1	0:00:08.056954
39100	9	1	0.495	0	0:00:08.056334
39200	8	8	0.913	1	0:00:08.055859
39300	5	3	0.014	0	0:00:08.057214
39400	6	6	0.953	1	0:00:08.059164
39500	9	9	0.953	1	0:00:08.065668
39600	8	8	0.511	1	0:00:08.058071
39700	0	0	0.935	1	0:00:08.067530
39800	1	1	0.953	1	0:00:08.064208
39900	8	8	0.953	1	0:00:08.061745
