idx	label	predict	radius	correct	time
30000	3	3	0.438	1	0:00:08.086269
30100	4	5	0.0037	0	0:00:08.088630
30200	5	5	0.622	1	0:00:08.090492
30300	6	6	0.953	1	0:00:08.085953
30400	9	9	0.953	1	0:00:08.090100
30500	4	6	0.243	0	0:00:08.088108
30600	8	8	0.0167	1	0:00:08.090035
30700	7	7	0.953	1	0:00:08.096388
30800	7	7	0.953	1	0:00:08.089145
30900	2	3	0.0961	0	0:00:08.089620
31000	5	5	0.953	1	0:00:08.087286
31100	7	8	0.572	0	0:00:08.086615
31200	8	8	0.371	1	0:00:08.088498
31300	4	6	0.194	0	0:00:08.083013
31400	5	5	0.424	1	0:00:08.084375
31500	1	9	0.107	0	0:00:08.091525
31600	8	9	0.24	0	0:00:08.088073
31700	5	3	0.178	0	0:00:08.090420
31800	4	0	0.507	0	0:00:08.086806
31900	8	8	0.953	1	0:00:08.085608
32000	1	1	0.362	1	0:00:08.087022
32100	2	2	0.709	1	0:00:08.087693
32200	0	0	0.312	1	0:00:08.087449
32300	3	3	0.364	1	0:00:08.087152
32400	0	0	0.953	1	0:00:08.089703
32500	4	6	0.0692	0	0:00:08.088248
32600	8	8	0.333	1	0:00:08.091358
32700	9	3	0.334	0	0:00:08.092700
32800	4	3	0.184	0	0:00:08.087121
32900	3	5	0.147	0	0:00:08.089433
33000	5	5	0.331	1	0:00:08.090587
33100	0	0	0.935	1	0:00:08.086021
33200	5	5	0.37	1	0:00:08.089813
33300	4	3	0.00659	0	0:00:08.088408
33400	6	4	0.188	0	0:00:08.085949
33500	1	1	0.188	1	0:00:08.090394
33600	4	2	0.137	0	0:00:08.086865
33700	3	3	0.546	1	0:00:08.086029
33800	9	9	0.881	1	0:00:08.086839
33900	3	3	0.922	1	0:00:08.086845
34000	8	0	0.364	0	0:00:08.086885
34100	7	7	0.953	1	0:00:08.088405
34200	4	4	0.775	1	0:00:08.083951
34300	8	8	0.159	1	0:00:08.085740
34400	3	5	0.347	0	0:00:08.087325
34500	3	3	0.76	1	0:00:08.088876
34600	4	7	0.333	0	0:00:08.088349
34700	6	5	0.267	0	0:00:08.087734
34800	9	9	0.953	1	0:00:08.090589
34900	3	3	0.461	1	0:00:08.090026
35000	7	7	0.953	1	0:00:08.092605
35100	3	3	0.953	1	0:00:08.091243
35200	3	3	0.715	1	0:00:08.088615
35300	9	9	0.953	1	0:00:08.091150
35400	9	9	0.532	1	0:00:08.094101
35500	8	8	0.739	1	0:00:08.089704
35600	6	9	0.119	0	0:00:08.089898
35700	3	3	0.178	1	0:00:08.091713
35800	2	2	0.647	1	0:00:08.092745
35900	4	3	0.454	0	0:00:08.089496
36000	8	8	0.662	1	0:00:08.091188
36100	1	1	0.786	1	0:00:08.092662
36200	3	3	0.12	1	0:00:08.095657
36300	1	3	0.0582	0	0:00:08.095384
36400	0	8	0.02	0	0:00:08.092502
36500	7	5	0.134	0	0:00:08.092547
36600	7	7	0.953	1	0:00:08.095634
36700	6	6	0.462	1	0:00:08.093947
36800	6	6	0.0487	1	0:00:08.097100
36900	3	3	0.922	1	0:00:08.096517
37000	2	0	0.0366	0	0:00:08.092540
37100	9	9	0.321	1	0:00:08.093915
37200	4	3	0.592	0	0:00:08.090290
37300	3	5	0.296	0	0:00:08.094982
37400	3	5	0.0379	0	0:00:08.095070
37500	6	6	0.953	1	0:00:08.093986
37600	8	-1	0.0	0	0:00:08.090911
37700	6	6	0.953	1	0:00:08.090366
37800	0	0	0.664	1	0:00:08.091984
37900	0	8	0.5	0	0:00:08.092331
38000	9	9	0.905	1	0:00:08.094172
38100	6	2	0.505	0	0:00:08.094376
38200	3	0	0.805	0	0:00:08.093144
38300	5	5	0.591	1	0:00:08.092864
38400	0	0	0.467	1	0:00:08.090817
38500	4	4	0.0444	1	0:00:08.091848
38600	3	3	0.478	1	0:00:08.093817
38700	3	3	0.543	1	0:00:08.092459
38800	0	0	0.751	1	0:00:08.089583
38900	2	2	0.141	1	0:00:08.090835
39000	8	8	0.953	1	0:00:08.092610
39100	9	1	0.336	0	0:00:08.091751
39200	8	8	0.387	1	0:00:08.088565
39300	5	-1	0.0	0	0:00:08.096611
39400	6	6	0.913	1	0:00:08.093199
39500	9	5	0.0121	0	0:00:08.094165
39600	8	8	0.267	1	0:00:08.089129
39700	0	0	0.275	1	0:00:08.091384
39800	1	1	0.953	1	0:00:08.095999
39900	8	8	0.892	1	0:00:08.093084
