idx	label	predict	radius	correct	time
30000	3	4	0.149	0	0:00:07.995729
30100	4	4	0.331	1	0:00:07.992210
30200	5	6	0.0443	0	0:00:07.991999
30300	6	6	0.176	1	0:00:07.989677
30400	9	6	0.199	0	0:00:07.994627
30500	4	4	0.19	1	0:00:07.994328
30600	8	0	0.231	0	0:00:07.996303
30700	7	4	0.435	0	0:00:07.993123
30800	7	7	0.0501	1	0:00:07.994164
30900	2	4	0.523	0	0:00:07.992654
31000	5	-1	0.0	0	0:00:07.992625
31100	7	8	0.12	0	0:00:07.994138
31200	8	0	0.32	0	0:00:07.995610
31300	4	3	0.953	0	0:00:07.994331
31400	5	2	0.0808	0	0:00:07.991951
31500	1	0	0.061	0	0:00:07.995316
31600	8	4	0.0374	0	0:00:07.992579
31700	5	2	0.202	0	0:00:07.991848
31800	4	8	0.0777	0	0:00:07.990592
31900	8	8	0.811	1	0:00:07.991285
32000	1	6	0.142	0	0:00:07.991784
32100	2	4	0.0768	0	0:00:07.993946
32200	0	0	0.953	1	0:00:07.992787
32300	3	4	0.293	0	0:00:07.993381
32400	0	0	0.865	1	0:00:07.994743
32500	4	4	0.174	1	0:00:07.995366
32600	8	8	0.618	1	0:00:07.992508
32700	9	0	0.0859	0	0:00:07.997970
32800	4	4	0.24	1	0:00:07.992764
32900	3	2	0.177	0	0:00:07.991847
33000	5	-1	0.0	0	0:00:07.993570
33100	0	0	0.3	1	0:00:07.991196
33200	5	4	0.237	0	0:00:07.993540
33300	4	2	0.0454	0	0:00:07.993107
33400	6	4	0.123	0	0:00:07.991632
33500	1	4	0.234	0	0:00:07.995991
33600	4	2	0.154	0	0:00:07.993106
33700	3	4	0.329	0	0:00:07.996853
33800	9	-1	0.0	0	0:00:07.994111
33900	3	6	0.242	0	0:00:07.997044
34000	8	4	0.158	0	0:00:07.990456
34100	7	-1	0.0	0	0:00:07.991903
34200	4	4	0.0988	1	0:00:07.992014
34300	8	8	0.0727	1	0:00:07.991325
34400	3	4	0.473	0	0:00:07.992218
34500	3	6	0.366	0	0:00:07.992678
34600	4	4	0.844	1	0:00:07.993361
34700	6	-1	0.0	0	0:00:07.991079
34800	9	-1	0.0	0	0:00:07.992572
34900	3	6	0.275	0	0:00:07.991448
35000	7	7	0.277	1	0:00:07.992033
35100	3	4	0.193	0	0:00:07.991164
35200	3	6	0.0784	0	0:00:07.989665
35300	9	6	0.061	0	0:00:07.990474
35400	9	-1	0.0	0	0:00:07.991282
35500	8	8	0.265	1	0:00:07.990281
35600	6	4	0.618	0	0:00:07.993776
35700	3	2	0.0368	0	0:00:07.989555
35800	2	4	0.267	0	0:00:07.989963
35900	4	2	0.0242	0	0:00:07.994891
36000	8	8	0.151	1	0:00:07.989270
36100	1	4	0.154	0	0:00:07.995134
36200	3	-1	0.0	0	0:00:07.992721
36300	1	4	0.243	0	0:00:07.995209
36400	0	4	0.262	0	0:00:07.993601
36500	7	-1	0.0	0	0:00:07.994686
36600	7	7	0.334	1	0:00:07.994713
36700	6	4	0.188	0	0:00:07.994679
36800	6	4	0.404	0	0:00:07.991656
36900	3	4	0.118	0	0:00:07.991595
37000	2	-1	0.0	0	0:00:07.993709
37100	9	3	0.159	0	0:00:07.993850
37200	4	4	0.016	1	0:00:07.991069
37300	3	4	0.318	0	0:00:07.993317
37400	3	3	0.338	1	0:00:07.997726
37500	6	6	0.392	1	0:00:07.995392
37600	8	8	0.197	1	0:00:07.991406
37700	6	6	0.174	1	0:00:07.990065
37800	0	0	0.399	1	0:00:07.998201
37900	0	2	0.103	0	0:00:07.993160
38000	9	0	0.00958	0	0:00:07.994192
38100	6	4	0.213	0	0:00:07.992925
38200	3	4	0.386	0	0:00:07.994050
38300	5	4	0.142	0	0:00:07.991467
38400	0	8	0.622	0	0:00:07.989954
38500	4	4	0.159	1	0:00:07.992328
38600	3	4	0.272	0	0:00:07.990275
38700	3	2	0.0396	0	0:00:07.991881
38800	0	0	0.953	1	0:00:07.992930
38900	2	4	0.453	0	0:00:07.991305
39000	8	0	0.331	0	0:00:07.994687
39100	9	4	0.193	0	0:00:07.990971
39200	8	8	0.458	1	0:00:07.993507
39300	5	2	0.0993	0	0:00:07.991305
39400	6	4	0.138	0	0:00:07.990906
39500	9	6	0.346	0	0:00:07.992970
39600	8	8	0.512	1	0:00:07.988242
39700	0	0	0.347	1	0:00:07.992222
39800	1	3	0.0278	0	0:00:07.995307
39900	8	-1	0.0	0	0:00:07.993294
