idx	label	predict	radius	correct	time
30000	3	3	0.847	1	0:00:08.014341
30100	4	4	0.122	1	0:00:08.009462
30200	5	5	0.42	1	0:00:08.013828
30300	6	6	0.829	1	0:00:08.011214
30400	9	9	0.953	1	0:00:08.018910
30500	4	6	0.0277	0	0:00:08.011615
30600	8	8	0.181	1	0:00:08.017452
30700	7	7	0.678	1	0:00:08.013193
30800	7	7	0.953	1	0:00:08.015001
30900	2	6	0.456	0	0:00:08.009281
31000	5	5	0.922	1	0:00:08.017759
31100	7	8	0.136	0	0:00:08.016622
31200	8	8	0.213	1	0:00:08.017693
31300	4	3	0.63	0	0:00:08.007924
31400	5	3	0.0625	0	0:00:08.011464
31500	1	1	0.953	1	0:00:08.019821
31600	8	6	0.0377	0	0:00:08.016538
31700	5	5	0.182	1	0:00:08.018300
31800	4	4	0.17	1	0:00:08.016988
31900	8	8	0.953	1	0:00:08.017750
32000	1	1	0.251	1	0:00:08.017323
32100	2	2	0.363	1	0:00:08.014043
32200	0	0	0.145	1	0:00:08.013733
32300	3	-1	0.0	0	0:00:08.009740
32400	0	0	0.953	1	0:00:08.014659
32500	4	4	0.0297	1	0:00:08.010042
32600	8	8	0.677	1	0:00:08.012880
32700	9	9	0.142	1	0:00:08.017547
32800	4	4	0.235	1	0:00:08.010801
32900	3	2	0.103	0	0:00:08.011603
33000	5	5	0.898	1	0:00:08.010836
33100	0	0	0.865	1	0:00:08.003163
33200	5	5	0.672	1	0:00:08.007469
33300	4	2	0.00692	0	0:00:08.007278
33400	6	6	0.365	1	0:00:08.010921
33500	1	-1	0.0	0	0:00:08.012160
33600	4	-1	0.0	0	0:00:08.009640
33700	3	3	0.953	1	0:00:08.009102
33800	9	9	0.247	1	0:00:08.012529
33900	3	6	0.0993	0	0:00:08.009894
34000	8	-1	0.0	0	0:00:08.005177
34100	7	7	0.953	1	0:00:08.007835
34200	4	4	0.167	1	0:00:08.003352
34300	8	8	0.814	1	0:00:08.003803
34400	3	-1	0.0	0	0:00:07.999858
34500	3	5	0.0299	0	0:00:08.005395
34600	4	7	0.0955	0	0:00:08.004246
34700	6	5	0.0833	0	0:00:08.004561
34800	9	9	0.953	1	0:00:08.005814
34900	3	-1	0.0	0	0:00:08.004282
35000	7	7	0.953	1	0:00:08.010140
35100	3	3	0.953	1	0:00:08.004841
35200	3	3	0.922	1	0:00:08.003939
35300	9	9	0.469	1	0:00:08.006968
35400	9	9	0.313	1	0:00:08.009600
35500	8	8	0.338	1	0:00:08.008626
35600	6	5	0.116	0	0:00:08.008322
35700	3	3	0.346	1	0:00:08.010334
35800	2	2	0.855	1	0:00:08.011512
35900	4	3	0.00524	0	0:00:08.008077
36000	8	8	0.56	1	0:00:08.010446
36100	1	1	0.757	1	0:00:08.010633
36200	3	3	0.445	1	0:00:08.011702
36300	1	1	0.388	1	0:00:08.013410
36400	0	8	0.063	0	0:00:08.012443
36500	7	-1	0.0	0	0:00:08.012587
36600	7	7	0.953	1	0:00:08.014422
36700	6	6	0.471	1	0:00:08.015070
36800	6	6	0.153	1	0:00:08.011305
36900	3	3	0.53	1	0:00:08.015304
37000	2	2	0.0304	1	0:00:08.011373
37100	9	-1	0.0	0	0:00:08.014420
37200	4	4	0.562	1	0:00:08.012055
37300	3	5	0.475	0	0:00:08.019412
37400	3	-1	0.0	0	0:00:08.015284
37500	6	6	0.953	1	0:00:08.017123
37600	8	9	0.155	0	0:00:08.014425
37700	6	6	0.804	1	0:00:08.013440
37800	0	0	0.749	1	0:00:08.011236
37900	0	4	0.0354	0	0:00:08.020346
38000	9	9	0.714	1	0:00:08.019257
38100	6	6	0.105	1	0:00:08.021857
38200	3	4	0.158	0	0:00:08.020207
38300	5	3	0.123	0	0:00:08.017191
38400	0	0	0.111	1	0:00:08.013670
38500	4	4	0.865	1	0:00:08.012454
38600	3	3	0.279	1	0:00:08.013552
38700	3	3	0.206	1	0:00:08.015553
38800	0	0	0.491	1	0:00:08.016272
38900	2	4	0.0711	0	0:00:08.012188
39000	8	8	0.953	1	0:00:08.014386
39100	9	1	0.446	0	0:00:08.014914
39200	8	8	0.429	1	0:00:08.010433
39300	5	5	0.106	1	0:00:08.018535
39400	6	6	0.51	1	0:00:08.009693
39500	9	9	0.49	1	0:00:08.014539
39600	8	8	0.364	1	0:00:08.009127
39700	0	0	0.953	1	0:00:08.008351
39800	1	1	0.953	1	0:00:08.024890
39900	8	8	0.387	1	0:00:08.008564
