idx	label	predict	radius	correct	time
30000	3	3	0.496	1	0:00:08.036303
30100	4	4	0.14	1	0:00:08.025382
30200	5	3	0.102	0	0:00:08.030064
30300	6	6	0.202	1	0:00:08.024743
30400	9	-1	0.0	0	0:00:08.026506
30500	4	4	0.261	1	0:00:08.036546
30600	8	-1	0.0	0	0:00:08.026205
30700	7	7	0.0991	1	0:00:08.026213
30800	7	3	0.166	0	0:00:08.026520
30900	2	4	0.0742	0	0:00:08.023258
31000	5	5	0.413	1	0:00:08.026671
31100	7	8	0.331	0	0:00:08.025165
31200	8	8	0.116	1	0:00:08.026983
31300	4	3	0.122	0	0:00:08.019524
31400	5	4	0.0584	0	0:00:08.022430
31500	1	1	0.652	1	0:00:08.035710
31600	8	6	0.0322	0	0:00:08.024957
31700	5	2	0.0202	0	0:00:08.026657
31800	4	-1	0.0	0	0:00:08.026795
31900	8	8	0.858	1	0:00:08.028020
32000	1	6	0.839	0	0:00:08.025289
32100	2	4	0.324	0	0:00:08.026033
32200	0	0	0.24	1	0:00:08.025852
32300	3	3	0.245	1	0:00:08.022279
32400	0	0	0.433	1	0:00:08.031142
32500	4	4	0.389	1	0:00:08.032355
32600	8	8	0.523	1	0:00:08.028105
32700	9	3	0.122	0	0:00:08.040344
32800	4	4	0.15	1	0:00:08.027950
32900	3	5	0.258	0	0:00:08.027370
33000	5	5	0.544	1	0:00:08.031663
33100	0	8	0.311	0	0:00:08.025404
33200	5	5	0.471	1	0:00:08.029622
33300	4	2	0.0421	0	0:00:08.031990
33400	6	4	0.0805	0	0:00:08.029433
33500	1	4	0.315	0	0:00:08.045668
33600	4	4	0.167	1	0:00:08.028805
33700	3	3	0.462	1	0:00:08.027158
33800	9	3	0.142	0	0:00:08.027262
33900	3	6	0.279	0	0:00:08.029411
34000	8	3	0.0324	0	0:00:08.022982
34100	7	7	0.492	1	0:00:08.029904
34200	4	4	0.385	1	0:00:08.027073
34300	8	8	0.367	1	0:00:08.028262
34400	3	3	0.0963	1	0:00:08.027544
34500	3	4	0.0569	0	0:00:08.028454
34600	4	4	0.646	1	0:00:08.036387
34700	6	6	0.141	1	0:00:08.030188
34800	9	3	0.0678	0	0:00:08.031396
34900	3	6	0.402	0	0:00:08.036467
35000	7	7	0.953	1	0:00:08.030583
35100	3	3	0.411	1	0:00:08.033030
35200	3	6	0.305	0	0:00:08.032684
35300	9	9	0.355	1	0:00:08.037901
35400	9	9	0.249	1	0:00:08.038828
35500	8	3	0.0699	0	0:00:08.032384
35600	6	4	0.113	0	0:00:08.029032
35700	3	6	0.00147	0	0:00:08.031542
35800	2	2	0.0605	1	0:00:08.033613
35900	4	2	0.0206	0	0:00:08.034864
36000	8	2	0.0409	0	0:00:08.029464
36100	1	-1	0.0	0	0:00:08.034077
36200	3	-1	0.0	0	0:00:08.032958
36300	1	-1	0.0	0	0:00:08.032679
36400	0	-1	0.0	0	0:00:08.039275
36500	7	6	0.246	0	0:00:08.033342
36600	7	7	0.953	1	0:00:08.039087
36700	6	6	0.633	1	0:00:08.030867
36800	6	4	0.0759	0	0:00:08.025383
36900	3	-1	0.0	0	0:00:08.028791
37000	2	-1	0.0	0	0:00:08.028784
37100	9	3	0.42	0	0:00:08.027676
37200	4	4	0.074	1	0:00:08.027314
37300	3	4	0.193	0	0:00:08.028629
37400	3	3	0.491	1	0:00:08.023273
37500	6	6	0.527	1	0:00:08.026737
37600	8	5	0.115	0	0:00:08.023801
37700	6	4	0.357	0	0:00:08.025808
37800	0	2	0.0123	0	0:00:08.021664
37900	0	2	0.275	0	0:00:08.027178
38000	9	6	0.149	0	0:00:08.024478
38100	6	2	0.238	0	0:00:08.026343
38200	3	4	0.17	0	0:00:08.023589
38300	5	-1	0.0	0	0:00:08.023396
38400	0	-1	0.0	0	0:00:08.026433
38500	4	4	0.408	1	0:00:08.033978
38600	3	4	0.082	0	0:00:08.025455
38700	3	3	0.403	1	0:00:08.023522
38800	0	0	0.744	1	0:00:08.024182
38900	2	-1	0.0	0	0:00:08.024801
39000	8	8	0.898	1	0:00:08.029348
39100	9	-1	0.0	0	0:00:08.026076
39200	8	8	0.56	1	0:00:08.023116
39300	5	2	0.182	0	0:00:08.025719
39400	6	6	0.678	1	0:00:08.023785
39500	9	3	0.438	0	0:00:08.028395
39600	8	8	0.228	1	0:00:08.023204
39700	0	0	0.22	1	0:00:08.023321
39800	1	1	0.5	1	0:00:08.027039
39900	8	8	0.302	1	0:00:08.024093
