idx	label	predict	radius	correct	time
30000	3	3	0.377	1	0:00:08.072746
30100	4	4	0.297	1	0:00:08.072659
30200	5	5	0.611	1	0:00:08.075141
30300	6	6	0.935	1	0:00:08.075134
30400	9	9	0.953	1	0:00:08.078896
30500	4	6	0.12	0	0:00:08.078837
30600	8	8	0.206	1	0:00:08.075754
30700	7	7	0.953	1	0:00:08.074416
30800	7	7	0.953	1	0:00:08.074171
30900	2	6	0.289	0	0:00:08.070578
31000	5	5	0.922	1	0:00:08.073718
31100	7	8	0.326	0	0:00:08.071948
31200	8	8	0.341	1	0:00:08.071405
31300	4	3	0.656	0	0:00:08.067307
31400	5	3	0.168	0	0:00:08.066575
31500	1	1	0.953	1	0:00:08.073789
31600	8	9	0.102	0	0:00:08.068827
31700	5	5	0.14	1	0:00:08.067993
31800	4	4	0.329	1	0:00:08.071586
31900	8	8	0.953	1	0:00:08.068911
32000	1	1	0.433	1	0:00:08.069884
32100	2	2	0.28	1	0:00:08.064914
32200	0	0	0.365	1	0:00:08.066694
32300	3	-1	0.0	0	0:00:08.067418
32400	0	0	0.953	1	0:00:08.068015
32500	4	6	0.0854	0	0:00:08.067373
32600	8	8	0.735	1	0:00:08.064627
32700	9	9	0.0193	1	0:00:08.066917
32800	4	4	0.315	1	0:00:08.066196
32900	3	5	0.391	0	0:00:08.064053
33000	5	5	0.873	1	0:00:08.062532
33100	0	0	0.609	1	0:00:08.055494
33200	5	5	0.753	1	0:00:08.061345
33300	4	4	0.0415	1	0:00:08.062587
33400	6	6	0.0277	1	0:00:08.062558
33500	1	1	0.294	1	0:00:08.064684
33600	4	2	0.131	0	0:00:08.062598
33700	3	3	0.898	1	0:00:08.069240
33800	9	9	0.751	1	0:00:08.062869
33900	3	6	0.11	0	0:00:08.062558
34000	8	0	0.00337	0	0:00:08.058648
34100	7	7	0.953	1	0:00:08.065681
34200	4	4	0.398	1	0:00:08.058972
34300	8	8	0.462	1	0:00:08.058529
34400	3	6	0.154	0	0:00:08.060202
34500	3	3	0.25	1	0:00:08.058525
34600	4	4	0.953	1	0:00:08.060135
34700	6	6	0.208	1	0:00:08.061987
34800	9	9	0.953	1	0:00:08.062889
34900	3	3	0.228	1	0:00:08.057351
35000	7	7	0.953	1	0:00:08.061555
35100	3	3	0.953	1	0:00:08.060795
35200	3	3	0.57	1	0:00:08.058355
35300	9	9	0.953	1	0:00:08.062470
35400	9	9	0.852	1	0:00:08.061088
35500	8	8	0.585	1	0:00:08.062290
35600	6	6	0.0377	1	0:00:08.066767
35700	3	5	0.0599	0	0:00:08.063387
35800	2	2	0.533	1	0:00:08.062195
35900	4	0	0.00836	0	0:00:08.061403
36000	8	8	0.245	1	0:00:08.065323
36100	1	1	0.953	1	0:00:08.067231
36200	3	3	0.537	1	0:00:08.066027
36300	1	1	0.801	1	0:00:08.067854
36400	0	0	0.271	1	0:00:08.067053
36500	7	-1	0.0	0	0:00:08.066218
36600	7	7	0.953	1	0:00:08.071385
36700	6	6	0.877	1	0:00:08.068213
36800	6	6	0.485	1	0:00:08.066855
36900	3	3	0.674	1	0:00:08.068279
37000	2	2	0.0285	1	0:00:08.064814
37100	9	9	0.0158	1	0:00:08.071983
37200	4	4	0.265	1	0:00:08.067150
37300	3	5	0.17	0	0:00:08.068325
37400	3	3	0.023	1	0:00:08.068586
37500	6	6	0.953	1	0:00:08.072121
37600	8	9	0.411	0	0:00:08.067805
37700	6	6	0.953	1	0:00:08.074198
37800	0	0	0.827	1	0:00:08.066712
37900	0	4	0.133	0	0:00:08.071152
38000	9	9	0.905	1	0:00:08.070235
38100	6	6	0.147	1	0:00:08.070697
38200	3	4	0.105	0	0:00:08.071400
38300	5	-1	0.0	0	0:00:08.069039
38400	0	0	0.156	1	0:00:08.069060
38500	4	4	0.913	1	0:00:08.068417
38600	3	-1	0.0	0	0:00:08.075726
38700	3	3	0.204	1	0:00:08.070994
38800	0	0	0.364	1	0:00:08.070529
38900	2	2	0.211	1	0:00:08.070863
39000	8	8	0.953	1	0:00:08.072232
39100	9	1	0.129	0	0:00:08.071188
39200	8	8	0.443	1	0:00:08.067427
39300	5	3	0.0541	0	0:00:08.068928
39400	6	6	0.953	1	0:00:08.072915
39500	9	9	0.953	1	0:00:08.073918
39600	8	8	0.175	1	0:00:08.067220
39700	0	0	0.953	1	0:00:08.066929
39800	1	1	0.953	1	0:00:08.070773
39900	8	8	0.953	1	0:00:08.068273
