idx	label	predict	radius	correct	time
30000	3	3	0.542	1	0:00:08.074308
30100	4	4	0.17	1	0:00:08.071754
30200	5	5	0.681	1	0:00:08.075448
30300	6	6	0.953	1	0:00:08.074750
30400	9	9	0.953	1	0:00:08.078241
30500	4	6	0.0845	0	0:00:08.074286
30600	8	8	0.33	1	0:00:08.074740
30700	7	7	0.953	1	0:00:08.074088
30800	7	7	0.953	1	0:00:08.076485
30900	2	6	0.473	0	0:00:08.073007
31000	5	5	0.953	1	0:00:08.079956
31100	7	8	0.421	0	0:00:08.079216
31200	8	8	0.351	1	0:00:08.077991
31300	4	3	0.617	0	0:00:08.068882
31400	5	3	0.213	0	0:00:08.072494
31500	1	1	0.935	1	0:00:08.086893
31600	8	9	0.0575	0	0:00:08.080757
31700	5	5	0.177	1	0:00:08.081689
31800	4	4	0.344	1	0:00:08.076331
31900	8	8	0.953	1	0:00:08.076750
32000	1	1	0.461	1	0:00:08.077919
32100	2	2	0.592	1	0:00:08.074769
32200	0	0	0.0698	1	0:00:08.072968
32300	3	-1	0.0	0	0:00:08.069941
32400	0	0	0.953	1	0:00:08.075837
32500	4	4	0.0358	1	0:00:08.073866
32600	8	8	0.935	1	0:00:08.074250
32700	9	1	0.207	0	0:00:08.075650
32800	4	4	0.422	1	0:00:08.072362
32900	3	5	0.0891	0	0:00:08.074685
33000	5	5	0.905	1	0:00:08.072272
33100	0	0	0.782	1	0:00:08.068485
33200	5	5	0.898	1	0:00:08.073723
33300	4	4	0.163	1	0:00:08.068504
33400	6	6	0.207	1	0:00:08.070799
33500	1	1	0.392	1	0:00:08.072640
33600	4	2	0.0802	0	0:00:08.068886
33700	3	3	0.953	1	0:00:08.068406
33800	9	9	0.808	1	0:00:08.069656
33900	3	6	0.0504	0	0:00:08.069300
34000	8	7	0.0241	0	0:00:08.067513
34100	7	7	0.953	1	0:00:08.067140
34200	4	4	0.627	1	0:00:08.064805
34300	8	8	0.653	1	0:00:08.069247
34400	3	-1	0.0	0	0:00:08.067814
34500	3	3	0.194	1	0:00:08.066019
34600	4	4	0.953	1	0:00:08.066815
34700	6	5	0.153	0	0:00:08.067996
34800	9	9	0.953	1	0:00:08.066904
34900	3	3	0.607	1	0:00:08.065125
35000	7	7	0.953	1	0:00:08.065984
35100	3	3	0.953	1	0:00:08.065873
35200	3	3	0.62	1	0:00:08.062727
35300	9	9	0.953	1	0:00:08.067548
35400	9	9	0.953	1	0:00:08.066728
35500	8	8	0.438	1	0:00:08.066077
35600	6	-1	0.0	0	0:00:08.064988
35700	3	5	0.17	0	0:00:08.068063
35800	2	2	0.696	1	0:00:08.067216
35900	4	0	0.113	0	0:00:08.064075
36000	8	8	0.363	1	0:00:08.067295
36100	1	1	0.922	1	0:00:08.073339
36200	3	3	0.506	1	0:00:08.068801
36300	1	1	0.905	1	0:00:08.070363
36400	0	0	0.284	1	0:00:08.069227
36500	7	-1	0.0	0	0:00:08.068437
36600	7	7	0.953	1	0:00:08.071908
36700	6	6	0.953	1	0:00:08.079387
36800	6	6	0.264	1	0:00:08.069853
36900	3	3	0.774	1	0:00:08.079296
37000	2	-1	0.0	0	0:00:08.074460
37100	9	5	0.0376	0	0:00:08.074409
37200	4	4	0.397	1	0:00:08.069034
37300	3	5	0.353	0	0:00:08.073483
37400	3	3	0.0367	1	0:00:08.073655
37500	6	6	0.953	1	0:00:08.075494
37600	8	9	0.345	0	0:00:08.072135
37700	6	6	0.953	1	0:00:08.074016
37800	0	0	0.785	1	0:00:08.069619
37900	0	4	0.108	0	0:00:08.075343
38000	9	9	0.953	1	0:00:08.076029
38100	6	6	0.216	1	0:00:08.075850
38200	3	4	0.0578	0	0:00:08.078124
38300	5	-1	0.0	0	0:00:08.074756
38400	0	0	0.24	1	0:00:08.073440
38500	4	4	0.922	1	0:00:08.072781
38600	3	3	0.299	1	0:00:08.075357
38700	3	-1	0.0	0	0:00:08.087838
38800	0	0	0.67	1	0:00:08.073850
38900	2	2	0.246	1	0:00:08.073269
39000	8	8	0.953	1	0:00:08.078179
39100	9	1	0.188	0	0:00:08.075179
39200	8	8	0.368	1	0:00:08.070721
39300	5	3	0.115	0	0:00:08.074211
39400	6	6	0.953	1	0:00:08.073203
39500	9	9	0.953	1	0:00:08.074731
39600	8	8	0.38	1	0:00:08.072197
39700	0	0	0.881	1	0:00:08.072423
39800	1	1	0.953	1	0:00:08.081909
39900	8	8	0.953	1	0:00:08.073079
