idx	label	predict	radius	correct	time
30000	3	3	0.661	1	0:00:08.066034
30100	4	4	0.0328	1	0:00:08.070543
30200	5	5	0.0681	1	0:00:08.065633
30300	6	6	0.935	1	0:00:08.063552
30400	9	9	0.953	1	0:00:08.068566
30500	4	-1	0.0	0	0:00:08.061821
30600	8	8	0.47	1	0:00:08.064801
30700	7	7	0.953	1	0:00:08.063444
30800	7	7	0.953	1	0:00:08.065520
30900	2	-1	0.0	0	0:00:08.060772
31000	5	3	0.123	0	0:00:08.063879
31100	7	8	0.255	0	0:00:08.059912
31200	8	8	0.215	1	0:00:08.067173
31300	4	6	0.0181	0	0:00:08.057198
31400	5	5	0.367	1	0:00:08.056840
31500	1	1	0.14	1	0:00:08.062618
31600	8	-1	0.0	0	0:00:08.060447
31700	5	5	0.195	1	0:00:08.060015
31800	4	0	0.17	0	0:00:08.061784
31900	8	8	0.953	1	0:00:08.057335
32000	1	1	0.535	1	0:00:08.059612
32100	2	2	0.576	1	0:00:08.054650
32200	0	0	0.359	1	0:00:08.052224
32300	3	3	0.166	1	0:00:08.054043
32400	0	0	0.953	1	0:00:08.053008
32500	4	6	0.166	0	0:00:08.055464
32600	8	8	0.262	1	0:00:08.057944
32700	9	3	0.0119	0	0:00:08.082109
32800	4	4	0.028	1	0:00:08.052814
32900	3	5	0.164	0	0:00:08.055898
33000	5	3	0.737	0	0:00:08.054601
33100	0	0	0.469	1	0:00:08.052877
33200	5	5	0.229	1	0:00:08.055887
33300	4	-1	0.0	0	0:00:08.054029
33400	6	4	0.0948	0	0:00:08.059698
33500	1	9	0.28	0	0:00:08.062253
33600	4	3	0.0691	0	0:00:08.055852
33700	3	3	0.953	1	0:00:08.056668
33800	9	9	0.435	1	0:00:08.058323
33900	3	3	0.104	1	0:00:08.055959
34000	8	0	0.00408	0	0:00:08.059055
34100	7	7	0.953	1	0:00:08.059885
34200	4	4	0.247	1	0:00:08.071002
34300	8	0	0.318	0	0:00:08.059343
34400	3	5	0.117	0	0:00:08.058505
34500	3	3	0.773	1	0:00:08.060785
34600	4	4	0.803	1	0:00:08.063857
34700	6	5	0.51	0	0:00:08.061790
34800	9	9	0.953	1	0:00:08.066124
34900	3	3	0.242	1	0:00:08.062109
35000	7	7	0.953	1	0:00:08.066633
35100	3	3	0.953	1	0:00:08.064002
35200	3	3	0.0986	1	0:00:08.061476
35300	9	9	0.818	1	0:00:08.074013
35400	9	9	0.953	1	0:00:08.061829
35500	8	8	0.0878	1	0:00:08.062385
35600	6	-1	0.0	0	0:00:08.066774
35700	3	3	0.301	1	0:00:08.073378
35800	2	2	0.375	1	0:00:08.067392
35900	4	3	0.306	0	0:00:08.067884
36000	8	8	0.33	1	0:00:08.069095
36100	1	1	0.701	1	0:00:08.068779
36200	3	3	0.886	1	0:00:08.069865
36300	1	1	0.308	1	0:00:08.081329
36400	0	0	0.155	1	0:00:08.071982
36500	7	0	0.0361	0	0:00:08.072605
36600	7	7	0.953	1	0:00:08.071941
36700	6	6	0.75	1	0:00:08.071704
36800	6	6	0.314	1	0:00:08.068355
36900	3	3	0.746	1	0:00:08.071888
37000	2	3	0.194	0	0:00:08.069550
37100	9	9	0.149	1	0:00:08.072712
37200	4	4	0.0773	1	0:00:08.066879
37300	3	5	0.384	0	0:00:08.076256
37400	3	3	0.106	1	0:00:08.071900
37500	6	6	0.953	1	0:00:08.072499
37600	8	-1	0.0	0	0:00:08.068455
37700	6	6	0.953	1	0:00:08.068726
37800	0	0	0.526	1	0:00:08.064109
37900	0	0	0.224	1	0:00:08.068826
38000	9	9	0.647	1	0:00:08.070427
38100	6	2	0.194	0	0:00:08.068866
38200	3	0	0.0727	0	0:00:08.068919
38300	5	5	0.114	1	0:00:08.066084
38400	0	0	0.328	1	0:00:08.063366
38500	4	4	0.66	1	0:00:08.073181
38600	3	3	0.171	1	0:00:08.070296
38700	3	3	0.14	1	0:00:08.063360
38800	0	0	0.243	1	0:00:08.063856
38900	2	2	0.0265	1	0:00:08.065682
39000	8	8	0.953	1	0:00:08.066540
39100	9	1	0.0136	0	0:00:08.067763
39200	8	8	0.215	1	0:00:08.059711
39300	5	3	0.122	0	0:00:08.064122
39400	6	6	0.935	1	0:00:08.062216
39500	9	9	0.0782	1	0:00:08.068477
39600	8	8	0.356	1	0:00:08.059897
39700	0	0	0.706	1	0:00:08.060120
39800	1	1	0.953	1	0:00:08.064727
39900	8	8	0.913	1	0:00:08.059790
