idx	label	predict	radius	correct	time
30000	3	3	0.72	1	0:00:08.055605
30100	4	5	0.0999	0	0:00:08.052007
30200	5	5	0.881	1	0:00:08.056031
30300	6	6	0.953	1	0:00:08.054346
30400	9	9	0.953	1	0:00:08.060277
30500	4	6	0.538	0	0:00:08.056996
30600	8	8	0.351	1	0:00:08.058261
30700	7	7	0.953	1	0:00:08.059712
30800	7	7	0.953	1	0:00:08.059424
30900	2	6	0.354	0	0:00:08.056622
31000	5	5	0.953	1	0:00:08.058882
31100	7	7	0.414	1	0:00:08.059144
31200	8	8	0.393	1	0:00:08.059879
31300	4	3	0.52	0	0:00:08.052720
31400	5	5	0.224	1	0:00:08.054411
31500	1	1	0.953	1	0:00:08.060760
31600	8	9	0.259	0	0:00:08.058855
31700	5	5	0.618	1	0:00:08.061052
31800	4	4	0.372	1	0:00:08.057118
31900	8	8	0.953	1	0:00:08.059324
32000	1	1	0.213	1	0:00:08.060920
32100	2	2	0.245	1	0:00:08.060089
32200	0	0	0.953	1	0:00:08.058316
32300	3	6	0.168	0	0:00:08.056782
32400	0	0	0.953	1	0:00:08.060316
32500	4	6	0.492	0	0:00:08.056363
32600	8	8	0.953	1	0:00:08.056963
32700	9	9	0.0987	1	0:00:08.060603
32800	4	4	0.0222	1	0:00:08.054741
32900	3	5	0.334	0	0:00:08.058616
33000	5	5	0.953	1	0:00:08.057914
33100	0	0	0.953	1	0:00:08.049421
33200	5	5	0.892	1	0:00:08.056189
33300	4	4	0.234	1	0:00:08.053204
33400	6	6	0.166	1	0:00:08.054015
33500	1	1	0.703	1	0:00:08.055627
33600	4	2	0.556	0	0:00:08.053467
33700	3	5	0.00427	0	0:00:08.051420
33800	9	9	0.953	1	0:00:08.051928
33900	3	6	0.345	0	0:00:08.055831
34000	8	7	0.0122	0	0:00:08.048897
34100	7	7	0.953	1	0:00:08.050380
34200	4	4	0.374	1	0:00:08.045777
34300	8	8	0.852	1	0:00:08.047750
34400	3	6	0.545	0	0:00:08.046502
34500	3	5	0.127	0	0:00:08.047367
34600	4	4	0.564	1	0:00:08.047246
34700	6	6	0.306	1	0:00:08.046037
34800	9	9	0.953	1	0:00:08.047328
34900	3	6	0.0452	0	0:00:08.046829
35000	7	7	0.953	1	0:00:08.049300
35100	3	3	0.953	1	0:00:08.046120
35200	3	3	0.953	1	0:00:08.046253
35300	9	9	0.953	1	0:00:08.047297
35400	9	9	0.816	1	0:00:08.044109
35500	8	8	0.445	1	0:00:08.044063
35600	6	-1	0.0	0	0:00:08.042305
35700	3	5	0.513	0	0:00:08.042601
35800	2	2	0.47	1	0:00:08.043411
35900	4	-1	0.0	0	0:00:08.039371
36000	8	8	0.432	1	0:00:08.041924
36100	1	1	0.713	1	0:00:08.042624
36200	3	3	0.594	1	0:00:08.041979
36300	1	1	0.953	1	0:00:08.041414
36400	0	0	0.503	1	0:00:08.042972
36500	7	6	0.306	0	0:00:08.043394
36600	7	7	0.953	1	0:00:08.045069
36700	6	6	0.935	1	0:00:08.046584
36800	6	6	0.665	1	0:00:08.051922
36900	3	3	0.716	1	0:00:08.047218
37000	2	0	0.151	0	0:00:08.044139
37100	9	2	0.146	0	0:00:08.047826
37200	4	6	0.578	0	0:00:08.043546
37300	3	4	0.354	0	0:00:08.048805
37400	3	3	0.161	1	0:00:08.047421
37500	6	6	0.953	1	0:00:08.049386
37600	8	9	0.661	0	0:00:08.044983
37700	6	6	0.953	1	0:00:08.045901
37800	0	0	0.953	1	0:00:08.044076
37900	0	2	0.133	0	0:00:08.048286
38000	9	9	0.953	1	0:00:08.048389
38100	6	2	0.652	0	0:00:08.052645
38200	3	6	0.166	0	0:00:08.051001
38300	5	7	0.00101	0	0:00:08.051255
38400	0	0	0.38	1	0:00:08.048818
38500	4	4	0.953	1	0:00:08.048925
38600	3	5	0.324	0	0:00:08.051240
38700	3	3	0.835	1	0:00:08.050666
38800	0	0	0.953	1	0:00:08.051456
38900	2	4	0.409	0	0:00:08.051023
39000	8	8	0.953	1	0:00:08.053637
39100	9	1	0.0254	0	0:00:08.054136
39200	8	8	0.746	1	0:00:08.049805
39300	5	5	0.0891	1	0:00:08.054506
39400	6	6	0.953	1	0:00:08.053961
39500	9	9	0.953	1	0:00:08.056160
39600	8	8	0.571	1	0:00:08.053861
39700	0	0	0.753	1	0:00:08.054585
39800	1	1	0.953	1	0:00:08.061221
39900	8	8	0.953	1	0:00:08.055674
